"","Tm","W"
"1","Chicago Bulls",15
"2","Utah Jazz",13
"3","Indiana Pacers",10
"4","Los Angeles Lakers",7
"5","Charlotte Hornets",4
"6","New York Knicks",4
"7","San Antonio Spurs",4
"8","Seattle SuperSonics",4
"9","Houston Rockets",2
"10","Miami Heat",2
"11","Minnesota Timberwolves",2
"12","Atlanta Hawks",1
"13","Cleveland Cavaliers",1
"14","Phoenix Suns",1
"15","Portland Trail Blazers",1
