"","Tm","W"
"1","Detroit Pistons",15
"2","Los Angeles Lakers",11
"3","Chicago Bulls",9
"4","Phoenix Suns",7
"5","New York Knicks",5
"6","Golden State Warriors",4
"7","Milwaukee Bucks",3
"8","Seattle SuperSonics",3
"9","Atlanta Hawks",2
"10","Cleveland Cavaliers",2
"11","Houston Rockets",1
