"","Tm","W"
"1","Los Angeles Lakers",15
"2","Boston Celtics",13
"3","Detroit Pistons",10
"4","Seattle SuperSonics",7
"5","Milwaukee Bucks",6
"6","Houston Rockets",5
"7","Atlanta Hawks",4
"8","Golden State Warriors",4
"9","Philadelphia 76ers",2
"10","Utah Jazz",2
"11","Dallas Mavericks",1
"12","Indiana Pacers",1
"13","Portland Trail Blazers",1
