"","Tm","W"
"1","San Antonio Spurs",16
"2","Cleveland Cavaliers",12
"3","Detroit Pistons",10
"4","Utah Jazz",9
"5","Chicago Bulls",6
"6","New Jersey Nets",6
"7","Phoenix Suns",6
"8","Golden State Warriors",5
"9","Houston Rockets",3
"10","Dallas Mavericks",2
"11","Toronto Raptors",2
"12","Denver Nuggets",1
"13","Los Angeles Lakers",1
