"","Tm","W"
"1","Boston Celtics",15
"2","Los Angeles Lakers",14
"3","Phoenix Suns",9
"4","Milwaukee Bucks",8
"5","New York Knicks",6
"6","New Jersey Nets",5
"7","Utah Jazz",5
"8","Dallas Mavericks",4
"9","Atlanta Hawks",2
"10","Denver Nuggets",2
"11","Detroit Pistons",2
"12","Philadelphia 76ers",2
"13","Portland Trail Blazers",2
"14","Seattle SuperSonics",2
"15","Washington Bullets",1
