"","Tm","W"
"1","Los Angeles Lakers",15
"2","Philadelphia 76ers",12
"3","Milwaukee Bucks",10
"4","San Antonio Spurs",7
"5","Charlotte Hornets",6
"6","Toronto Raptors",6
"7","Dallas Mavericks",4
"8","Sacramento Kings",3
"9","New York Knicks",2
"10","Utah Jazz",2
"11","Indiana Pacers",1
"12","Minnesota Timberwolves",1
"13","Orlando Magic",1
"14","Phoenix Suns",1
