"","Tm","W"
"1","Detroit Pistons",16
"2","Los Angeles Lakers",13
"3","Indiana Pacers",10
"4","Minnesota Timberwolves",10
"5","New Jersey Nets",7
"6","Sacramento Kings",7
"7","Miami Heat",6
"8","San Antonio Spurs",6
"9","New Orleans Hornets",3
"10","Dallas Mavericks",1
"11","Denver Nuggets",1
"12","Houston Rockets",1
"13","Milwaukee Bucks",1
