"","Tm","W"
"1","Chicago Bulls",15
"2","Portland Trail Blazers",13
"3","Cleveland Cavaliers",9
"4","Utah Jazz",9
"5","Boston Celtics",6
"6","New York Knicks",6
"7","Phoenix Suns",4
"8","Seattle SuperSonics",4
"9","Detroit Pistons",2
"10","Los Angeles Clippers",2
"11","Golden State Warriors",1
"12","Los Angeles Lakers",1
"13","New Jersey Nets",1
