"","Tm","W"
"1","Boston Celtics",12
"2","Los Angeles Lakers",11
"3","New York Knicks",6
"4","Atlanta Hawks",5
"5","San Diego Rockets",2
"6","San Francisco Warriors",2
"7","Philadelphia 76ers",1
