"","Tm","W"
"1","Portland Trail Blazers",14
"2","Philadelphia 76ers",10
"3","Houston Rockets",6
"4","Boston Celtics",5
"5","Golden State Warriors",5
"6","Los Angeles Lakers",4
"7","Washington Bullets",4
"8","Denver Nuggets",2
"9","Chicago Bulls",1
"10","Cleveland Cavaliers",1
"11","Detroit Pistons",1
