"","Tm","W"
"1","Chicago Bulls",15
"2","Utah Jazz",13
"3","Houston Rockets",9
"4","Miami Heat",8
"5","New York Knicks",6
"6","Seattle SuperSonics",6
"7","Atlanta Hawks",4
"8","Los Angeles Lakers",4
"9","Detroit Pistons",2
"10","Orlando Magic",2
"11","Phoenix Suns",2
"12","Portland Trail Blazers",1
