"","Tm","W"
"1","Chicago Bulls",15
"2","Seattle SuperSonics",13
"3","Utah Jazz",10
"4","Orlando Magic",7
"5","San Antonio Spurs",5
"6","Atlanta Hawks",4
"7","New York Knicks",4
"8","Houston Rockets",3
"9","Indiana Pacers",2
"10","Portland Trail Blazers",2
"11","Los Angeles Lakers",1
"12","Phoenix Suns",1
"13","Sacramento Kings",1
