"","Tm","W"
"1","Los Angeles Lakers",15
"2","Indiana Pacers",13
"3","Portland Trail Blazers",10
"4","New York Knicks",9
"5","Miami Heat",6
"6","Philadelphia 76ers",5
"7","Phoenix Suns",4
"8","Utah Jazz",4
"9","Milwaukee Bucks",2
"10","Sacramento Kings",2
"11","Seattle SuperSonics",2
"12","Charlotte Hornets",1
"13","Minnesota Timberwolves",1
"14","San Antonio Spurs",1
