"","Tm","W"
"1","Los Angeles Lakers",12
"2","Philadelphia 76ers",12
"3","Seattle SuperSonics",7
"4","Boston Celtics",5
"5","Milwaukee Bucks",3
"6","Phoenix Suns",3
"7","Houston Rockets",2
"8","Atlanta Hawks",1
"9","Kansas City Kings",1
"10","Portland Trail Blazers",1
"11","San Antonio Spurs",1
