"","Tm","W"
"1","Philadelphia Warriors",7
"2","Syracuse Nationals",5
"3","Fort Wayne Pistons",4
"4","St. Louis Hawks",4
"5","Minneapolis Lakers",2
"6","Boston Celtics",1
