"","Tm","W"
"1","Miami Heat",16
"2","San Antonio Spurs",15
"3","Indiana Pacers",11
"4","Memphis Grizzlies",8
"5","Golden State Warriors",6
"6","New York Knicks",6
"7","Chicago Bulls",5
"8","Oklahoma City Thunder",5
"9","Brooklyn Nets",3
"10","Atlanta Hawks",2
"11","Boston Celtics",2
"12","Denver Nuggets",2
"13","Houston Rockets",2
"14","Los Angeles Clippers",2
