"","Tm","W"
"1","New York Knicks",12
"2","Los Angeles Lakers",9
"3","Boston Celtics",7
"4","Golden State Warriors",5
"5","Chicago Bulls",3
"6","Atlanta Hawks",2
"7","Milwaukee Bucks",2
"8","Baltimore Bullets",1
