"","Tm","W"
"1","Washington Bullets",14
"2","Seattle SuperSonics",13
"3","Denver Nuggets",6
"4","Philadelphia 76ers",6
"5","Milwaukee Bucks",5
"6","New York Knicks",2
"7","Portland Trail Blazers",2
"8","San Antonio Spurs",2
"9","Los Angeles Lakers",1
