"","Tm","W"
"1","Philadelphia 76ers",12
"2","Los Angeles Lakers",8
"3","San Antonio Spurs",6
"4","Milwaukee Bucks",5
"5","Denver Nuggets",3
"6","Portland Trail Blazers",3
"7","Boston Celtics",2
"8","New York Knicks",2
"9","Atlanta Hawks",1
"10","Phoenix Suns",1
