"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Zaid Abdul-Aziz","C",25,"SEA",58,0,1780,322,751,0.429,0,0,0,322,751,0.429,0.429,154,214,0.72,0,0,654,124,0,0,0,178,798,1972,15.9,0.472,0,0.285,0,0,17.5,10,0,0,0,0,0.3,1.6,1.9,0.052,0,0,0,0
"2","Kareem Abdul-Jabbar*","C",24,"MIL",81,0,3583,1159,2019,0.574,0,0,0,1159,2019,0.574,0.574,504,732,0.689,0,0,1346,370,0,0,0,235,2822,1972,29.9,0.603,0,0.363,0,0,18.1,16.1,0,0,0,0,18.3,7.1,25.4,0.34,0,0,0,0
"3","Don Adams","SF",24,"TOT",73,0,2071,313,798,0.392,0,0,0,313,798,0.392,0.392,205,275,0.745,0,0,502,140,0,0,0,266,831,1972,11.5,0.452,0,0.345,0,0,11.8,9.2,0,0,0,0,-0.7,1.3,0.7,0.015,0,0,0,0
"4","Rick Adelman","PG",25,"POR",80,0,2445,329,753,0.437,0,0,0,329,753,0.437,0.437,151,201,0.751,0,0,229,413,0,0,0,209,809,1972,11.5,0.481,0,0.267,0,0,4.4,22.8,0,0,0,0,1,0.5,1.6,0.03,0,0,0,0
"5","Lucius Allen","PG",24,"MIL",80,0,2316,441,874,0.505,0,0,0,441,874,0.505,0.505,198,259,0.764,0,0,254,333,0,0,0,214,1080,1972,15.9,0.547,0,0.296,0,0,5.3,18.6,0,0,0,0,4.8,2.8,7.6,0.157,0,0,0,0
"6","Odis Allison","SF",22,"GSW",36,0,166,17,78,0.218,0,0,0,17,78,0.218,0.218,33,61,0.541,0,0,45,10,0,0,0,34,67,1972,4.7,0.32,0,0.782,0,0,12.1,7.7,0,0,0,0,-0.9,0.3,-0.6,-0.181,0,0,0,0
"7","Tiny Archibald*","PG",23,"CIN",76,0,3272,734,1511,0.486,0,0,0,734,1511,0.486,0.486,677,824,0.822,0,0,222,701,0,0,0,198,2145,1972,23,0.572,0,0.545,0,0,3.4,33.2,0,0,0,0,11.8,1.1,12.9,0.189,0,0,0,0
"8","Dennis Awtrey","C",23,"PHI",58,0,794,98,222,0.441,0,0,0,98,222,0.441,0.441,49,76,0.645,0,0,248,51,0,0,0,141,245,1972,10.3,0.48,0,0.342,0,0,14.1,8.2,0,0,0,0,0.2,0.8,1,0.06,0,0,0,0
"9","Dick Barnett","SG",35,"NYK",79,0,2256,401,918,0.437,0,0,0,401,918,0.437,0.437,162,215,0.753,0,0,153,198,0,0,0,229,964,1972,10.9,0.476,0,0.234,0,0,3.3,12.3,0,0,0,0,0.7,1.9,2.6,0.055,0,0,0,0
"10","Jim Barnett","PG",27,"GSW",80,0,2200,374,915,0.409,0,0,0,374,915,0.409,0.409,244,292,0.836,0,0,250,309,0,0,0,189,992,1972,14.1,0.475,0,0.319,0,0,5.1,19.7,0,0,0,0,0.8,2.9,3.7,0.081,0,0,0,0
"11","Vic Bartolome","C",23,"GSW",38,0,165,15,59,0.254,0,0,0,15,59,0.254,0.254,4,5,0.8,0,0,60,3,0,0,0,22,34,1972,4.4,0.278,0,0.085,0,0,16.2,2.3,0,0,0,0,-0.7,0.3,-0.4,-0.114,0,0,0,0
"12","Elgin Baylor*","SF",37,"LAL",9,0,239,42,97,0.433,0,0,0,42,97,0.433,0.433,22,27,0.815,0,0,57,18,0,0,0,20,106,1972,13.6,0.487,0,0.278,0,0,10.6,9.2,0,0,0,0,0.1,0.4,0.5,0.097,0,0,0,0
"13","Butch Beard","PG",24,"CLE",68,0,2434,394,849,0.464,0,0,0,394,849,0.464,0.464,260,342,0.76,0,0,276,456,0,0,0,213,1048,1972,15.7,0.524,0,0.403,0,0,5.5,26.3,0,0,0,0,3.7,2.2,5.9,0.115,0,0,0,0
"14","Walt Bellamy*","C",32,"ATL",82,0,3187,593,1089,0.545,0,0,0,593,1089,0.545,0.545,340,581,0.585,0,0,1049,262,0,0,0,255,1526,1972,19,0.567,0,0.534,0,0,16.1,11.8,0,0,0,0,7.8,2.5,10.3,0.155,0,0,0,0
"15","Dave Bing*","PG",28,"DET",45,0,1936,369,891,0.414,0,0,0,369,891,0.414,0.414,278,354,0.785,0,0,186,317,0,0,0,138,1016,1972,16.2,0.485,0,0.397,0,0,4.6,23.8,0,0,0,0,1.4,0.3,1.7,0.042,0,0,0,0
