"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Gary Alcorn","C",23,"DET",58,0,670,91,312,0.292,0,0,0,91,312,0.292,0.292,48,84,0.571,0,0,279,22,0,0,0,123,230,1960,7.6,0.33,0,0.269,0,0,0,0,0,0,0,0,-1.9,0.6,-1.3,-0.09,0,0,0,0
"2","Bob Anderegg","SF",22,"NYK",33,0,373,55,143,0.385,0,0,0,55,143,0.385,0.385,23,42,0.548,0,0,69,29,0,0,0,32,133,1960,9.3,0.412,0,0.294,0,0,0,0,0,0,0,0,-0.1,0.1,0,0.002,0,0,0,0
"3","Paul Arizin*","SF",31,"PHW",72,0,2618,593,1400,0.424,0,0,0,593,1400,0.424,0.424,420,526,0.798,0,0,621,165,0,0,0,263,1606,1960,17.2,0.492,0,0.376,0,0,0,0,0,0,0,0,5.5,3.7,9.2,0.168,0,0,0,0
"4","Dick Barnett","SG",23,"SYR",57,0,1235,289,701,0.412,0,0,0,289,701,0.412,0.412,128,180,0.711,0,0,155,160,0,0,0,98,706,1960,15.1,0.452,0,0.257,0,0,0,0,0,0,0,0,1.1,1.1,2.2,0.084,0,0,0,0
"5","Elgin Baylor*","SF",25,"MNL",70,0,2873,755,1781,0.424,0,0,0,755,1781,0.424,0.424,564,770,0.732,0,0,1150,243,0,0,0,234,2074,1960,25.2,0.489,0,0.432,0,0,0,0,0,0,0,0,7.4,4.1,11.5,0.192,0,0,0,0
"6","Ernie Beck","SG",28,"PHW",66,0,809,114,294,0.388,0,0,0,114,294,0.388,0.388,27,32,0.844,0,0,127,72,0,0,0,90,255,1960,8.2,0.414,0,0.109,0,0,0,0,0,0,0,0,-0.2,1,0.9,0.051,0,0,0,0
"7","Whitey Bell","PG",27,"NYK",31,0,449,70,185,0.378,0,0,0,70,185,0.378,0.378,28,43,0.651,0,0,87,55,0,0,0,59,168,1960,10.3,0.412,0,0.232,0,0,0,0,0,0,0,0,-0.1,0.2,0.1,0.008,0,0,0,0
"8","Al Bianchi","PG",27,"SYR",69,0,1256,211,576,0.366,0,0,0,211,576,0.366,0.366,109,155,0.703,0,0,179,169,0,0,0,231,531,1960,9.6,0.412,0,0.269,0,0,0,0,0,0,0,0,-0.4,1.1,0.8,0.03,0,0,0,0
"9","Bucky Bockhorn","SG",26,"CIN",75,0,2103,323,812,0.398,0,0,0,323,812,0.398,0.398,145,194,0.747,0,0,382,256,0,0,0,249,791,1960,11.3,0.441,0,0.239,0,0,0,0,0,0,0,0,0.9,0.5,1.3,0.031,0,0,0,0
"10","Carl Braun*","PG",32,"NYK",54,0,1514,285,659,0.432,0,0,0,285,659,0.432,0.432,129,154,0.838,0,0,168,270,0,0,0,127,699,1960,15,0.481,0,0.234,0,0,0,0,0,0,0,0,2.3,0.6,3,0.095,0,0,0,0
"11","Barney Cable","SF",24,"TOT",57,0,715,109,290,0.376,0,0,0,109,290,0.376,0.376,44,67,0.657,0,0,225,39,0,0,0,93,262,1960,10.5,0.41,0,0.231,0,0,0,0,0,0,0,0,-0.3,0.7,0.4,0.026,0,0,0,0
"12","Wilt Chamberlain*","C",23,"PHW",72,0,3338,1065,2311,0.461,0,0,0,1065,2311,0.461,0.461,577,991,0.582,0,0,1941,168,0,0,0,150,2707,1960,28,0.493,0,0.429,0,0,0,0,0,0,0,0,9,8,17,0.245,0,0,0,0
"13","Gene Conley","PF",29,"BOS",71,0,1330,201,539,0.373,0,0,0,201,539,0.373,0.373,76,114,0.667,0,0,590,32,0,0,0,270,478,1960,10.1,0.406,0,0.212,0,0,0,0,0,0,0,0,-0.8,2.8,2.1,0.074,0,0,0,0
"14","Ed Conlin","SG",26,"DET",70,0,1636,300,831,0.361,0,0,0,300,831,0.361,0.361,181,238,0.761,0,0,346,126,0,0,0,158,781,1960,12.4,0.417,0,0.286,0,0,0,0,0,0,0,0,-0.5,1.2,0.7,0.022,0,0,0,0
"15","Larry Costello","PG",28,"SYR",71,0,2469,372,822,0.453,0,0,0,372,822,0.453,0.453,249,289,0.862,0,0,388,449,0,0,0,234,993,1960,15.6,0.523,0,0.352,0,0,0,0,0,0,0,0,5.4,2.6,8,0.156,0,0,0,0
"16","Bob Cousy*","PG",31,"BOS",75,0,2588,568,1481,0.384,0,0,0,568,1481,0.384,0.384,319,403,0.792,0,0,352,715,0,0,0,146,1455,1960,18.7,0.439,0,0.272,0,0,0,0,0,0,0,0,1.9,5.9,7.8,0.145,0,0,0,0
"17","Archie Dees","PF",23,"DET",73,0,1244,271,617,0.439,0,0,0,271,617,0.439,0.439,165,204,0.809,0,0,397,43,0,0,0,188,707,1960,17.2,0.5,0,0.331,0,0,0,0,0,0,0,0,2.7,1,3.7,0.144,0,0,0,0
"18","Connie Dierking","C",23,"SYR",71,0,1119,192,526,0.365,0,0,0,192,526,0.365,0.365,108,188,0.574,0,0,456,54,0,0,0,168,492,1960,12.3,0.404,0,0.357,0,0,0,0,0,0,0,0,-0.8,1.3,0.5,0.022,0,0,0,0
"19","Walter Dukes","C",29,"DET",66,0,2140,314,871,0.361,0,0,0,314,871,0.361,0.361,376,508,0.74,0,0,883,80,0,0,0,310,1004,1960,15.5,0.459,0,0.583,0,0,0,0,0,0,0,0,1.8,2.1,3.9,0.087,0,0,0,0
"20","Boo Ellis","PF",23,"MNL",46,0,671,64,185,0.346,0,0,0,64,185,0.346,0.346,51,76,0.671,0,0,236,27,0,0,0,64,179,1960,10.5,0.41,0,0.411,0,0,0,0,0,0,0,0,-0.2,0.8,0.6,0.041,0,0,0,0
"21","Wayne Embry*","C",22,"CIN",73,0,1594,303,690,0.439,0,0,0,303,690,0.439,0.439,167,325,0.514,0,0,692,83,0,0,0,226,773,1960,16.1,0.464,0,0.471,0,0,0,0,0,0,0,0,1.6,0.5,2,0.061,0,0,0,0
"22","Mike Farmer","SF",23,"NYK",67,0,1536,212,568,0.373,0,0,0,212,568,0.373,0.373,70,83,0.843,0,0,385,57,0,0,0,130,494,1960,8.8,0.409,0,0.146,0,0,0,0,0,0,0,0,-0.7,0.6,-0.1,-0.002,0,0,0,0
"23","Ray Felix","C",29,"TOT",47,0,882,136,355,0.383,0,0,0,136,355,0.383,0.383,70,112,0.625,0,0,340,31,0,0,0,177,342,1960,11.3,0.423,0,0.315,0,0,0,0,0,0,0,0,-0.1,0.9,0.8,0.045,0,0,0,0
"24","Al Ferrari","SG",26,"STL",71,0,1567,216,523,0.413,0,0,0,216,523,0.413,0.413,176,225,0.782,0,0,162,188,0,0,0,205,608,1960,11.2,0.489,0,0.43,0,0,0,0,0,0,0,0,2.3,1,3.3,0.1,0,0,0,0
"25","Bob Ferry","C",22,"STL",62,0,875,144,338,0.426,0,0,0,144,338,0.426,0.426,76,119,0.639,0,0,233,40,0,0,0,132,364,1960,11.5,0.466,0,0.352,0,0,0,0,0,0,0,0,0.8,0.7,1.4,0.078,0,0,0,0
"26","Ed Fleming","SG",26,"MNL",27,0,413,59,141,0.418,0,0,0,59,141,0.418,0.418,53,69,0.768,0,0,87,38,0,0,0,46,171,1960,14.5,0.499,0,0.489,0,0,0,0,0,0,0,0,0.7,0.4,1.2,0.136,0,0,0,0
"27","Larry Foust","C-F",31,"TOT",72,0,1964,312,766,0.407,0,0,0,312,766,0.407,0.407,253,320,0.791,0,0,621,96,0,0,0,241,877,1960,0,0.484,0,0.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Dave Gambee","F",22,"TOT",61,0,656,117,291,0.402,0,0,0,117,291,0.402,0.402,69,106,0.651,0,0,229,38,0,0,0,83,303,1960,0,0.449,0,0.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Dick Garmaker","SG",27,"TOT",70,0,1932,323,815,0.396,0,0,0,323,815,0.396,0.396,203,263,0.772,0,0,313,206,0,0,0,186,849,1960,13,0.456,0,0.323,0,0,0,0,0,0,0,0,1.6,1.5,3.1,0.076,0,0,0,0
"30","Jack George","PG",31,"NYK",69,0,1604,250,650,0.385,0,0,0,250,650,0.385,0.385,155,202,0.767,0,0,197,240,0,0,0,148,655,1960,12,0.443,0,0.311,0,0,0,0,0,0,0,0,0.9,0.6,1.5,0.046,0,0,0,0
"31","Tom Gola*","SG",27,"PHW",75,0,2870,426,983,0.433,0,0,0,426,983,0.433,0.433,270,340,0.794,0,0,779,409,0,0,0,311,1122,1960,15.4,0.495,0,0.346,0,0,0,0,0,0,0,0,4.5,5.4,9.9,0.166,0,0,0,0
"32","Joe Graboski","PF",30,"PHW",73,0,1269,217,583,0.372,0,0,0,217,583,0.372,0.372,131,174,0.753,0,0,358,111,0,0,0,147,565,1960,12.9,0.428,0,0.298,0,0,0,0,0,0,0,0,0.1,2.1,2.2,0.082,0,0,0,0
"33","Johnny Green","PF",26,"NYK",69,0,1232,209,468,0.447,0,0,0,209,468,0.447,0.447,63,155,0.406,0,0,539,52,0,0,0,195,481,1960,13.1,0.449,0,0.331,0,0,0,0,0,0,0,0,0.5,0.7,1.2,0.047,0,0,0,0
"34","Si Green","PG",26,"STL",70,0,1354,159,427,0.372,0,0,0,159,427,0.372,0.372,111,175,0.634,0,0,257,133,0,0,0,150,429,1960,9.5,0.426,0,0.41,0,0,0,0,0,0,0,0,0.1,1,1,0.037,0,0,0,0
"35","Hal Greer*","SG",23,"SYR",70,0,1979,388,815,0.476,0,0,0,388,815,0.476,0.476,148,189,0.783,0,0,303,188,0,0,0,208,924,1960,14.1,0.514,0,0.232,0,0,0,0,0,0,0,0,4.2,1.6,5.8,0.141,0,0,0,0
"36","Gene Guarilia","SF",22,"BOS",48,0,423,58,154,0.377,0,0,0,58,154,0.377,0.377,29,41,0.707,0,0,85,18,0,0,0,57,145,1960,7.7,0.421,0,0.266,0,0,0,0,0,0,0,0,-0.1,0.6,0.5,0.059,0,0,0,0
"37","Richie Guerin*","SG",27,"NYK",74,0,2429,579,1379,0.42,0,0,0,579,1379,0.42,0.42,457,591,0.773,0,0,505,468,0,0,0,242,1615,1960,21.4,0.493,0,0.429,0,0,0,0,0,0,0,0,6.1,1.3,7.4,0.146,0,0,0,0
"38","Cliff Hagan*","SF",28,"STL",75,0,2798,719,1549,0.464,0,0,0,719,1549,0.464,0.464,421,524,0.803,0,0,803,299,0,0,0,270,1859,1960,22,0.522,0,0.338,0,0,0,0,0,0,0,0,9.3,2.5,11.8,0.203,0,0,0,0
"39","Steve Hamilton","SF",25,"MNL",15,0,247,29,77,0.377,0,0,0,29,77,0.377,0.377,18,23,0.783,0,0,58,7,0,0,0,39,76,1960,8.2,0.436,0,0.299,0,0,0,0,0,0,0,0,0,0.2,0.3,0.049,0,0,0,0
