"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Paul Arizin*","SF",23,"PHW",66,0,2939,548,1222,0.448,0,0,0,548,1222,0.448,0.448,578,707,0.818,0,0,745,170,0,0,0,250,1674,1952,25.5,0.546,0,0.579,0,0,0,0,0,0,0,0,14.8,1.2,16,0.261,0,0,0,0
"2","Cliff Barker","SG",31,"INO",44,0,494,48,161,0.298,0,0,0,48,161,0.298,0.298,30,51,0.588,0,0,81,70,0,0,0,56,126,1952,10.8,0.343,0,0.317,0,0,0,0,0,0,0,0,-0.7,0.8,0.1,0.008,0,0,0,0
"3","Don Barksdale*","PF",28,"BLB",62,0,2014,272,804,0.338,0,0,0,272,804,0.338,0.338,237,343,0.691,0,0,601,137,0,0,0,230,781,1952,15.8,0.409,0,0.427,0,0,0,0,0,0,0,0,0.2,1.4,1.5,0.036,0,0,0,0
"4","Leo Barnhorst","SF",27,"INO",66,0,2344,349,897,0.389,0,0,0,349,897,0.389,0.389,122,187,0.652,0,0,430,255,0,0,0,196,820,1952,15.9,0.419,0,0.208,0,0,0,0,0,0,0,0,1.3,3.5,4.7,0.097,0,0,0,0
"5","Elmer Behnke","C",22,"MLH",4,0,55,6,22,0.273,0,0,0,6,22,0.273,0.273,4,7,0.571,0,0,17,4,0,0,0,13,16,1952,7.8,0.319,0,0.318,0,0,0,0,0,0,0,0,-0.2,0.1,-0.1,-0.098,0,0,0,0
"6","Charlie Black","F-C",30,"MLH",13,0,117,6,31,0.194,0,0,0,6,31,0.194,0.194,5,12,0.417,0,0,31,9,0,0,0,31,17,1952,1.1,0.234,0,0.387,0,0,0,0,0,0,0,0,-0.5,0.1,-0.4,-0.148,0,0,0,0
"7","Nelson Bobb","PG",27,"PHW",62,0,1192,110,306,0.359,0,0,0,110,306,0.359,0.359,99,167,0.593,0,0,147,168,0,0,0,182,319,1952,10.9,0.42,0,0.546,0,0,0,0,0,0,0,0,0.7,0.4,1.2,0.048,0,0,0,0
"8","Vince Boryla","SF",24,"NYK",42,0,1440,202,522,0.387,0,0,0,202,522,0.387,0.387,96,115,0.835,0,0,219,90,0,0,0,121,500,1952,12.8,0.437,0,0.22,0,0,0,0,0,0,0,0,1.2,0.9,2.1,0.069,0,0,0,0
"9","Don Boven","SG",26,"MLH",66,0,1982,200,668,0.299,0,0,0,200,668,0.299,0.299,256,350,0.731,0,0,336,177,0,0,0,271,656,1952,12.4,0.399,0,0.524,0,0,0,0,0,0,0,0,-0.2,1.7,1.5,0.036,0,0,0,0
"10","Bob Brannum","PF",25,"BOS",66,0,1324,149,404,0.369,0,0,0,149,404,0.369,0.369,107,171,0.626,0,0,406,76,0,0,0,235,405,1952,12.4,0.423,0,0.423,0,0,0,0,0,0,0,0,0.5,1.5,2,0.074,0,0,0,0
"11","Frankie Brian","SG",28,"FTW",66,0,2672,342,972,0.352,0,0,0,342,972,0.352,0.352,367,433,0.848,0,0,232,233,0,0,0,220,1051,1952,14.8,0.452,0,0.445,0,0,0,0,0,0,0,0,4.3,1.8,6.1,0.11,0,0,0,0
"12","Stan Brown","F",22,"PHW",15,0,141,22,63,0.349,0,0,0,22,63,0.349,0.349,10,18,0.556,0,0,17,9,0,0,0,32,54,1952,6.1,0.381,0,0.286,0,0,0,0,0,0,0,0,-0.1,0,-0.1,-0.035,0,0,0,0
