"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Zaid Abdul-Aziz","C",24,"SEA",61,0,1276,263,597,0.441,0,0,0,263,597,0.441,0.441,139,188,0.739,0,0,468,42,0,0,0,118,665,1971,16.1,0.489,0,0.315,0,0,16.8,4.6,0,0,0,0,1,0.8,1.8,0.067,0,0,0,0
"2","Kareem Abdul-Jabbar*","C",23,"MIL",82,0,3288,1063,1843,0.577,0,0,0,1063,1843,0.577,0.577,470,681,0.69,0,0,1311,272,0,0,0,264,2596,1971,29,0.606,0,0.37,0,0,18.9,12.2,0,0,0,0,17,5.3,22.3,0.326,0,0,0,0
"3","Don Adams","SF",23,"SDR",82,0,2374,391,957,0.409,0,0,0,391,957,0.409,0.409,155,212,0.731,0,0,581,173,0,0,0,344,937,1971,10.8,0.446,0,0.222,0,0,10.7,9.9,0,0,0,0,-0.9,3.8,2.9,0.059,0,0,0,0
"4","Rick Adelman","PG",24,"POR",81,0,2303,378,895,0.422,0,0,0,378,895,0.422,0.422,267,369,0.724,0,0,282,380,0,0,0,214,1023,1971,13.4,0.484,0,0.412,0,0,5.3,21.2,0,0,0,0,1.5,1.9,3.4,0.071,0,0,0,0
"5","Lucius Allen","PG",23,"MIL",61,0,1162,178,398,0.447,0,0,0,178,398,0.447,0.447,77,110,0.7,0,0,152,161,0,0,0,108,433,1971,12.2,0.485,0,0.276,0,0,6.2,16.3,0,0,0,0,0.7,1.2,1.9,0.078,0,0,0,0
"6","Cliff Anderson","SG",26,"TOT",28,0,198,20,65,0.308,0,0,0,20,65,0.308,0.308,46,67,0.687,0,0,48,20,0,0,0,29,86,1971,12.8,0.455,0,1.031,0,0,11.5,13.4,0,0,0,0,0,0.1,0.1,0.022,0,0,0,0
"7","Tiny Archibald*","PG",22,"CIN",82,0,2867,486,1095,0.444,0,0,0,486,1095,0.444,0.444,336,444,0.757,0,0,242,450,0,0,0,218,1308,1971,14,0.507,0,0.405,0,0,3.8,19.9,0,0,0,0,3.4,1.7,5.1,0.085,0,0,0,0
"8","Bob Arnzen","SF",23,"CIN",55,0,594,128,277,0.462,0,0,0,128,277,0.462,0.462,45,52,0.865,0,0,152,24,0,0,0,54,301,1971,14.5,0.502,0,0.188,0,0,11.5,5.4,0,0,0,0,0.6,0.4,1,0.082,0,0,0,0
"9","Al Attles*","PG",34,"SFW",34,0,321,22,54,0.407,0,0,0,22,54,0.407,0.407,24,41,0.585,0,0,40,58,0,0,0,59,68,1971,8.6,0.472,0,0.759,0,0,5.5,22.4,0,0,0,0,0.1,0.3,0.4,0.057,0,0,0,0
"10","Dennis Awtrey","C",22,"PHI",70,0,1292,200,421,0.475,0,0,0,200,421,0.475,0.475,104,157,0.662,0,0,430,89,0,0,0,211,504,1971,13.5,0.514,0,0.373,0,0,14.9,9.1,0,0,0,0,1.4,1.7,3.1,0.114,0,0,0,0
