"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Kareem Abdul-Jabbar*","C",31,"LAL",80,0,3157,777,1347,0.577,0,0,0,777,1347,0.577,0.577,349,474,0.736,207,818,1025,431,76,316,282,230,1903,1979,25.5,0.612,0,0.352,7.6,26.7,17.6,18.9,1.1,5,15.3,23.3,8.8,5.6,14.4,0.219,4.6,3,7.6,7.7
"2","Tom Abernethy","PF",24,"GSW",70,0,1219,176,342,0.515,0,0,0,176,342,0.515,0.515,70,94,0.745,74,142,216,79,39,13,32,133,422,1979,13.6,0.55,0,0.275,6.5,12.6,9.5,8.4,1.5,0.6,7.7,13.8,2.3,1.3,3.7,0.144,0.2,0.7,0.9,0.9
"3","Alvan Adams","C",24,"PHO",77,0,2364,569,1073,0.53,0,0,0,569,1073,0.53,0.53,231,289,0.799,220,485,705,360,110,63,279,246,1369,1979,20.4,0.57,0,0.269,10.5,22.4,16.6,20.8,2.1,1.4,18.9,24.1,3.9,3.7,7.6,0.154,2.3,1.2,3.4,3.2
"4","Lucius Allen","PG",31,"KCK",31,0,413,69,174,0.397,0,0,0,69,174,0.397,0.397,19,33,0.576,14,32,46,44,21,6,30,52,157,1979,8.7,0.416,0,0.19,3.6,8.6,6.1,13.6,2.3,0.8,13.7,20.3,-0.4,0.5,0.1,0.007,-3.7,0.4,-3.3,-0.1
"5","Kim Anderson","SF",23,"POR",21,0,224,24,77,0.312,0,0,0,24,77,0.312,0.312,15,28,0.536,17,28,45,15,4,5,22,42,63,1979,3,0.353,0,0.364,8.3,14.1,11.2,8.5,0.8,1.3,19.8,19.6,-0.6,0.2,-0.4,-0.078,-6.1,-1.3,-7.5,-0.4
"6","Tiny Archibald*","PG",30,"BOS",69,0,1662,259,573,0.452,0,0,0,259,573,0.452,0.452,242,307,0.788,25,78,103,324,55,6,197,132,760,1979,13.1,0.537,0,0.536,1.7,5.3,3.4,26.3,1.5,0.2,21.8,21.3,1,0.6,1.6,0.046,-0.5,-2.1,-2.6,-0.3
"7","Tate Armstrong","SG",23,"CHI",26,0,259,28,70,0.4,0,0,0,28,70,0.4,0.4,10,13,0.769,7,13,20,31,10,0,21,22,66,1979,6.5,0.436,0,0.186,3,5.5,4.2,15.5,1.8,0,21.7,14.9,-0.2,0.2,-0.1,-0.012,-3.9,-0.3,-4.2,-0.2
"8","Dennis Awtrey","C",30,"TOT",63,0,746,44,107,0.411,0,0,0,44,107,0.411,0.411,41,56,0.732,42,109,151,69,16,13,52,106,129,1979,6.7,0.49,0,0.523,6,15.7,10.8,11.1,1,0.9,28.3,9.6,-0.1,0.9,0.7,0.046,-3.5,1.2,-2.3,-0.1
"9","Gus Bailey","SG",27,"NOJ",2,0,9,2,7,0.286,0,0,0,2,7,0.286,0.286,0,0,0,2,0,2,2,0,0,1,1,4,1979,6.1,0.286,0,0,22.5,0,10.9,33.2,0,0,12.5,33.9,0,0,0,-0.201,-4.4,-0.4,-4.8,0
"10","Greg Ballard","SF",24,"WSB",82,0,1552,260,559,0.465,0,0,0,260,559,0.465,0.465,119,172,0.692,143,307,450,116,58,30,97,167,639,1979,14.9,0.503,0,0.308,9.5,19.8,14.7,9.4,1.7,1,13.3,18,1.7,2.2,3.9,0.12,0,0.7,0.7,1.1
"11","Mike Bantom","PF",27,"IND",81,0,2528,482,1036,0.465,0,0,0,482,1036,0.465,0.465,227,338,0.672,225,425,650,223,99,62,193,316,1191,1979,15.7,0.503,0,0.326,9.2,17.3,13.2,12.3,1.8,1.3,14,21.3,2.2,3,5.2,0.099,0,0.3,0.2,1.4
"12","Tom Barker","C",23,"TOT",39,0,476,68,156,0.436,0,0,0,68,156,0.436,0.436,27,37,0.73,45,74,119,15,10,11,34,76,163,1979,9.1,0.473,0,0.237,10.2,17,13.6,4.1,1,1.2,16.5,17,-0.1,0.4,0.3,0.031,-3.5,-1,-4.6,-0.4
"13","Marvin Barnes","PF",26,"BOS",38,0,796,133,271,0.491,0,0,0,133,271,0.491,0.491,43,66,0.652,57,120,177,53,38,39,68,144,309,1979,12.3,0.515,0,0.244,7.9,16.9,12.3,9.1,2.2,2.5,18.5,18.1,0.1,0.9,1,0.06,-2.7,1.2,-1.5,0.1
"14","Rick Barry*","SF",34,"HOU",80,0,2566,461,1000,0.461,0,0,0,461,1000,0.461,0.461,160,169,0.947,40,237,277,502,95,38,198,195,1082,1979,14.7,0.504,0,0.169,1.7,9.9,5.9,25.7,1.7,0.8,15.6,19.6,2.9,1.3,4.2,0.078,0.9,-0.1,0.8,1.8
"15","Tim Bassett","PF",27,"NJN",82,0,1508,116,313,0.371,0,0,0,116,313,0.371,0.371,89,131,0.679,174,244,418,99,44,29,103,219,321,1979,8,0.433,0,0.419,11.7,17.7,14.6,8.2,1.3,1,21.7,11.8,-0.5,1.9,1.4,0.045,-3.2,0.1,-3.1,-0.4
"16","Butch Beard","PG",31,"NYK",7,0,85,11,26,0.423,0,0,0,11,26,0.423,0.423,0,0,0,1,9,10,19,7,0,10,13,22,1979,9,0.423,0,0,1.3,11.5,6.3,27.9,3.8,0,27.8,16.6,-0.1,0.1,0,-0.012,-4,0.6,-3.4,0
"17","Ron Behagen","PF",28,"TOT",15,0,165,28,62,0.452,0,0,0,28,62,0.452,0.452,10,13,0.769,13,29,42,7,4,1,11,36,66,1979,9.6,0.487,0,0.21,8.4,19.4,13.8,5.5,1.1,0.3,14,18.4,0,0.2,0.2,0.066,-3.3,-0.4,-3.7,-0.1
"18","Kent Benson","C",24,"MIL",82,0,2132,413,798,0.518,0,0,0,413,798,0.518,0.518,180,245,0.735,187,397,584,204,89,81,156,280,1006,1979,17.3,0.555,0,0.307,9.7,20.6,15.1,12.1,1.9,2,14.7,19.3,3.5,2.9,6.4,0.143,0.6,0.8,1.4,1.8
"19","Del Beshore","PG",22,"MIL",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004,-4.7,0,-4.7,0
"20","Henry Bibby","PG",29,"PHI",82,0,2538,368,869,0.423,0,0,0,368,869,0.423,0.423,266,335,0.794,72,172,244,371,72,7,197,199,1002,1979,11.2,0.493,0,0.386,3.1,6.8,5,19.2,1.3,0.1,16.2,18.6,1.3,2.4,3.7,0.069,-1.6,-0.8,-2.4,-0.2
