"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Forest Able","G",24,"SYR",1,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1957,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.062,0,0,0,0
"2","Paul Arizin*","SF",28,"PHW",71,0,2767,613,1451,0.422,0,0,0,613,1451,0.422,0.422,591,713,0.829,0,0,561,150,0,0,0,274,1817,1957,22.2,0.515,0,0.491,0,0,0,0,0,0,0,0,10.7,1.6,12.3,0.213,0,0,0,0
"3","Bob Armstrong","C-F",23,"PHW",19,0,110,11,37,0.297,0,0,0,11,37,0.297,0.297,6,12,0.5,0,0,39,3,0,0,0,13,28,1957,7.8,0.331,0,0.324,0,0,0,0,0,0,0,0,-0.2,0.1,-0.1,-0.063,0,0,0,0
"4","Jim Baechtold","SF",29,"NYK",45,0,462,75,197,0.381,0,0,0,75,197,0.381,0.381,66,88,0.75,0,0,80,33,0,0,0,39,216,1957,15.3,0.458,0,0.447,0,0,0,0,0,0,0,0,0.6,0.3,0.9,0.096,0,0,0,0
"5","John Barber","F",29,"STL",5,0,19,2,8,0.25,0,0,0,2,8,0.25,0.25,3,6,0.5,0,0,6,0,0,0,0,4,7,1957,4.2,0.329,0,0.75,0,0,0,0,0,0,0,0,-0.1,0,0,-0.108,0,0,0,0
"6","Ernie Beck","SG",25,"PHW",72,0,1743,195,508,0.384,0,0,0,195,508,0.384,0.384,111,157,0.707,0,0,312,190,0,0,0,155,501,1957,11.7,0.434,0,0.309,0,0,0,0,0,0,0,0,1,1.1,2.1,0.057,0,0,0,0
"7","Irv Bemoras","SF",26,"STL",62,0,983,124,385,0.322,0,0,0,124,385,0.322,0.322,70,103,0.68,0,0,127,46,0,0,0,76,318,1957,6.9,0.369,0,0.268,0,0,0,0,0,0,0,0,-1.3,0.6,-0.6,-0.031,0,0,0,0
"8","Gary Bergen","C",24,"NYK",6,0,40,3,11,0.273,0,0,0,3,11,0.273,0.273,2,2,1,0,0,8,1,0,0,0,4,8,1957,4.7,0.337,0,0.182,0,0,0,0,0,0,0,0,-0.1,0,0,-0.044,0,0,0,0
"9","Al Bianchi","PG",24,"SYR",68,0,1577,199,567,0.351,0,0,0,199,567,0.351,0.351,165,239,0.69,0,0,227,106,0,0,0,198,563,1957,9.6,0.419,0,0.422,0,0,0,0,0,0,0,0,0.2,1.3,1.5,0.046,0,0,0,0
"10","Carl Braun*","PG",29,"NYK",72,0,2345,378,993,0.381,0,0,0,378,993,0.381,0.381,245,303,0.809,0,0,259,256,0,0,0,195,1001,1957,13.8,0.444,0,0.305,0,0,0,0,0,0,0,0,2.3,1.4,3.7,0.077,0,0,0,0
"11","Bob Burrow","C",22,"ROC",67,0,1028,137,366,0.374,0,0,0,137,366,0.374,0.374,130,211,0.616,0,0,293,41,0,0,0,165,404,1957,13.1,0.44,0,0.577,0,0,0,0,0,0,0,0,0.7,1.6,2.3,0.106,0,0,0,0
"12","Nat Clifton*","PF",34,"NYK",71,0,2231,308,818,0.377,0,0,0,308,818,0.377,0.377,146,217,0.673,0,0,557,164,0,0,0,243,762,1957,12.1,0.417,0,0.265,0,0,0,0,0,0,0,0,0.2,1.6,1.8,0.04,0,0,0,0
"13","Jack Coleman","PF",32,"STL",72,0,2145,316,775,0.408,0,0,0,316,775,0.408,0.408,123,161,0.764,0,0,645,159,0,0,0,235,755,1957,14.6,0.446,0,0.208,0,0,0,0,0,0,0,0,1.7,2.4,4.1,0.091,0,0,0,0
"14","Ed Conlin","SG",23,"SYR",71,0,2250,335,896,0.374,0,0,0,335,896,0.374,0.374,283,368,0.769,0,0,430,205,0,0,0,170,953,1957,15.4,0.45,0,0.411,0,0,0,0,0,0,0,0,2.5,2.2,4.7,0.101,0,0,0,0
"15","Larry Costello","PG",25,"PHW",72,0,2111,186,497,0.374,0,0,0,186,497,0.374,0.374,175,222,0.788,0,0,323,236,0,0,0,182,547,1957,11.3,0.46,0,0.447,0,0,0,0,0,0,0,0,2.1,1.3,3.4,0.077,0,0,0,0
"16","Bob Cousy*","PG",28,"BOS",64,0,2364,478,1264,0.378,0,0,0,478,1264,0.378,0.378,363,442,0.821,0,0,309,478,0,0,0,134,1319,1957,21,0.452,0,0.35,0,0,0,0,0,0,0,0,4,4.7,8.8,0.178,0,0,0,0
"17","Walt Davis","PF",26,"PHW",65,0,1250,178,437,0.407,0,0,0,178,437,0.407,0.407,74,106,0.698,0,0,306,52,0,0,0,235,430,1957,9.8,0.445,0,0.243,0,0,0,0,0,0,0,0,0.8,0.8,1.6,0.06,0,0,0,0
