"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"65","Howard Komives","PG",25,"NYK",65,0,2282,402,995,0.404,0,0,0,402,995,0.404,0.404,217,253,0.858,0,0,183,401,0,0,0,213,1021,1967,13,0.461,0,0.254,0,0,0,23.2,0,0,0,0,0.7,0.8,1.5,0.031,0,0,0,0
"66","Tommy Kron","SG",23,"STL",32,0,221,27,87,0.31,0,0,0,27,87,0.31,0.31,13,19,0.684,0,0,36,46,0,0,0,35,67,1967,8.8,0.351,0,0.218,0,0,0,26.5,0,0,0,0,-0.5,0.2,-0.3,-0.06,0,0,0,0
"67","Rudy LaRusso","PF",29,"LAL",45,0,1292,211,509,0.415,0,0,0,211,509,0.415,0.415,156,224,0.696,0,0,351,78,0,0,0,149,578,1967,12.8,0.476,0,0.44,0,0,0,7.5,0,0,0,0,0.7,1.1,1.7,0.064,0,0,0,0
"68","Clyde Lee","C",22,"SFW",74,0,1247,205,503,0.408,0,0,0,205,503,0.408,0.408,105,166,0.633,0,0,551,77,0,0,0,168,515,1967,13.9,0.447,0,0.33,0,0,0,7.6,0,0,0,0,-0.2,2.3,2.1,0.08,0,0,0,0
"69","George Lee","F-G",30,"SFW",1,0,5,3,4,0.75,0,0,0,3,4,0.75,0.75,6,7,0.857,0,0,0,0,0,0,0,0,12,1967,77,0.847,0,1.75,0,0,0,0,0,0,0,0,0.1,0,0.1,1.384,0,0,0,0
"70","Freddie Lewis","PG",23,"CIN",32,0,334,60,153,0.392,0,0,0,60,153,0.392,0.392,29,41,0.707,0,0,44,40,0,0,0,49,149,1967,10.5,0.436,0,0.268,0,0,0,15.8,0,0,0,0,-0.2,0.2,0,0.004,0,0,0,0
"71","Kevin Loughery","SG",26,"BAL",76,0,2577,520,1306,0.398,0,0,0,520,1306,0.398,0.398,340,412,0.825,0,0,349,288,0,0,0,294,1380,1967,13.7,0.464,0,0.315,0,0,0,15.2,0,0,0,0,0.9,1.7,2.5,0.047,0,0,0,0
"72","Bob Love","PF",24,"CIN",66,0,1074,173,403,0.429,0,0,0,173,403,0.429,0.429,93,147,0.633,0,0,257,49,0,0,0,153,439,1967,10.7,0.469,0,0.365,0,0,0,5.9,0,0,0,0,0.3,0.6,1,0.043,0,0,0,0
"73","Jerry Lucas*","PF",26,"CIN",81,0,3558,577,1257,0.459,0,0,0,577,1257,0.459,0.459,284,359,0.791,0,0,1547,268,0,0,0,280,1438,1967,16.9,0.508,0,0.286,0,0,0,9.7,0,0,0,0,4.1,3.2,7.3,0.098,0,0,0,0
"74","Jack Marin","SF",22,"BAL",74,0,1323,283,632,0.448,0,0,0,283,632,0.448,0.448,145,187,0.775,0,0,313,75,0,0,0,199,711,1967,14.4,0.498,0,0.296,0,0,0,7.8,0,0,0,0,1.6,0.9,2.5,0.09,0,0,0,0
"75","Jon McGlocklin","SF",23,"CIN",60,0,1194,217,493,0.44,0,0,0,217,493,0.44,0.44,74,104,0.712,0,0,164,93,0,0,0,84,508,1967,11.4,0.471,0,0.211,0,0,0,10.3,0,0,0,0,0.5,0.6,1.1,0.043,0,0,0,0
"76","McCoy McLemore","SF",24,"CHI",79,0,1382,258,670,0.385,0,0,0,258,670,0.385,0.385,210,272,0.772,0,0,374,62,0,0,0,189,726,1967,13.5,0.46,0,0.406,0,0,0,6.2,0,0,0,0,0.2,1.6,1.8,0.062,0,0,0,0
"77","Bill Melchionni","PG",22,"PHI",73,0,692,138,353,0.391,0,0,0,138,353,0.391,0.391,39,60,0.65,0,0,98,98,0,0,0,73,315,1967,10.8,0.415,0,0.17,0,0,0,17.6,0,0,0,0,-0.7,0.7,-0.1,-0.005,0,0,0,0
"78","Tom Meschery","PF",28,"SFW",72,0,1846,293,706,0.415,0,0,0,293,706,0.415,0.415,175,244,0.717,0,0,549,94,0,0,0,264,761,1967,11.6,0.468,0,0.346,0,0,0,6.3,0,0,0,0,0.5,2.6,3.1,0.081,0,0,0,0
"79","Eddie Miles","SG",26,"DET",81,0,2419,582,1363,0.427,0,0,0,582,1363,0.427,0.427,261,338,0.772,0,0,298,181,0,0,0,216,1425,1967,14.9,0.471,0,0.248,0,0,0,11.4,0,0,0,0,1.4,2.3,3.7,0.073,0,0,0,0
"80","Wayne Molis","C",23,"NYK",13,0,75,19,51,0.373,0,0,0,19,51,0.373,0.373,7,13,0.538,0,0,22,2,0,0,0,9,45,1967,11.7,0.397,0,0.255,0,0,0,3.9,0,0,0,0,-0.2,0,-0.2,-0.099,0,0,0,0
"81","Erwin Mueller","C",22,"CHI",80,0,2136,422,957,0.441,0,0,0,422,957,0.441,0.441,171,260,0.658,0,0,497,131,0,0,0,223,1015,1967,13.3,0.474,0,0.272,0,0,0,8.6,0,0,0,0,1,2.4,3.5,0.078,0,0,0,0
"82","Jeff Mullins","SG",24,"SFW",77,0,1835,421,919,0.458,0,0,0,421,919,0.458,0.458,150,214,0.701,0,0,388,226,0,0,0,195,992,1967,15.8,0.49,0,0.233,0,0,0,16.6,0,0,0,0,1.9,2.7,4.5,0.119,0,0,0,0
"83","Dorie Murrey","PF",23,"DET",35,0,311,33,82,0.402,0,0,0,33,82,0.402,0.402,32,54,0.593,0,0,102,12,0,0,0,57,98,1967,10,0.463,0,0.659,0,0,0,4.9,0,0,0,0,0.1,0.4,0.5,0.072,0,0,0,0
"84","Don Nelson*","SF",26,"BOS",79,0,1202,227,509,0.446,0,0,0,227,509,0.446,0.446,141,190,0.742,0,0,295,65,0,0,0,143,595,1967,14.3,0.502,0,0.373,0,0,0,7.1,0,0,0,0,1.5,1.8,3.3,0.131,0,0,0,0
"85","Paul Neumann","PG",29,"SFW",78,0,2421,386,911,0.424,0,0,0,386,911,0.424,0.424,312,390,0.8,0,0,272,342,0,0,0,266,1084,1967,13,0.501,0,0.428,0,0,0,17.4,0,0,0,0,2.8,3,5.8,0.115,0,0,0,0
"86","Don Ohl","SG",30,"BAL",58,0,2024,452,1002,0.451,0,0,0,452,1002,0.451,0.451,276,354,0.78,0,0,189,168,0,0,0,153,1180,1967,15.3,0.51,0,0.353,0,0,0,11.6,0,0,0,0,3.4,1.1,4.4,0.104,0,0,0,0
