"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Kareem Abdul-Jabbar*","C","33","LAL","3","0","44.7","10","21.7","0.462","0","0","0","10","21.7","0.462","0.462","6.7","9.3","0.714","4.3","12.3","16.7","4","1","2.7","3.7","4.7","26.7","1",1981
"2","Alvan Adams","C","26","PHO","7","0","31.1","3.9","8.6","0.45","0","0","0","3.9","8.6","0.45","0.45","2.9","4","0.714","1.6","4.3","5.9","3.7","0.6","0.1","2.7","2.9","10.6","3",1981
"3","Tiny Archibald*","PG","32","BOS","17","0","37.1","5.6","12.4","0.45","0","0.3","0","5.6","12.1","0.461","0.45","4.5","5.5","0.809","0.4","1.3","1.6","6.3","0.8","0","2.9","2.3","15.6","12",1981
"4","Mike Bantom","SF","29","IND","2","0","25.5","6","8","0.75","0","0","0","6","8","0.75","0.75","2.5","3.5","0.714","2.5","1.5","4","0.5","0.5","0.5","3","5","14.5","0",1981
"5","Billy Ray Bates","SG","24","POR","3","0","38.3","11.7","20.7","0.565","0.3","0.3","1","11.3","20.3","0.557","0.573","4.7","5.7","0.824","1","1.3","2.3","4.3","1.7","0.3","3.7","3.7","28.3","1",1981
"6","Larry Bird*","PF","24","BOS","17","0","44.1","8.6","18.4","0.47","0.2","0.5","0.375","8.5","17.9","0.472","0.474","4.5","5","0.894","2.9","11.1","14","6.1","2.3","1","3.6","3.1","21.9","12",1981
"7","Otis Birdsong","SG","25","KCK","8","0","29.3","7","12.3","0.571","0.1","0.1","1","6.9","12.1","0.567","0.577","1.4","2.3","0.611","1","1.6","2.6","3.4","1.5","0","2.5","1.6","15.5","7",1981
"8","Dudley Bradley","SG","23","IND","2","0","9.5","1.5","4.5","0.333","0.5","0.5","1","1","4","0.25","0.389","1","1","1","0.5","0.5","1","1","1","0","2.5","2","4.5","0",1981
"9","Jim Brewer","PF","29","LAL","3","0","2.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3","0.3","0","0","0","0","0.3","0","1",1981
"10","Ron Brewer","SG","25","SAS","7","0","16.9","4.1","8.7","0.475","0.1","0.4","0.333","4","8.3","0.483","0.484","3","4.1","0.724","0","0.7","0.7","1.9","0.1","0.9","0.9","0.9","11.4","3",1981
