"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Ray Allen*","SG","25","MIL","18","18","42.7","8.8","18.4","0.477","3.2","6.6","0.479","5.6","11.8","0.476","0.563","4.4","4.8","0.919","1.1","3.1","4.1","6","1.3","0.6","2.4","2.4","25.1","10",2001
"2","Rafer Alston","PG","24","MIL","5","0","1.6","0","0.2","0","0","0","0","0","0.2","0","0","0","0","0","0","0","0","0.2","0","0","0.4","0","0","10",2001
"3","John Amaechi","C","30","ORL","4","0","7.3","0.8","2","0.375","0","0","0","0.8","2","0.375","0.375","0.8","1","0.75","0.3","0.5","0.8","0.8","0.8","0.5","0","0.5","2.3","1",2001
"4","Derek Anderson","SG","26","SAS","7","7","27.7","2.3","8.7","0.262","0.9","3.1","0.273","1.4","5.6","0.256","0.311","2.3","3","0.762","0.4","2.3","2.7","2.4","0.4","0","2.1","1.4","7.7","7",2001
"5","Greg Anthony","PG","33","POR","2","0","8.5","1","3","0.333","0.5","1.5","0.333","0.5","1.5","0.333","0.417","0","0","0","0","0","0","0","0.5","0","0.5","1","2.5","0",2001
"6","Darrell Armstrong","PG","32","ORL","4","4","41.8","4.3","11.3","0.378","1.8","4.8","0.368","2.5","6.5","0.385","0.456","3","3.3","0.923","1.3","4.3","5.5","4.8","2","0.5","2.8","2.5","13.3","1",2001
"7","Stacey Augmon","SG","32","POR","2","0","14","2","5","0.4","0","0","0","2","5","0.4","0.4","1","1","1","0.5","1.5","2","2","0.5","0","0.5","1.5","5","0",2001
"8","William Avery","PG","21","MIN","2","0","6","1.5","3","0.5","0.5","1","0.5","1","2","0.5","0.583","0","0","0","0","0.5","0.5","1","0","0.5","0","0","3.5","1",2001
"9","Jon Barry","SG","31","SAC","7","0","7.9","1","2.4","0.412","0.3","1","0.286","0.7","1.4","0.5","0.471","0","0","0","0.4","0","0.4","0.6","0.1","0","0.4","1","2.3","3",2001
"10","Raja Bell","SG","24","PHI","15","0","8.3","0.8","1.8","0.444","0.1","0.5","0.25","0.7","1.3","0.526","0.481","0.5","0.9","0.571","0.3","0.6","0.9","0.5","1","0","0.3","1.3","2.3","12",2001
"11","Jonathan Bender","SF","20","IND","1","0","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1",2001
