"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Paul Arizin*","SF","29","PHW","8","0","38.6","8.3","21.1","0.391","0","0","0","8.3","21.1","0.391","0.391","7","9","0.778","0","0","7.8","2","0","0","0","3.3","23.5","3",1958
"2","Ernie Beck","SG","26","PHW","8","0","19.5","2.9","7.6","0.377","0","0","0","2.9","7.6","0.377","0.377","0.8","1.1","0.667","0","0","4","1.6","0","0","0","2","6.5","3",1958
"3","Al Bianchi","SG","25","SYR","2","0","18.5","2","6","0.333","0","0","0","2","6","0.333","0.333","1.5","4","0.375","0","0","3.5","1","0","0","0","2","5.5","1",1958
"4","Nat Clifton*","PF","35","DET","7","0","10.6","1.6","4.3","0.367","0","0","0","1.6","4.3","0.367","0.367","0.9","1.1","0.75","0","0","3.3","0.6","0","0","0","1.6","4","3",1958
"5","Jack Coleman","PF","33","STL","11","0","22.1","3.5","8.1","0.427","0","0","0","3.5","8.1","0.427","0.427","2.1","3.6","0.575","0","0","5.5","1.7","0","0","0","3.5","9","8",1958
"6","Ed Conlin","SF","24","SYR","3","0","37.7","4.7","15","0.311","0","0","0","4.7","15","0.311","0.311","1.7","2.3","0.714","0","0","7","1.3","0","0","0","3.3","11","1",1958
"7","Larry Costello","PG","26","SYR","3","0","44.7","3.3","11.3","0.294","0","0","0","3.3","11.3","0.294","0.294","4.7","4.7","1","0","0","8.3","4","0","0","0","2","11.3","1",1958
"8","Bob Cousy*","PG","29","BOS","11","0","41.5","6.1","17.8","0.342","0","0","0","6.1","17.8","0.342","0.342","5.8","6.8","0.853","0","0","6.5","7.5","0","0","0","1.8","18","6",1958
"9","Walt Davis","PF","27","STL","9","0","7.3","1.2","3.2","0.379","0","0","0","1.2","3.2","0.379","0.379","1.1","1.3","0.833","0","0","3","0.3","0","0","0","2.4","3.6","8",1958
"10","George Dempsey","PG","28","PHW","8","0","12.6","1.8","3.5","0.5","0","0","0","1.8","3.5","0.5","0.5","0.6","1.1","0.556","0","0","2.3","0.8","0","0","0","1.4","4.1","3",1958
"11","Walter Dukes","C","27","DET","7","0","40.9","5.3","14.4","0.366","0","0","0","5.3","14.4","0.366","0.366","5.3","8","0.661","0","0","13.9","0.6","0","0","0","5.4","15.9","3",1958
"12","Pat Dunn","SG","26","PHW","3","0","2.7","0","1.3","0","0","0","0","0","1.3","0","0","0","0","0","0","0","0.3","0.3","0","0","0","0.3","0","3",1958
"13","Harry Gallatin*","PF","30","DET","7","0","26","4.6","12.4","0.368","0","0","0","4.6","12.4","0.368","0.368","3.7","5.3","0.703","0","0","10","1.6","0","0","0","3.9","12.9","3",1958
"14","Jack George","PG","29","PHW","8","0","34.6","3.8","10.1","0.37","0","0","0","3.8","10.1","0.37","0.37","2","2.5","0.8","0","0","4.8","3.9","0","0","0","1.8","9.5","3",1958
"15","Tom Gola*","SG","25","PHW","8","0","40.9","4.5","13.6","0.33","0","0","0","4.5","13.6","0.33","0.33","4.8","6.4","0.745","0","0","10.5","4","0","0","0","3","13.8","3",1958
"16","Joe Graboski","PF","28","PHW","8","0","31.5","5","17.3","0.29","0","0","0","5","17.3","0.29","0.29","2.3","2.9","0.783","0","0","10.3","3.8","0","0","0","2.6","12.3","3",1958
"17","Cliff Hagan*","SF","26","STL","11","0","38","10.1","20.1","0.502","0","0","0","10.1","20.1","0.502","0.502","7.5","9","0.838","0","0","10.5","3.4","0","0","0","4.4","27.7","8",1958
"18","Bob Harrison","SG","30","SYR","3","0","14.3","1.3","5.3","0.25","0","0","0","1.3","5.3","0.25","0.25","0.7","1","0.667","0","0","2.3","1.7","0","0","0","2","3.3","1",1958
"19","Tom Heinsohn*","PF","23","BOS","11","0","31.7","6.2","17.6","0.351","0","0","0","6.2","17.6","0.351","0.351","5.1","6.5","0.778","0","0","10.8","1.6","0","0","0","4.7","17.5","6",1958
"20","Joe Holup","SF","23","DET","7","0","19.1","2.1","6.1","0.349","0","0","0","2.1","6.1","0.349","0.349","1.7","2.3","0.75","0","0","5.1","0.4","0","0","0","2.9","6","3",1958
"22","Bob Hopkins","PF","23","SYR","3","0","13","1.3","5.3","0.25","0","0","0","1.3","5.3","0.25","0.25","1.3","2","0.667","0","0","4.7","0","0","0","0","2.3","4","1",1958
"23","Neil Johnston*","C","28","PHW","8","0","23.6","3.8","9.8","0.385","0","0","0","3.8","9.8","0.385","0.385","3.4","4.1","0.818","0","0","8.6","1.8","0","0","0","2.3","10.9","3",1958
"24","Sam Jones*","SG","24","BOS","8","0","9.4","1.3","2.8","0.455","0","0","0","1.3","2.8","0.455","0.455","1.4","2","0.688","0","0","3","0.5","0","0","0","0.9","3.9","6",1958
"25","Phil Jordon","C","24","DET","6","0","10.3","2","5","0.4","0","0","0","2","5","0.4","0.4","2.5","3.3","0.75","0","0","2","0.3","0","0","0","2.5","6.5","3",1958
"26","Billy Kenville","SG","27","DET","7","0","14.1","2.6","6.3","0.409","0","0","0","2.6","6.3","0.409","0.409","1.4","2.6","0.556","0","0","2.7","0.7","0","0","0","1.7","6.6","3",1958
"27","Red Kerr","C","25","SYR","3","0","38.7","6","18.3","0.327","0","0","0","6","18.3","0.327","0.327","4.7","6","0.778","0","0","20.3","1","0","0","0","1.7","16.7","1",1958
"28","George King","PG","29","CIN","2","0","39.5","3.5","14","0.25","0","0","0","3.5","14","0.25","0.25","2","3","0.667","0","0","2.5","3.5","0","0","0","2.5","9","0",1958
"29","Earl Lloyd*","SF","29","SYR","3","0","10.7","1.7","4.7","0.357","0","0","0","1.7","4.7","0.357","0.357","0","0","0","0","0","2.7","0","0","0","0","2.7","3.3","1",1958
"30","Clyde Lovellette*","C","28","CIN","2","0","36","6","15.5","0.387","0","0","0","6","15.5","0.387","0.387","4.5","7","0.643","0","0","10.5","0.5","0","0","0","4.5","16.5","0",1958
"31","Ed Macauley*","C","29","STL","11","0","20.6","3.3","8.1","0.404","0","0","0","3.3","8.1","0.404","0.404","3.3","4.5","0.72","0","0","5.6","1.6","0","0","0","2.1","9.8","8",1958
"32","Tom Marshall","SF","27","CIN","2","0","16.5","3.5","8.5","0.412","0","0","0","3.5","8.5","0.412","0.412","2","2.5","0.8","0","0","8","1","0","0","0","0.5","9","0",1958
"33","Slater Martin*","PG","32","STL","11","0","37.8","4","12.5","0.321","0","0","0","4","12.5","0.321","0.321","3.5","5.7","0.619","0","0","4.4","3.6","0","0","0","3.6","11.5","8",1958
"34","Dick McGuire*","PG","32","DET","7","0","33.7","3.6","8.6","0.417","0","0","0","3.6","8.6","0.417","0.417","2.4","3.4","0.708","0","0","4.7","5.7","0","0","0","1.9","9.6","3",1958
"35","Jack McMahon","SG","29","STL","11","0","30.2","3.3","8","0.409","0","0","0","3.3","8","0.409","0.409","1.3","2.4","0.538","0","0","3.4","4.6","0","0","0","3.3","7.8","8",1958
"36","Monk Meineke","PF","27","CIN","2","0","16","0.5","5.5","0.091","0","0","0","0.5","5.5","0.091","0.091","3","4","0.75","0","0","5.5","0.5","0","0","0","1.5","4","0",1958
"37","Jack Nichols","PF","31","BOS","11","0","13.5","2.1","6","0.348","0","0","0","2.1","6","0.348","0.348","0.6","0.9","0.7","0","0","4.1","0.7","0","0","0","1.9","4.8","6",1958
"38","Chuck Noble","SG","26","DET","7","0","10.3","1.1","5.4","0.211","0","0","0","1.1","5.4","0.211","0.211","0.6","1.1","0.5","0","0","1.9","0.9","0","0","0","1.3","2.9","3",1958
"39","Togo Palazzi","SF","25","SYR","3","0","8.3","1","4.7","0.214","0","0","0","1","4.7","0.214","0.214","1","2","0.5","0","0","1.3","0","0","0","0","1.3","3","1",1958
"40","Med Park","SG","24","STL","10","0","14.7","1.7","4.2","0.405","0","0","0","1.7","4.2","0.405","0.405","1.3","2.2","0.591","0","0","2.4","1.2","0","0","0","2.4","4.7","8",1958
