"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Paul Arizin*","SF","28","PHW","2","0","11","1.5","4","0.375","0","0","0","1.5","4","0.375","0.375","1.5","2.5","0.6","0","0","4","0.5","0","0","0","1.5","4.5","0",1957
"2","Ernie Beck","SG","25","PHW","2","0","44.5","7","19","0.368","0","0","0","7","19","0.368","0.368","1.5","1.5","1","0","0","5","2.5","0","0","0","2","15.5","0",1957
"3","Irv Bemoras","SF","26","STL","3","0","6.7","1","2.7","0.375","0","0","0","1","2.7","0.375","0.375","1","1","1","0","0","2","0.3","0","0","0","1.3","3","8",1957
"4","Al Bianchi","PG","24","SYR","5","0","19.4","2.4","7.6","0.316","0","0","0","2.4","7.6","0.316","0.316","1.6","2.4","0.667","0","0","3","1.6","0","0","0","3.2","6.4","2",1957
"5","Jack Coleman","PF","32","STL","10","0","31.3","3.6","11.3","0.319","0","0","0","3.6","11.3","0.319","0.319","2","3.4","0.588","0","0","8.8","3.3","0","0","0","3.2","9.2","8",1957
"6","Ed Conlin","SG","23","SYR","5","0","32.8","5.6","14.2","0.394","0","0","0","5.6","14.2","0.394","0.394","4.2","5.4","0.778","0","0","3.4","3","0","0","0","2.2","15.4","2",1957
"7","Larry Costello","PG","25","PHW","2","0","8","1.5","4","0.375","0","0","0","1.5","4","0.375","0.375","0","0.5","0","0","0","2.5","1","0","0","0","1.5","3","0",1957
"8","Bob Cousy*","PG","28","BOS","10","0","44","6.7","20.7","0.324","0","0","0","6.7","20.7","0.324","0.324","6.8","9.1","0.747","0","0","6.1","9.3","0","0","0","2.7","20.2","7",1957
"9","Walt Davis","PF","26","PHW","2","0","18.5","2","6.5","0.308","0","0","0","2","6.5","0.308","0.308","2","2","1","0","0","7","0.5","0","0","0","4","6","0",1957
"10","George Dempsey","PG","27","PHW","2","0","37","4.5","10.5","0.429","0","0","0","4.5","10.5","0.429","0.429","3.5","8","0.438","0","0","7.5","6","0","0","0","2.5","12.5","0",1957
