"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Derek Anderson","SF","23","CLE","4","0","25.8","2.5","5.5","0.455","0","0","0","2.5","5.5","0.455","0.455","5.8","6.5","0.885","0","2.3","2.3","2.8","1.3","0.3","3","2.5","10.8","1",1998
"2","Greg Anderson","C","33","ATL","1","0","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","1","1","1","0","1",1998
"3","Shandon Anderson","SG","24","UTA","20","0","18.9","2.7","5.2","0.515","0.2","0.6","0.273","2.5","4.6","0.543","0.529","1.3","1.9","0.676","1.3","1.9","3.2","1","0.3","0.1","1.5","1.5","6.7","13",1998
"4","Greg Anthony","PG","30","SEA","9","0","13.1","1.3","4.4","0.3","0.6","2.1","0.263","0.8","2.3","0.333","0.363","0.3","0.9","0.375","0.3","0.8","1.1","1.1","0.6","0.1","1.2","1.9","3.6","4",1998
"5","B.J. Armstrong","PG","30","CHH","9","0","16.2","1.8","4.7","0.381","0.2","0.6","0.4","1.6","4.1","0.378","0.405","0.3","0.4","0.75","0.2","0.9","1.1","2","0.7","0","0.7","1.2","4.1","4",1998
"6","Keith Askins","SF","30","MIA","4","0","14.5","0.5","1.8","0.286","0.3","1.3","0.2","0.3","0.5","0.5","0.357","0","0","0","0.3","1.5","1.8","0.3","0.5","0","0.3","2.3","1.3","2",1998
"7","Stacey Augmon","SG","29","POR","4","0","7","0.5","1","0.5","0","0","0","0.5","1","0.5","0.5","0.3","0.5","0.5","0.3","0.5","0.8","0.3","0.5","0.3","0.5","0.5","1.3","1",1998
"8","Vin Baker","C","26","SEA","10","10","37.1","7.1","13.4","0.53","0","0","0","7.1","13.4","0.53","0.53","1.6","3.8","0.421","4.1","5.3","9.4","1.8","1.8","1.5","2.2","3.8","15.8","4",1998
"9","Charles Barkley*","PF","34","HOU","4","0","21.8","3","5.8","0.522","0","0.5","0","3","5.3","0.571","0.522","3","5.3","0.571","1.3","4","5.3","1","1.3","0","1.5","3","9","2",1998
"10","Drew Barry","PG","24","ATL","2","0","2.5","0","0.5","0","0","0.5","0","0","0","0","0","0","0","0","0","0.5","0.5","0","0","0","0","0","0","1",1998
"11","Jon Barry","SG","28","LAL","7","0","2.6","0","1.1","0","0","0.7","0","0","0.4","0","0","0","0","0","0","0.3","0.3","0","0.1","0","0","0.1","0","7",1998
"12","Corey Beck","PG","26","CHH","6","0","4.3","1","2","0.5","0.2","0.3","0.5","0.8","1.7","0.5","0.542","0.3","0.3","1","0.2","0","0.2","0","0.7","0","0.5","0.7","2.5","4",1998
"13","Mario Bennett","PF","24","LAL","4","0","2.5","0.3","0.5","0.5","0","0","0","0.3","0.5","0.5","0.5","0.5","0.5","1","0.5","1","1.5","0","0","0.3","0","0.5","1","7",1998
"14","Travis Best","PG","25","IND","16","0","17.5","1.7","4.5","0.375","0.3","1.1","0.278","1.4","3.4","0.407","0.41","2.4","2.7","0.884","0.1","0.9","1","1.9","0.7","0.2","1.2","2.3","6.1","10",1998
"15","Mookie Blaylock","PG","30","ATL","4","4","38.3","5.5","13.3","0.415","2","6.8","0.296","3.5","6.5","0.538","0.491","1.8","3","0.583","1.5","3.5","5","8.3","2.3","0.3","2.3","2","14.8","1",1998
"16","Corie Blount","PF","29","LAL","12","0","17.4","1","2","0.5","0","0","0","1","2","0.5","0.5","0.6","0.9","0.636","2","3.3","5.3","0.6","0.5","0.3","0.3","2.3","2.6","7",1998
