"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"101","Bobby Jackson","PG","34","HOU","6","2","23","3.3","11.7","0.286","0.8","4","0.208","2.5","7.7","0.326","0.321","1.2","1.8","0.636","0.3","1.3","1.7","1.5","0.8","0","0.7","1.8","8.7","2",2008
"102","LeBron James","SF","23","CLE","13","13","42.5","8.7","21.2","0.411","1.4","5.4","0.257","7.3","15.8","0.463","0.444","9.4","12.8","0.731","1.2","6.6","7.8","7.6","1.8","1.3","4.2","2.5","28.2","7",2008
"103","Mike James","PG","32","NOH","4","0","7","1","3","0.333","0.5","1.3","0.4","0.5","1.8","0.286","0.417","0.5","0.5","1","0","0.3","0.3","0.3","0.5","0","0.3","0","3","7",2008
"104","Antawn Jamison","PF","31","WAS","6","6","39.5","6.5","16","0.406","1.2","4.2","0.28","5.3","11.8","0.451","0.443","2.7","4.7","0.571","3.2","8.8","12","1","1.3","1.3","1.7","2.8","16.8","2",2008
"106","Amir Johnson","PF","20","DET","8","0","5.4","1.1","1.5","0.75","0","0.1","0","1.1","1.4","0.818","0.75","0.4","0.8","0.5","0.4","1.3","1.6","0.1","0","0.4","0.3","0.9","2.6","10",2008
"107","Joe Johnson","SG","26","ATL","7","7","39.3","6.7","16.4","0.409","2.3","5.1","0.444","4.4","11.3","0.392","0.478","4.3","4.7","0.909","1.3","2.6","3.9","4","0.3","0","2.3","2.3","20","3",2008
"108","Damon Jones","SG","31","CLE","5","0","5.2","0.4","2","0.2","0.4","1.4","0.286","0","0.6","0","0.3","0","0","0","0","0","0","0.2","0","0","0.2","0.2","1.2","7",2008
"109","Dwayne Jones","PF","24","CLE","5","0","4","0.2","0.4","0.5","0","0","0","0.2","0.4","0.5","0.5","0.2","0.4","0.5","0.4","0.8","1.2","0","0","0.2","0.2","0.8","0.6","7",2008
"110","Eddie Jones","SG","36","DAL","3","0","7.3","0.7","2","0.333","0.3","1.3","0.25","0.3","0.7","0.5","0.417","0.3","0.3","1","0","1","1","0.3","0.3","0","0.3","1","2","1",2008
"111","Solomon Jones","PF","23","ATL","7","0","4.1","0.3","1.4","0.2","0","0","0","0.3","1.4","0.2","0.2","0","0.3","0","0.6","0.6","1.1","0.1","0.1","0.4","0","0.4","0.6","3",2008
