"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Paul Arizin*","SF","23","PHW","3","0","40","8","17.7","0.453","0","0","0","8","17.7","0.453","0.453","9.7","11","0.879","0","0","12.7","2.7","0","0","0","5.7","25.7","1",1952
"2","Leo Barnhorst","SF","27","INO","2","0","42.5","7","17","0.412","0","0","0","7","17","0.412","0.412","1.5","3.5","0.429","0","0","4.5","4","0","0","0","3.5","15.5","0",1952
"3","Nelson Bobb","PG","27","PHW","3","0","9.7","0.3","1","0.333","0","0","0","0.3","1","0.333","0.333","0.7","1.7","0.4","0","0","0.7","0.3","0","0","0","1.3","1.3","1",1952
"4","Bob Brannum","PF","25","BOS","3","0","16","1.3","4","0.333","0","0","0","1.3","4","0.333","0.333","0.3","2","0.167","0","0","3.3","1","0","0","0","5.3","3","1",1952
"5","Frankie Brian","SG","28","FTW","2","0","40.5","3","12","0.25","0","0","0","3","12","0.25","0.25","2.5","3","0.833","0","0","3","4.5","0","0","0","5","8.5","0",1952
"6","Walt Budko","PF","26","PHW","3","0","19.3","2","4.7","0.429","0","0","0","2","4.7","0.429","0.429","1.3","2.3","0.571","0","0","4","1.7","0","0","0","3.7","5.3","1",1952
"7","Gerry Calabrese","SG","26","SYR","6","0","8.8","1.7","4","0.417","0","0","0","1.7","4","0.417","0.417","0.7","0.7","1","0","0","1.3","0.7","0","0","0","3","4","3",1952
"8","Al Cervi*","PG","34","SYR","7","0","12.6","1","4.3","0.233","0","0","0","1","4.3","0.233","0.233","3.1","3.3","0.957","0","0","1.4","2.1","0","0","0","3.3","5.1","3",1952
"9","Nat Clifton*","PF","29","NYK","14","0","33","2.8","9.5","0.293","0","0","0","2.8","9.5","0.293","0.293","3.9","5.4","0.711","0","0","9.5","2.4","0","0","0","4.8","9.4","8",1952
"10","Bill Closs","SF","30","FTW","1","0","21","1","6","0.167","0","0","0","1","6","0.167","0.167","3","3","1","0","0","8","4","0","0","0","0","5","0",1952
"11","Jack Coleman","PF","27","ROC","6","0","41.2","4","9.8","0.407","0","0","0","4","9.8","0.407","0.407","1.8","3","0.611","0","0","12.2","5.8","0","0","0","4.2","9.8","3",1952
"12","Chuck Cooper*","SF","25","BOS","3","0","42.7","2.7","8.3","0.32","0","0","0","2.7","8.3","0.32","0.32","5.7","6.3","0.895","0","0","5.3","1.3","0","0","0","5.7","11","1",1952
"13","Bob Cousy*","PG","23","BOS","3","0","46","8.7","21.7","0.4","0","0","0","8.7","21.7","0.4","0.4","13.7","14.7","0.932","0","0","4","6.3","0","0","0","4.3","31","1",1952
