"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Kareem Abdul-Jabbar*","C","34","LAL","14","0","35.2","8.2","15.8","0.52","0","0","0","8.2","15.8","0.52","0.52","3.9","6.2","0.632","2.4","6.1","8.5","3.6","1","3.2","2.9","3.2","20.4","12",1982
"2","Alvan Adams","C","27","PHO","7","0","33.3","6.9","13.1","0.522","0","0","0","6.9","13.1","0.522","0.522","3.1","4","0.786","2.7","4.6","7.3","3.7","2","1.4","3","3.1","16.9","2",1982
"3","Danny Ainge","SG","22","BOS","10","0","12.9","1.9","4.5","0.422","0.2","0.4","0.5","1.7","4.1","0.415","0.444","1","1.3","0.769","0.6","0.7","1.3","1.1","0.2","0.1","1.1","2.1","5","7",1982
"4","Tiny Archibald*","PG","33","BOS","8","0","34.6","3.8","8.8","0.429","0","0.5","0","3.8","8.3","0.455","0.429","3.1","3.5","0.893","0.1","2","2.1","6.5","0.6","0.3","2.9","2.6","10.6","7",1982
"5","James Bailey","PF","24","NJN","2","0","13","0.5","1.5","0.333","0","0","0","0.5","1.5","0.333","0.333","1","1","1","1","2","3","0.5","1","0.5","1.5","2.5","2","0",1982
"6","Greg Ballard","SF","27","WSB","7","0","38.3","5.1","14.3","0.36","0","0","0","5.1","14.3","0.36","0.36","3","3.6","0.84","3.1","5.9","9","3.1","2","0.4","1.7","2.9","13.3","3",1982
"7","Gene Banks","SF","22","SAS","9","0","16.2","3.3","7.2","0.462","0","0.1","0","3.3","7.1","0.469","0.462","0.4","1.1","0.4","2.3","2.4","4.8","1","0.4","0.3","0.7","1.3","7.1","4",1982
"8","Mike Bantom","SF","30","PHI","21","0","19","1.7","4.3","0.396","0","0","0","1.7","4.3","0.396","0.396","0.9","2","0.452","1.9","1.8","3.7","1.1","0.7","0.4","1.1","2.9","4.3","12",1982
"9","Larry Bird*","PF","25","BOS","12","0","40.8","7.3","17.2","0.427","0.1","0.5","0.167","7.3","16.7","0.435","0.43","3.1","3.8","0.822","2.8","9.8","12.5","5.6","1.9","1.4","3.2","3.6","17.8","7",1982
"10","Charles Bradley","SG","22","BOS","7","0","2.6","0.3","1.1","0.25","0","0","0","0.3","1.1","0.25","0.25","0","0.3","0","0.1","0.6","0.7","0.1","0.1","0","0.6","0.9","0.6","7",1982
"11","Dudley Bradley","SG","24","PHO","7","0","3.4","0.3","1.1","0.25","0","0","0","0.3","1.1","0.25","0.25","0.1","0.1","1","0","0.1","0.1","0.7","0.1","0.1","0.7","0.4","0.7","2",1982
"12","Mike Bratz","PG","26","SAS","9","0","20","1.7","5.8","0.288","0.6","2","0.278","1.1","3.8","0.294","0.337","0.9","1.1","0.8","0.2","1.3","1.6","5.3","1","0","1.3","2.2","4.8","4",1982
"13","Jim Brewer","PF","30","LAL","8","0","7.1","0.4","0.8","0.5","0","0","0","0.4","0.8","0.5","0.5","0","0","0","0.5","0.9","1.4","0.5","0.3","0.8","0.5","0.6","0.8","12",1982
"14","Fred Brown","SG","33","SEA","8","0","19.8","5.4","11.1","0.483","0.3","0.6","0.4","5.1","10.5","0.488","0.494","0.9","1.3","0.7","0.8","1.1","1.9","2.3","0.6","0","1.1","0.6","11.9","3",1982
"15","M.L. Carr","SF","31","BOS","12","0","25.4","3.1","8.8","0.352","0","0.3","0","3.1","8.4","0.366","0.352","1.3","1.9","0.652","1.8","1.8","3.6","2.3","0.9","0","1.8","2.5","7.4","7",1982
"16","Harvey Catchings","PF","30","MIL","6","0","4.3","0.3","0.5","0.667","0","0","0","0.3","0.5","0.667","0.667","0","0","0","0.5","0.7","1.2","0","0","0.5","0.5","1.5","0.7","2",1982
"17","Maurice Cheeks*","PG","25","PHI","21","0","36.4","6","12.6","0.472","0","0.4","0.111","5.9","12.2","0.484","0.474","2.4","3.1","0.769","0.7","2.2","3","8.2","2.3","0.3","2.3","2.8","14.3","12",1982
"18","Jim Chones","C","32","WSB","5","0","6","0.4","1.8","0.222","0","0","0","0.4","1.8","0.222","0.222","0.2","0.6","0.333","0.2","1","1.2","0.4","0.2","0.4","0.2","1.6","1","3",1982
