"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Kareem Abdul-Jabbar*","C","24","MIL","11","0","46.4","12.6","28.9","0.437","0","0","0","12.6","28.9","0.437","0.437","3.5","4.9","0.704","0","0","18.2","5.1","0","0","0","3.2","28.7","6",1972
"2","Don Adams","SF","24","ATL","6","0","31.3","3.3","9.3","0.357","0","0","0","3.3","9.3","0.357","0.357","2.7","3.8","0.696","0","0","6.3","2","0","0","0","4.2","9.3","2",1972
"3","Lucius Allen","PG","24","MIL","11","0","35.1","7.1","15.1","0.47","0","0","0","7.1","15.1","0.47","0.47","3.7","4.9","0.759","0","0","3.5","3.8","0","0","0","2.7","17.9","6",1972
"4","Dick Barnett","SG","35","NYK","12","0","10.9","1.9","4.1","0.469","0","0","0","1.9","4.1","0.469","0.469","0.4","1","0.417","0","0","0.7","0.8","0","0","0","1.6","4.3","9",1972
"5","Jim Barnett","PG","27","GSW","5","0","39.4","7.8","18.2","0.429","0","0","0","7.8","18.2","0.429","0.429","6","8.2","0.732","0","0","4","5.2","0","0","0","4","21.6","1",1972
"6","Walt Bellamy*","C","32","ATL","6","0","41.2","7","14.3","0.488","0","0","0","7","14.3","0.488","0.488","4.5","7.2","0.628","0","0","13.7","1.8","0","0","0","3.3","18.5","2",1972
"7","John Block","PF","27","MIL","11","0","14.2","1.8","4.7","0.385","0","0","0","1.8","4.7","0.385","0.385","1.4","1.6","0.833","0","0","5","0.5","0","0","0","1.4","5","6",1972
"8","Tom Boerwinkle","C","26","CHI","1","0","8","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","6","3","0","0","0","0","0","0",1972
"9","Bill Bradley*","SF","28","NYK","16","0","37.1","6.6","14.2","0.467","0","0","0","6.6","14.2","0.467","0.467","2.9","3.5","0.839","0","0","2.9","3.4","0","0","0","4.1","16.2","9",1972
"10","Wilt Chamberlain*","C","35","LAL","15","0","46.9","5.3","9.5","0.563","0","0","0","5.3","9.5","0.563","0.563","4","8.1","0.492","0","0","21","3.3","0","0","0","3.1","14.7","12",1972
"11","Don Chaney","SG","25","BOS","11","0","24.6","3.7","7.4","0.506","0","0","0","3.7","7.4","0.506","0.506","1.4","1.8","0.75","0","0","3.5","2","0","0","0","3.5","8.8","5",1972
"12","Phil Chenier","SG","21","BAL","6","0","25.5","3.7","9.8","0.373","0","0","0","3.7","9.8","0.373","0.373","1.7","2","0.833","0","0","2.7","0.8","0","0","0","2.7","9","2",1972
"13","Bob Christian","C","25","ATL","6","0","5.7","0.5","1.3","0.375","0","0","0","0.5","1.3","0.375","0.375","0.2","0.2","1","0","0","1.2","0","0","0","0","1.7","1.2","2",1972
