"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Mahmoud Abdul-Rauf","PG","24","DEN","12","12","28.3","4.8","12.8","0.37","1","3.1","0.324","3.8","9.8","0.385","0.409","2.4","2.6","0.935","0.3","1.3","1.5","2.5","0.4","0.1","1.2","2.4","12.9","6",1994
"2","Danny Ainge","SG","34","PHO","10","0","23","2.7","5.9","0.458","1.7","4","0.425","1","1.9","0.526","0.602","1.5","2.1","0.714","0.7","1.6","2.3","2.1","0.6","0.1","0.5","2.6","8.6","6",1994
"3","Kenny Anderson","PG","23","NJN","4","4","45.3","4.8","13.5","0.352","0.8","2.5","0.3","4","11","0.364","0.38","5.5","8.3","0.667","0.5","2.5","3","6.8","2.3","0","2.3","2.8","15.8","1",1994
"4","Nick Anderson","SG","26","ORL","3","3","40","4.3","11.3","0.382","2.7","6.7","0.4","1.7","4.7","0.357","0.5","3","4","0.75","0.7","2.7","3.3","3.3","1.7","0.7","1.7","2.7","14.3","0",1994
"5","Willie Anderson","SG","27","SAS","4","4","26.5","3.5","9.3","0.378","0.3","0.3","1","3.3","9","0.361","0.392","1","1.8","0.571","0.8","1.3","2","3","1.3","0.5","1","1.8","8.3","1",1994
"6","Greg Anthony","PG","26","NYK","25","3","17.4","1.8","5.1","0.352","0.7","2.4","0.295","1.1","2.7","0.403","0.422","0.6","1","0.583","0.4","0.7","1.1","2.4","0.8","0.3","1.2","2.2","4.9","14",1994
"7","B.J. Armstrong","PG","26","CHI","10","10","36","5.5","10.6","0.519","0.7","1.2","0.583","4.8","9.4","0.511","0.552","3.6","4.4","0.818","0.2","2.2","2.4","2.5","0.8","0","0.9","2.1","15.3","6",1994
"8","Vincent Askew","SG","27","SEA","5","0","19","2","5.6","0.357","0","0.2","0","2","5.4","0.37","0.357","3.2","3.8","0.842","0.4","0.8","1.2","1.8","0.4","0","0.4","2","7.2","2",1994
"9","Keith Askins","SF","26","MIA","1","0","6","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","2","0","0","2",1994
"10","Stacey Augmon","SG","25","ATL","11","11","29.5","4.2","8.1","0.517","0","0","0","4.2","8.1","0.517","0.517","2.5","3.5","0.711","1.2","1.5","2.6","2.5","0.6","0.2","1.4","2.4","10.8","5",1994
"11","Anthony Avent","PF","24","ORL","2","0","20","3","6.5","0.462","0","0","0","3","6.5","0.462","0.462","3.5","4","0.875","4","1.5","5.5","0.5","0","0","0.5","1","9.5","0",1994
"12","Charles Barkley*","PF","30","PHO","10","10","42.5","11","21.6","0.509","1.4","4","0.35","9.6","17.6","0.545","0.542","4.2","5.5","0.764","3.4","9.6","13","4.8","2.5","0.9","2.7","2.6","27.6","6",1994
"13","John Battle","SG","31","CLE","1","0","8","1","1","1","0","0","0","1","1","1","1","0","0","0","0","2","2","0","0","0","0","0","2","0",1994
"14","Benoit Benjamin","C","29","NJN","4","4","27","1.8","4.3","0.412","0","0","0","1.8","4.3","0.412","0.412","1.8","2","0.875","1.3","4","5.3","0.3","0.5","2","1.3","4","5.3","1",1994
"15","David Benoit","SF","25","UTA","16","5","22.3","3","7.6","0.393","0.2","1","0.188","2.8","6.6","0.425","0.406","1","1.6","0.64","1.4","2.8","4.2","0.6","0.4","0.7","1","1.9","7.2","8",1994
"16","Rolando Blackman","SG","34","NYK","6","0","5.7","0.5","1.8","0.273","0.3","0.7","0.5","0.2","1.2","0.143","0.364","0","0","0","0.2","0.3","0.5","0.5","0","0","0.2","1","1.3","14",1994
"17","Mookie Blaylock","PG","26","ATL","11","11","37.7","4.4","12.8","0.34","2","5.8","0.344","2.4","7","0.338","0.418","2.3","2.7","0.833","1.5","3.5","5","8.9","2.2","0.5","2.9","2","13","5",1994
"18","Walter Bond","SG","24","UTA","4","0","3.3","0","0.5","0","0","0.3","0","0","0.3","0","0","0.3","0.5","0.5","0","0.3","0.3","0","0.3","0","0","1","0.3","8",1994
"19","Anthony Bonner","SF","25","NYK","13","7","9.1","0.8","1.7","0.455","0","0","0","0.8","1.7","0.455","0.455","0.5","1","0.538","1.2","1","2.2","0.2","0.4","0","1","1.7","2.1","14",1994
"20","Anthony Bowie","SG","30","ORL","2","0","6.5","0","0.5","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","1.5","0","0",1994
"22","Terrell Brandon","PG","23","CLE","3","0","18.7","4","6.3","0.632","0","0","0","4","6.3","0.632","0.632","0.7","1","0.667","0.3","1","1.3","1.7","0.3","0","0.3","0.3","8.7","0",1994
"23","Kevin Brooks","SF","24","DEN","2","0","2.5","1","3.5","0.286","0","0.5","0","1","3","0.333","0.286","0.5","1","0.5","0.5","0.5","1","0","0","0","0","0","2.5","6",1994
"24","Scott Brooks","PG","28","HOU","5","0","4.6","1","1.2","0.833","0.2","0.2","1","0.8","1","0.8","0.917","0","0.2","0","0.2","0.2","0.4","0.6","0","0","0","0.6","2.2","15",1994
"25","P.J. Brown","C","24","NJN","4","1","14","0.5","2.3","0.222","0","0","0","0.5","2.3","0.222","0.222","2","2","1","1","1","2","0.8","0","0.5","0.8","3.3","3","1",1994
"26","Mark Bryant","C","28","POR","4","1","16","1.3","4.3","0.294","0","0.5","0","1.3","3.8","0.333","0.294","0","0","0","1.5","1.5","3","0.5","0.5","0.5","0.8","1.8","2.5","1",1994
"27","Matt Bullard","PF","26","HOU","10","0","5.5","0.4","1.9","0.211","0.2","1","0.2","0.2","0.9","0.222","0.263","0.6","0.8","0.75","0.2","0.8","1","0","0.1","0.2","0","0.6","1.6","15",1994
"28","Willie Burton","SF","25","MIA","2","0","5.5","0.5","2","0.25","0","1","0","0.5","1","0.5","0.25","0","0","0","0","0","0","0","0","0","0.5","1.5","1","2",1994
"29","Michael Cage","C","32","SEA","5","5","18.6","1.2","3.2","0.375","0","0","0","1.2","3.2","0.375","0.375","0.4","1.2","0.333","2","3.4","5.4","0.8","0.8","1","0.6","3","2.8","2",1994
