"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Curly Armstrong","G-F","31","FTW","3","0","0","1.3","7.3","0.182","0","0","0","1.3","7.3","0.182","0.182","0.3","1.3","0.25","0","0","0","2","0","0","0","2","3","3",1950
"2","Cliff Barker","SG","29","INO","6","0","0","2","5.2","0.387","0","0","0","2","5.2","0.387","0.387","1.7","2.5","0.667","0","0","0","2.2","0","0","0","1.7","5.7","3",1950
"3","Leo Barnhorst","SF","25","CHS","2","0","0","4","12.5","0.32","0","0","0","4","12.5","0.32","0.32","3","3","1","0","0","0","2","0","0","0","5","11","0",1950
"4","Ralph Beard","G","22","INO","5","0","0","4.4","14","0.314","0","0","0","4.4","14","0.314","0.314","4.4","5.6","0.786","0","0","0","4.4","0","0","0","2.2","13.2","3",1950
"5","Charlie Black","F-C","28","AND","8","0","0","2.3","7.6","0.295","0","0","0","2.3","7.6","0.295","0.295","2.6","3.6","0.724","0","0","0","2.1","0","0","0","4.8","7.1","4",1950
"6","Nelson Bobb","PG","25","PHW","2","0","0","0.5","1.5","0.333","0","0","0","0.5","1.5","0.333","0.333","0","0","0","0","0","0","0.5","0","0","0","1.5","1","0",1950
"7","Jake Bornheimer","F-C","22","PHW","2","0","0","0.5","1.5","0.333","0","0","0","0.5","1.5","0.333","0.333","0","0","0","0","0","0","0","0","0","0","1","1","0",1950
"8","Vince Boryla","SF","22","NYK","5","0","0","4.6","10.4","0.442","0","0","0","4.6","10.4","0.442","0.442","5.8","6.4","0.906","0","0","0","1.4","0","0","0","5","15","3",1950
"9","Bob Brannum","PF","23","SHE","3","0","0","5","14.3","0.349","0","0","0","5","14.3","0.349","0.349","4.3","6.7","0.65","0","0","0","3.7","0","0","0","5.3","14.3","1",1950
"10","Carl Braun*","G-F","22","NYK","5","0","0","5.6","13.6","0.412","0","0","0","5.6","13.6","0.412","0.412","5.8","7.6","0.763","0","0","0","3.8","0","0","0","4.2","17","3",1950
"11","Frankie Brian","G","26","AND","8","0","0","3.3","12","0.271","0","0","0","3.3","12","0.271","0.271","5.4","6","0.896","0","0","0","2.4","0","0","0","3","11.9","4",1950
"12","Jack Burmaster","G","23","SHE","3","0","0","5.3","10.3","0.516","0","0","0","5.3","10.3","0.516","0.516","1.3","1.3","1","0","0","0","2.7","0","0","0","2.3","12","1",1950
"13","Don Carlson","G-F","30","MNL","10","0","0","2.1","3.7","0.568","0","0","0","2.1","3.7","0.568","0.568","1.2","1.5","0.8","0","0","0","1.1","0","0","0","1.9","5.4","11",1950
"14","Bob Carpenter","F-C","32","FTW","4","0","0","2.8","7.5","0.367","0","0","0","2.8","7.5","0.367","0.367","2.5","3.5","0.714","0","0","0","0.5","0","0","0","1.5","8","3",1950
"15","Jake Carter","F-C","25","AND","8","0","0","0.4","2.6","0.143","0","0","0","0.4","2.6","0.143","0.143","0.5","0.8","0.667","0","0","0","0.4","0","0","0","1.5","1.3","4",1950
"16","Al Cervi*","PG","32","SYR","11","0","0","2.1","6.2","0.338","0","0","0","2.1","6.2","0.338","0.338","3.5","4.2","0.826","0","0","0","4.7","0","0","0","3.3","7.6","6",1950
"17","Leroy Chollet","F","24","SYR","8","0","0","0.9","3.3","0.269","0","0","0","0.9","3.3","0.269","0.269","0.6","1.6","0.385","0","0","0","0.5","0","0","0","1.4","2.4","6",1950
"18","Bill Closs","SF","28","AND","8","0","0","4.1","13.6","0.303","0","0","0","4.1","13.6","0.303","0.303","3.1","3.8","0.833","0","0","0","1.8","0","0","0","3.4","11.4","4",1950
"19","Jack Coleman","PF","25","ROC","2","0","0","3.5","10","0.35","0","0","0","3.5","10","0.35","0.35","0.5","0.5","1","0","0","0","2","0","0","0","4","7.5","0",1950
"20","Bobby Cook","G-F","26","SHE","3","0","0","1","3.3","0.3","0","0","0","1","3.3","0.3","0.3","1","2","0.5","0","0","0","2","0","0","0","1","3","1",1950
"22","Ray Corley","G","22","SYR","6","0","0","1","6","0.167","0","0","0","1","6","0.167","0.167","0.8","1.8","0.455","0","0","0","1.7","0","0","0","0.8","2.8","6",1950
"23","Chink Crossin","G","26","PHW","2","0","0","4.5","13.5","0.333","0","0","0","4.5","13.5","0.333","0.333","4","4.5","0.889","0","0","0","2","0","0","0","1.5","13","0",1950
"24","Fran Curran","G","27","ROC","2","0","0","1","3.5","0.286","0","0","0","1","3.5","0.286","0.286","0.5","0.5","1","0","0","0","0","0","0","0","0","2.5","0",1950
"25","Bob Davies*","PG","30","ROC","2","0","0","2","8.5","0.235","0","0","0","2","8.5","0.235","0.235","3.5","4","0.875","0","0","0","4.5","0","0","0","5.5","7.5","0",1950
"26","Hook Dillon","F","26","WSC","1","0","0","1","1","1","0","0","0","1","1","1","1","2","2","1","0","0","0","0","0","0","0","2","4","0",1950
"27","Harry Donovan","G","23","NYK","3","0","0","0","1.3","0","0","0","0","0","1.3","0","0","0.7","0.7","1","0","0","0","0","0","0","0","1.3","0.7","3",1950
"28","Andy Duncan","F-C","27","ROC","2","0","0","1","1.5","0.667","0","0","0","1","1.5","0.667","0.667","1","1","1","0","0","0","0.5","0","0","0","2.5","3","0",1950
"29","Dike Eddleman","SF","27","TRI","3","0","0","5.7","15","0.378","0","0","0","5.7","15","0.378","0.378","5","8.3","0.6","0","0","0","2.3","0","0","0","5.7","16.3","1",1950
"30","Gene Englund","F-C","32","TRI","2","0","0","0.5","2.5","0.2","0","0","0","0.5","2.5","0.2","0.2","4.5","5.5","0.818","0","0","0","0.5","0","0","0","3","5.5","1",1950
"31","Bob Evans","G","24","INO","2","0","0","0.5","2","0.25","0","0","0","0.5","2","0.25","0.25","0","0","0","0","0","0","0","0","0","0","1.5","1","3",1950
