"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Jay Arnette","SG","26","CIN","1","0","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1",1965
"2","Dick Barnett","SG","28","LAL","10","0","28.7","7.2","15","0.48","0","0","0","7.2","15","0.48","0.48","3.1","3.9","0.795","0","0","3","3.3","0","0","0","2.5","17.5","5",1965
"3","John Barnhill","SG","26","STL","4","0","9","0.5","2.8","0.182","0","0","0","0.5","2.8","0.182","0.182","0.5","1","0.5","0","0","1.8","0.5","0","0","0","0.8","1.5","1",1965
"4","Elgin Baylor*","SF","30","LAL","1","0","5","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","5",1965
"5","Zelmo Beaty*","C","25","STL","4","0","38.5","7.3","14.8","0.492","0","0","0","7.3","14.8","0.492","0.492","4.8","6.3","0.76","0","0","13.8","0.3","0","0","0","4.8","19.3","1",1965
"6","Walt Bellamy*","C","25","BAL","10","0","42.7","7.4","15.8","0.468","0","0","0","7.4","15.8","0.468","0.468","6.1","9.2","0.663","0","0","15.1","3.4","0","0","0","3.8","20.9","5",1965
"7","Al Bianchi","PG","32","PHI","11","0","28","4.1","10.7","0.381","0","0","0","4.1","10.7","0.381","0.381","1.3","1.9","0.667","0","0","1.5","2.7","0","0","0","4.1","9.5","6",1965
"8","Ron Bonham","SF","22","BOS","4","0","3.3","1.3","3","0.417","0","0","0","1.3","3","0.417","0.417","1","1.3","0.8","0","0","0.3","0","0","0","0","0.3","3.5","8",1965
"9","Gary Bradds","SF","22","BAL","1","0","5","2","3","0.667","0","0","0","2","3","0.667","0.667","2","2","1","0","0","2","0","0","0","0","0","6","5",1965
"10","Bill Bridges","PF","25","STL","4","0","36.3","5.3","14.8","0.356","0","0","0","5.3","14.8","0.356","0.356","2.5","3.8","0.667","0","0","16.8","2.3","0","0","0","4.8","13","1",1965
"11","Wilt Chamberlain*","C","28","PHI","11","0","48.7","11.2","21.1","0.53","0","0","0","11.2","21.1","0.53","0.53","6.9","12.4","0.559","0","0","27.2","4.4","0","0","0","2.6","29.3","6",1965
"12","Larry Costello","PG","33","PHI","10","0","20.7","2.2","5.3","0.415","0","0","0","2.2","5.3","0.415","0.415","1.1","1.6","0.688","0","0","1.2","2","0","0","0","4.3","5.5","6",1965
"13","Mel Counts","C","23","BOS","4","0","7.5","1","3.8","0.267","0","0","0","1","3.8","0.267","0.267","0.3","0.3","1","0","0","2.8","0.3","0","0","0","2.5","2.3","8",1965
"14","Leroy Ellis","C","24","LAL","11","0","36.8","5.2","13.2","0.393","0","0","0","5.2","13.2","0.393","0.393","4","5.9","0.677","0","0","12.1","0.6","0","0","0","3.4","14.4","5",1965
"15","Wayne Embry*","C","27","CIN","4","0","30.8","5.3","12","0.438","0","0","0","5.3","12","0.438","0.438","2.3","2.8","0.818","0","0","6.3","2","0","0","0","5","12.8","1",1965
"16","Mike Farmer","SF","28","STL","1","0","7","2","4","0.5","0","0","0","2","4","0.5","0.5","0","0","0","0","0","1","0","0","0","0","1","4","1",1965
"17","Bob Ferry","PF","27","BAL","10","0","6.7","0.7","1.6","0.438","0","0","0","0.7","1.6","0.438","0.438","0.2","0.9","0.222","0","0","1.9","0.8","0","0","0","0.8","1.6","5",1965
"18","Dave Gambee","SF","27","PHI","10","0","13.2","1.6","4.8","0.333","0","0","0","1.6","4.8","0.333","0.333","3","3.4","0.882","0","0","2.3","0.6","0","0","0","3.1","6.2","6",1965
"19","Si Green","PG","31","BAL","9","0","7.2","0.8","1.8","0.438","0","0","0","0.8","1.8","0.438","0.438","0.4","0.6","0.8","0","0","0.8","1.7","0","0","0","1.4","2","5",1965
"20","Hal Greer*","SG","28","PHI","11","0","45.9","9.2","20.2","0.455","0","0","0","9.2","20.2","0.455","0.455","6.3","7.9","0.793","0","0","7.4","5","0","0","0","4.1","24.6","6",1965
"22","Richie Guerin*","SG","32","STL","4","0","31.3","6.3","16.3","0.385","0","0","0","6.3","16.3","0.385","0.385","4.8","6.3","0.76","0","0","2","5.3","0","0","0","3.5","17.3","1",1965
"23","Cliff Hagan*","SF","33","STL","4","0","30.8","8.5","18.8","0.453","0","0","0","8.5","18.8","0.453","0.453","1.5","3","0.5","0","0","6.5","1.8","0","0","0","3.5","18.5","1",1965
"24","Happy Hairston","PF","22","CIN","3","0","13","1.7","6","0.278","0","0","0","1.7","6","0.278","0.278","0.7","1","0.667","0","0","6.7","1","0","0","0","0.7","4","1",1965
"25","Charlie Hardnett","PF","26","BAL","5","0","4.4","0.8","2","0.4","0","0","0","0.8","2","0.4","0.4","0.4","1","0.4","0","0","1.2","0.4","0","0","0","0.4","2","5",1965
