"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Elgin Baylor*","SF","24","MNL","13","0","42.8","9.4","23.3","0.403","0","0","0","9.4","23.3","0.403","0.403","6.7","8.7","0.77","0","0","12","3.3","0","0","0","4","25.5","6",1959
"2","Al Bianchi","PG","26","SYR","9","0","21.3","3.8","8.2","0.459","0","0","0","3.8","8.2","0.459","0.459","1.6","2.4","0.636","0","0","3.2","2.8","0","0","0","4.6","9.1","5",1959
"3","Carl Braun*","PG","31","NYK","2","0","31","6","16","0.375","0","0","0","6","16","0.375","0.375","4","4.5","0.889","0","0","2","5","0","0","0","2","16","0",1959
"4","Pete Brennan","F","22","NYK","2","0","3","1","3.5","0.286","0","0","0","1","3.5","0.286","0.286","0","0.5","0","0","0","2.5","0","0","0","0","2","2","0",1959
"5","Gene Conley","PF","28","BOS","11","0","14.3","2.2","6","0.364","0","0","0","2.2","6","0.364","0.364","0.5","1.2","0.462","0","0","6.8","0.6","0","0","0","3.6","4.9","8",1959
"6","Ed Conlin","SG","25","DET","3","0","14.3","1.3","5.3","0.25","0","0","0","1.3","5.3","0.25","0.25","0.7","1.3","0.5","0","0","2.3","1.3","0","0","0","1.7","3.3","1",1959
"7","Larry Costello","PG","27","SYR","9","0","40.1","6","13.4","0.446","0","0","0","6","13.4","0.446","0.446","5.7","6.8","0.836","0","0","5.9","6","0","0","0","4.4","17.7","5",1959
"8","Bob Cousy*","PG","30","BOS","11","0","41.8","6.5","20.1","0.326","0","0","0","6.5","20.1","0.326","0.326","6.4","8.5","0.745","0","0","6.9","10.8","0","0","0","2.5","19.5","8",1959
"9","George Dempsey","PG","29","SYR","5","0","6","0.6","1.6","0.375","0","0","0","0.6","1.6","0.375","0.375","0.6","0.8","0.75","0","0","1.2","0.8","0","0","0","1.6","1.8","5",1959
"10","Connie Dierking","C","22","SYR","4","0","8.5","0.5","3","0.167","0","0","0","0.5","3","0.167","0.167","1.8","2.3","0.778","0","0","4.3","0.5","0","0","0","1.3","2.8","5",1959
"11","Walter Dukes","C","28","DET","3","0","37.7","5","10","0.5","0","0","0","5","10","0.5","0.5","4.3","5.7","0.765","0","0","13.3","1","0","0","0","5","14.3","1",1959
"12","Boo Ellis","PF","22","MNL","13","0","19.6","2.7","6.2","0.438","0","0","0","2.7","6.2","0.438","0.438","1.4","2.4","0.581","0","0","7.2","1.2","0","0","0","2.6","6.8","6",1959
"13","Dick Farley","SG","26","DET","3","0","11","1.7","4","0.417","0","0","0","1.7","4","0.417","0.417","0.3","0.3","1","0","0","2","1","0","0","0","2","3.7","1",1959
"14","Mike Farmer","SF","22","NYK","2","0","17","2.5","8.5","0.294","0","0","0","2.5","8.5","0.294","0.294","1","2.5","0.4","0","0","5","0","0","0","0","3.5","6","0",1959
"15","Ray Felix","C","28","NYK","2","0","22.5","6","14","0.429","0","0","0","6","14","0.429","0.429","1","2","0.5","0","0","11.5","1","0","0","0","6","13","0",1959
"16","Al Ferrari","SG","25","STL","6","0","28.8","2.3","6.7","0.35","0","0","0","2.3","6.7","0.35","0.35","3.3","4.2","0.8","0","0","2.5","2.5","0","0","0","4.2","8","2",1959
