"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Kareem Abdul-Jabbar*","C","26","MIL","16","0","47.4","14","25.1","0.557","0","0","0","14","25.1","0.557","0.557","4.2","5.7","0.736","4.2","11.6","15.8","4.9","1.3","2.4","0","2.6","32.2","11",1974
"2","Don Adams","SF","26","DET","7","0","36.6","4","10.4","0.384","0","0","0","4","10.4","0.384","0.384","1.1","2","0.571","2.4","4.9","7.3","2.9","0.9","0.1","0","3.7","9.1","3",1974
"3","Rick Adelman","PG","27","CHI","9","0","12","1.8","3.8","0.471","0","0","0","1.8","3.8","0.471","0.471","0.8","1.2","0.636","0.1","1","1.1","0.8","0.8","0","0","0.6","4.3","4",1974
"4","Dennis Awtrey","C","25","CHI","10","0","15.8","1.2","2.8","0.429","0","0","0","1.2","2.8","0.429","0.429","0.6","1","0.6","1.1","2.9","4","1.3","0.6","0.2","0","2.1","3","4",1974
"5","Henry Bibby","PG","24","NYK","10","0","8.9","1.6","4.5","0.356","0","0","0","1.6","4.5","0.356","0.356","1","1.2","0.833","0.5","0.5","1","1.1","0.3","0","0","1.5","4.2","5",1974
"6","Dave Bing*","PG","30","DET","7","0","44.6","7.9","18.7","0.42","0","0","0","7.9","18.7","0.42","0.42","3.1","4.3","0.733","0.9","2.9","3.7","6","0.4","0.1","0","2.9","18.9","3",1974
"7","Tom Boerwinkle","C","28","CHI","2","0","3.5","0","0.5","0","0","0","0","0","0.5","0","0","1","1","1","0","0.5","0.5","0","0","0","0","1","1","4",1974
"8","Bill Bradley*","SF","30","NYK","12","0","35.4","5.3","13.3","0.396","0","0","0","5.3","13.3","0.396","0.396","2.1","2.4","0.862","0.7","1.7","2.3","1.1","0.6","0.3","0","3.3","12.6","5",1974
"9","Bill Bridges","PF","34","LAL","5","0","28.8","2.4","8.2","0.293","0","0","0","2.4","8.2","0.293","0.293","1.2","2.6","0.462","2.8","3.2","6","1.2","1.4","0","0","3.8","6","1",1974
"10","Don Chaney","SG","27","BOS","18","0","30.3","3.6","7.8","0.461","0","0","0","3.6","7.8","0.461","0.461","2.3","2.8","0.82","2.1","2.2","4.3","2.2","1.3","0.5","0","3.6","9.5","12",1974
"11","Ken Charles","SG","22","BUF","2","0","5","1.5","2","0.75","0","0","0","1.5","2","0.75","0.75","0","0","0","1","0","1","0","0","0","0","1","3","2",1974
"12","Phil Chenier","SG","23","CAP","7","0","44.3","8.9","19.6","0.453","0","0","0","8.9","19.6","0.453","0.453","4.7","5.3","0.892","0.9","5.3","6.1","1.7","1.9","1.1","0","2.7","22.4","3",1974
"13","Archie Clark","PG","32","CAP","7","0","23.1","2.9","8.4","0.339","0","0","0","2.9","8.4","0.339","0.339","1.6","2.9","0.55","0.4","1.4","1.9","2.1","0.7","0","0","1.9","7.3","3",1974
"14","Mel Counts","C","32","LAL","4","0","8.5","1.5","3","0.5","0","0","0","1.5","3","0.5","0.5","0","0","0","0.5","1","1.5","0.5","0.5","0.5","0","0.8","3","1",1974
"15","Dave Cowens*","C","25","BOS","18","0","42.9","8.9","20.6","0.435","0","0","0","8.9","20.6","0.435","0.435","2.6","3.3","0.797","3.3","10","13.3","3.7","1.2","0.9","0","4.7","20.5","12",1974
"16","Bob Dandridge","SF","26","MIL","16","0","40.5","8.5","17.3","0.493","0","0","0","8.5","17.3","0.493","0.493","2.3","2.9","0.766","1.9","5.7","7.6","2.8","1.4","0.6","0","4.1","19.3","11",1974
"17","Jim Davis","C","32","DET","7","0","9.9","1.6","2.7","0.579","0","0","0","1.6","2.7","0.579","0.579","0.6","0.9","0.667","0.6","1.7","2.3","0.7","0.3","0.1","0","1.6","3.7","3",1974
"18","Mel Davis","PF","23","NYK","4","0","3","1.5","3","0.5","0","0","0","1.5","3","0.5","0.5","0","0","0","0.5","0.8","1.3","0","0","0","0","0.3","3","5",1974
"19","Mickey Davis","SF","23","MIL","15","0","16.3","2.1","4.3","0.492","0","0","0","2.1","4.3","0.492","0.492","1.5","1.6","0.917","0.5","1.7","2.3","0.8","0.3","0.1","0","1.5","5.7","11",1974
"20","Dave DeBusschere*","PF","33","NYK","12","0","33.7","5.3","13.8","0.38","0","0","0","5.3","13.8","0.38","0.38","1.5","2.4","0.621","2.1","6.2","8.3","3.2","0.6","0.3","0","3","12","5",1974
"22","Ernie DiGregorio","PG","23","BUF","6","0","40","6.2","14.3","0.43","0","0","0","6.2","14.3","0.43","0.43","1.3","1.5","0.889","0.5","2.2","2.7","8.7","0.2","0","0","2.3","13.7","2",1974
"23","Steve Downing","C","23","BOS","1","0","4","1","2","0.5","0","0","0","1","2","0.5","0.5","0","0","0","2","0","2","0","0","0","0","1","2","12",1974
"24","Terry Driscoll","PF","26","MIL","9","0","3.2","0.6","1.1","0.5","0","0","0","0.6","1.1","0.5","0.5","0.2","0.2","1","1","0.6","1.6","0.3","0.2","0.1","0","1.3","1.3","11",1974
"25","Hank Finkel","C","31","BOS","8","0","5.8","1","2.3","0.444","0","0","0","1","2.3","0.444","0.444","0.1","0.1","1","0.6","0.6","1.3","0.4","0.1","0","0","1.1","2.1","12",1974
"26","Chris Ford","SG","25","DET","5","0","18.8","1.6","3.4","0.471","0","0","0","1.6","3.4","0.471","0.471","0.8","1.2","0.667","0.8","2.2","3","1.4","0.4","0.4","0","2","4","3",1974
"27","Walt Frazier*","PG","28","NYK","12","0","40.9","9.4","18.8","0.502","0","0","0","9.4","18.8","0.502","0.502","3.7","4.1","0.898","1.8","6.2","7.9","4","1.8","0.3","0","3.4","22.5","5",1974
"28","Dick Garrett","SG","27","MIL","8","0","5.8","0.3","0.9","0.286","0","0","0","0.3","0.9","0.286","0.286","0.3","0.5","0.5","0.1","0.3","0.4","0.9","0.3","0","0","0.9","0.8","11",1974
