"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Kareem Abdul-Jabbar*","C","38","LAL","14","14","34.9","11.2","20.1","0.557","0","0","0","11.2","20.1","0.557","0.557","3.4","4.4","0.787","1.9","4.1","5.9","3.5","1.1","1.7","3","3.9","25.9","8",1986
"2","Mark Aguirre","SF","26","DAL","10","10","34.5","10.5","21.4","0.491","0.2","0.6","0.333","10.3","20.8","0.495","0.495","3.5","5.5","0.636","2.1","5","7.1","5.4","0.9","0","2.3","2.8","24.7","5",1986
"3","Danny Ainge","SG","26","BOS","18","18","36.2","5.9","10.7","0.554","0.8","1.9","0.412","5.2","8.8","0.585","0.591","2.9","3.3","0.867","1.2","3","4.2","5.2","2.3","0.1","1.7","3.2","15.6","15",1986
"4","Thurl Bailey","PF","24","UTA","4","4","36.8","7","19.3","0.364","0","0.3","0","7","19","0.368","0.364","2","2.8","0.727","2.8","5.3","8","3.3","0.5","0.5","1.3","3.3","16","1",1986
"5","Gene Banks","SF","26","CHI","3","0","23","3.3","6","0.556","0","0.7","0","3.3","5.3","0.625","0.556","0.7","1.3","0.5","1.3","2","3.3","1.7","0.3","0","1.3","3.3","7.3","0",1986
"6","Charles Barkley*","PF","22","PHI","12","12","41.4","8.7","15","0.578","0.1","1.3","0.067","8.6","13.8","0.624","0.581","7.6","10.9","0.695","5","10.8","15.8","5.6","2.3","1.3","5.4","4.3","25","6",1986
"7","John Battle","SG","23","ATL","6","0","4.5","0.7","1.8","0.364","0","0.2","0","0.7","1.7","0.4","0.364","0.5","0.7","0.75","0","0.7","0.7","0.3","0.3","0","0.5","0.8","1.8","4",1986
"8","Kent Benson","C","31","DET","4","0","13.8","1","2.5","0.4","0","0","0","1","2.5","0.4","0.4","0","0","0","0.8","2.5","3.3","0","0","0.5","0.3","2.8","2","1",1986
"9","Larry Bird*","SF","29","BOS","18","18","42.8","9.5","18.4","0.517","1.3","3.1","0.411","8.2","15.3","0.538","0.551","5.6","6.1","0.927","1.9","7.4","9.3","8.2","2.1","0.6","2.6","3.1","25.9","15",1986
"10","Otis Birdsong","SG","30","NJN","3","3","44","9.7","18.3","0.527","0","1","0","9.7","17.3","0.558","0.527","3.7","6.3","0.579","1.7","2.3","4","3.3","2","1","3","4.7","23","0",1986
