"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Kareem Abdul-Jabbar*","C","41","LAL","15","15","23.4","4.5","9.8","0.463","0","0","0","4.5","9.8","0.463","0.463","2.1","2.9","0.721","0.9","3.1","3.9","1.3","0.3","0.7","1.5","2.9","11.1","11",1989
"2","Mark Acres","C","26","BOS","2","0","1","0","0.5","0","0","0.5","0","0","0","0","0","0","0","0","0","0.5","0.5","0","0","0","0","0","0","0",1989
"3","Michael Adams","PG","26","DEN","2","1","37.5","7.5","18","0.417","5","11","0.455","2.5","7","0.357","0.556","3.5","4","0.875","2.5","6","8.5","4.5","1.5","0","4","3","23.5","0",1989
"4","Mark Aguirre","SF","29","DET","17","17","27.2","5.2","10.7","0.489","0.5","1.7","0.276","4.8","9","0.529","0.511","1.6","2.2","0.737","1.5","2.9","4.4","1.6","0.5","0.2","1.2","2.2","12.6","15",1989
"5","Steve Alford","PG","24","GSW","6","0","8.7","1.5","3.7","0.409","0.7","1.5","0.444","0.8","2.2","0.385","0.5","0.5","0.7","0.75","0.3","0.3","0.7","0.8","0.3","0","0.2","1.2","4.2","4",1989
"6","Richard Anderson","PF","28","POR","3","0","11.7","0.7","2","0.333","0.3","1.3","0.25","0.3","0.7","0.5","0.417","0","0","0","0","1","1","1.3","0","0.3","0","0.7","1.7","0",1989
"7","Ron Anderson","SF","30","PHI","3","0","36.3","9.7","17","0.569","0","0.3","0","9.7","16.7","0.58","0.569","1.3","1.7","0.8","2.3","3","5.3","4.3","0.3","0.7","0.7","3.3","20.7","0",1989
"8","Thurl Bailey","SF","27","UTA","3","2","40.7","4","11.3","0.353","0","0","0","4","11.3","0.353","0.353","4","5","0.8","3.3","5","8.3","1","0.3","1.3","3","3.7","12","0",1989
"9","Charles Barkley*","PF","25","PHI","3","3","45","9.7","15","0.644","0.3","1.7","0.2","9.3","13.3","0.7","0.656","7.3","10.3","0.71","2.7","9","11.7","5.3","1.7","0.7","3.7","3","27","0",1989
"10","John Battle","SG","26","ATL","5","0","23.6","4","9.2","0.435","0","1.2","0","4","8","0.5","0.435","1.8","2.4","0.75","1","1.6","2.6","3.2","0.4","0","1","2.6","9.8","2",1989
"11","Walter Berry","PF","24","HOU","4","0","14.3","3.3","6.5","0.5","0","0","0","3.3","6.5","0.5","0.5","1.8","2","0.875","0.8","1.5","2.3","1.3","0.5","0.3","1.5","2","8.3","1",1989
"12","Otis Birdsong","SG","33","BOS","3","1","6.7","0.3","1.7","0.2","0","0.7","0","0.3","1","0.333","0.2","0","0","0","0","0.7","0.7","0.3","0.3","0.3","1","1","0.7","0",1989
"13","Manute Bol","C","26","GSW","8","0","18.5","0.9","4.5","0.194","0.3","2.8","0.091","0.6","1.8","0.357","0.222","0.3","0.9","0.286","0.6","3.3","3.9","0.1","0.3","3.6","0.4","2.6","2.3","4",1989
"14","Sam Bowie","C","27","POR","3","1","22.3","4","9.3","0.429","0.3","0.7","0.5","3.7","8.7","0.423","0.446","2","2.7","0.75","3.3","3.3","6.7","1","0","2.3","1","2.7","10.3","0",1989
"15","Adrian Branch","SF","25","POR","1","0","5","0","3","0","0","0","0","0","3","0","0","2","2","1","0","1","1","2","0","0","0","0","2","0",1989
