"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Paul Arizin*","SF","27","PHW","10","0","40.9","10.3","22.9","0.45","0","0","0","10.3","22.9","0.45","0.45","8.3","9.9","0.838","0","0","8.4","2.9","0","0","0","3.1","28.9","7",1956
"2","Ernie Barrett","SG","26","BOS","3","0","14.3","1.3","4.3","0.308","0","0","0","1.3","4.3","0.308","0.308","1","1","1","0","0","2.3","1.3","0","0","0","2.3","3.7","1",1956
"3","Ernie Beck","SG","24","PHW","10","0","25","3.1","7.2","0.431","0","0","0","3.1","7.2","0.431","0.431","2.2","3.1","0.71","0","0","5.1","2.2","0","0","0","3.2","8.4","7",1956
"4","Frankie Brian","PG","32","FTW","10","0","16.6","2.6","6.8","0.382","0","0","0","2.6","6.8","0.382","0.382","1.7","2.1","0.81","0","0","1.2","1.7","0","0","0","1.5","6.9","4",1956
"5","Jack Coleman","PF","31","STL","8","0","41.4","5.5","14","0.393","0","0","0","5.5","14","0.393","0.393","2.8","4.4","0.629","0","0","9.9","4","0","0","0","3.9","13.8","4",1956
"6","Ed Conlin","SF","22","SYR","8","0","24.6","3.9","10.6","0.365","0","0","0","3.9","10.6","0.365","0.365","2.8","4.8","0.579","0","0","5.9","1.1","0","0","0","1.8","10.5","5",1956
"7","Chuck Cooper*","SF","29","FTW","9","0","6.6","0.6","2.9","0.192","0","0","0","0.6","2.9","0.192","0.192","0.2","0.3","0.667","0","0","1.9","0.2","0","0","0","0.6","1.3","4",1956
"8","Bob Cousy*","PG","27","BOS","3","0","41.3","9.3","18.7","0.5","0","0","0","9.3","18.7","0.5","0.5","7.7","8.3","0.92","0","0","8","8.7","0","0","0","1.3","26.3","1",1956
"9","Walt Davis","PF","25","PHW","10","0","6.9","1","2.2","0.455","0","0","0","1","2.2","0.455","0.455","0.3","0.6","0.5","0","0","2.8","0.3","0","0","0","2.1","2.3","7",1956
"10","George Dempsey","PG","26","PHW","10","0","13.4","1.2","3","0.4","0","0","0","1.2","3","0.4","0.4","1.4","2","0.7","0","0","2.5","1.3","0","0","0","1.1","3.8","7",1956
"11","Corky Devlin","SG","24","FTW","10","0","27.5","4.1","10.1","0.406","0","0","0","4.1","10.1","0.406","0.406","1.5","2.5","0.6","0","0","2.1","2.3","0","0","0","2.1","9.7","4",1956
"12","Dick Farley","SG","23","SYR","8","0","21.1","4.3","9","0.472","0","0","0","4.3","9","0.472","0.472","2.4","3.9","0.613","0","0","2.6","3.5","0","0","0","3.9","10.9","5",1956
"13","Al Ferrari","SF","22","STL","8","0","33","4","10.6","0.376","0","0","0","4","10.6","0.376","0.376","6.8","8.8","0.771","0","0","4.1","3","0","0","0","3.5","14.8","4",1956
"14","Larry Foust","C","27","FTW","10","0","28.9","4.9","13","0.377","0","0","0","4.9","13","0.377","0.377","7","8.9","0.787","0","0","12.7","1.4","0","0","0","3.8","16.8","4",1956
"15","Dick Garmaker","SG","23","MNL","3","0","14","2.3","6.3","0.368","0","0","0","2.3","6.3","0.368","0.368","5.3","5.7","0.941","0","0","2.7","3.7","0","0","0","2.7","10","2",1956
"16","Jack George","PG","27","PHW","10","0","40.5","4.6","11.8","0.39","0","0","0","4.6","11.8","0.39","0.39","4.4","5.9","0.746","0","0","4.7","5.2","0","0","0","3.7","13.6","7",1956
"17","Tom Gola*","SG","23","PHW","10","0","36","3.8","10.7","0.355","0","0","0","3.8","10.7","0.355","0.355","4.7","6","0.783","0","0","10.1","5.8","0","0","0","4.7","12.3","7",1956
"18","Joe Graboski","PF","26","PHW","10","0","31.3","5.3","15.4","0.344","0","0","0","5.3","15.4","0.344","0.344","2.6","3.5","0.743","0","0","9.4","2.7","0","0","0","3.7","13.2","7",1956
"19","Alex Hannum*","PF","32","STL","8","0","19.9","2.6","8.3","0.318","0","0","0","2.6","8.3","0.318","0.318","2.4","4.4","0.543","0","0","3.6","1.3","0","0","0","4.5","7.6","4",1956
"20","Bob Harrison","PG","28","STL","8","0","32","3.4","9.4","0.36","0","0","0","3.4","9.4","0.36","0.36","1.5","2.4","0.632","0","0","3","3.6","0","0","0","3.4","8.3","4",1956
"22","Dick Hemric","PF","22","BOS","3","0","18","1.7","8","0.208","0","0","0","1.7","8","0.208","0.208","3","5.3","0.563","0","0","7.3","0.3","0","0","0","2.3","6.3","1",1956
"23","Larry Hennessy","SG","26","PHW","3","0","3.7","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0.3","0.7","0","0","0","0.3","0","7",1956
"24","Lew Hitch","PF","26","MNL","3","0","18","1.3","4.3","0.308","0","0","0","1.3","4.3","0.308","0.308","2.3","3.3","0.7","0","0","5","0.7","0","0","0","2.3","5","2",1956
"25","Bob Houbregs*","C","23","FTW","10","0","21.7","3.6","7.8","0.462","0","0","0","3.6","7.8","0.462","0.462","3.1","4.4","0.705","0","0","6.7","1.4","0","0","0","2.1","10.3","4",1956
"26","Mel Hutchins","PF","27","FTW","10","0","37.7","3.4","11.2","0.304","0","0","0","3.4","11.2","0.304","0.304","2.5","4.1","0.61","0","0","8.8","2.3","0","0","0","2.7","9.3","4",1956
"27","Neil Johnston*","C","26","PHW","10","0","39.7","6.9","16.9","0.408","0","0","0","6.9","16.9","0.408","0.408","6.5","9.2","0.707","0","0","14.3","5.1","0","0","0","4.1","20.3","7",1956
"28","Ed Kalafat","SF","23","MNL","3","0","18.3","3","7","0.429","0","0","0","3","7","0.429","0.429","5","6.3","0.789","0","0","7","0.7","0","0","0","4.3","11","2",1956
"29","Billy Kenville","PG","25","SYR","8","0","16","2","5.6","0.356","0","0","0","2","5.6","0.356","0.356","2","2.9","0.696","0","0","2.1","1.8","0","0","0","2.6","6","5",1956
"30","Red Kerr","C","23","SYR","8","0","26.6","4.6","9.6","0.481","0","0","0","4.6","9.6","0.481","0.481","1.9","4.1","0.455","0","0","8.5","1.3","0","0","0","2.9","11.1","5",1956
"31","George King","PG","27","SYR","8","0","39.6","4.9","13.5","0.361","0","0","0","4.9","13.5","0.361","0.361","4.8","6","0.792","0","0","5.9","7.5","0","0","0","2","14.5","5",1956
"32","Earl Lloyd*","SF","27","SYR","8","0","21.5","3.3","10.1","0.321","0","0","0","3.3","10.1","0.321","0.321","1.6","1.8","0.929","0","0","5.4","0.9","0","0","0","4.6","8.1","5",1956
"33","Jim Loscutoff","SF","25","BOS","3","0","29.7","3.7","10.3","0.355","0","0","0","3.7","10.3","0.355","0.355","2.3","3","0.778","0","0","8.7","1.3","0","0","0","2.7","9.7","1",1956
"34","Clyde Lovellette*","C","26","MNL","3","0","23","6.3","13","0.487","0","0","0","6.3","13","0.487","0.487","6.3","10.7","0.594","0","0","8.3","2","0","0","0","4.3","19","2",1956
"35","Ed Macauley*","C","27","BOS","3","0","24.3","4","10","0.4","0","0","0","4","10","0.4","0.4","2.3","3.7","0.636","0","0","5","1.7","0","0","0","2","10.3","1",1956
"36","Slater Martin*","PG","30","MNL","3","0","40.3","5.7","12.3","0.459","0","0","0","5.7","12.3","0.459","0.459","6.7","8","0.833","0","0","2.3","5","0","0","0","3","18","2",1956
"37","Jack McMahon","PG","27","STL","8","0","20.3","2.4","6.9","0.345","0","0","0","2.4","6.9","0.345","0.345","0.6","1.4","0.455","0","0","1.1","1.9","0","0","0","2.3","5.4","4",1956
"38","Chuck Mencel","PG","22","MNL","3","0","17.3","3.3","6.3","0.526","0","0","0","3.3","6.3","0.526","0.526","2","2.3","0.857","0","0","1.7","2.7","0","0","0","1.3","8.7","2",1956
"39","George Mikan*","C","31","MNL","3","0","20","4.3","11.7","0.371","0","0","0","4.3","11.7","0.371","0.371","3.3","4.3","0.769","0","0","9.3","1.7","0","0","0","4.7","12","2",1956
"40","Vern Mikkelsen*","PF","27","MNL","3","0","30","3.7","8.7","0.423","0","0","0","3.7","8.7","0.423","0.423","6","6.7","0.9","0","0","5.7","0.7","0","0","0","4.7","13.3","2",1956
"41","Jackie Moore","SF","23","PHW","8","0","6.5","1","2.5","0.4","0","0","0","1","2.5","0.4","0.4","0.3","0.8","0.333","0","0","2.1","0.3","0","0","0","1.8","2.3","7",1956
"43","Red Morrison","C","23","BOS","3","0","7.7","0.7","2.3","0.286","0","0","0","0.7","2.3","0.286","0.286","0","1.3","0","0","0","3.7","0","0","0","0","1.7","1.3","1",1956
"44","Jack Nichols","PF","29","BOS","3","0","33.3","5.3","14.3","0.372","0","0","0","5.3","14.3","0.372","0.372","3","3.3","0.9","0","0","12","3.3","0","0","0","4.3","13.7","1",1956
"45","Chuck Noble","SG","24","FTW","10","0","26.1","2.9","9.2","0.315","0","0","0","2.9","9.2","0.315","0.315","1.6","1.7","0.941","0","0","3","4.1","0","0","0","3","7.4","4",1956
