"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Steven Adams","C","20","OKC","18","0","18.4","1.7","2.5","0.689","0","0","0","1.7","2.5","0.689","0.689","0.4","1.3","0.348","1.2","2.9","4.1","0.2","0.1","1.3","0.6","2.7","3.9","10",2014
"2","LaMarcus Aldridge","PF","28","POR","11","11","40.1","10.3","22.7","0.452","0.2","0.3","0.667","10.1","22.5","0.449","0.456","5.5","6.8","0.8","2.7","7.9","10.6","1.5","0.6","1.6","1.7","3.6","26.2","5",2014
"3","Lavoy Allen","PF","24","IND","4","0","3.8","0.5","1","0.5","0","0","0","0.5","1","0.5","0.5","0","0","0","0.3","1","1.3","0.3","0","0","0","0.3","1","10",2014
"4","Ray Allen*","SG","38","MIA","20","1","26.4","3","7.2","0.413","1.7","4.3","0.388","1.3","2.9","0.448","0.528","1.7","1.9","0.919","0.7","2.7","3.4","1.6","0.7","0.2","1.2","2.1","9.3","13",2014
"5","Tony Allen","SG","32","MEM","7","1","32.9","5","10.3","0.486","0","1","0","5","9.3","0.538","0.486","2.3","3","0.762","3.3","4.4","7.7","1.4","1.7","0.1","1.7","3.3","12.3","3",2014
"6","Chris Andersen","C","35","MIA","18","0","17.6","1.8","3.2","0.579","0","0.1","0","1.8","3.1","0.589","0.579","1.4","2.1","0.684","1.4","4.5","5.9","0.3","0.3","1","0.5","1.9","5.1","13",2014
"7","Alan Anderson","SF","31","BRK","12","2","21.8","2.1","5.2","0.403","0.8","2.6","0.29","1.3","2.6","0.516","0.476","1","1.5","0.667","0.8","1.8","2.7","1.3","0.8","0","0.8","2.7","5.9","5",2014
"8","Pero Antic","C","31","ATL","7","7","24.3","1","6","0.167","0.4","3.6","0.12","0.6","2.4","0.235","0.202","0.7","1.1","0.625","1.4","2.4","3.9","0.7","0.7","0.4","1.1","3.7","3.1","3",2014
"9","Trevor Ariza","SF","28","WAS","11","11","37","4.7","9.8","0.481","2.3","5.1","0.446","2.5","4.7","0.519","0.597","1.9","2.5","0.778","1.9","7","8.9","1.7","1.5","0.4","1.3","2.4","13.6","6",2014
"10","Hilton Armstrong","C","29","GSW","7","0","2.4","0.6","1.1","0.5","0","0.1","0","0.6","1","0.571","0.5","0","0.3","0","0.4","0.1","0.6","0.3","0","0.3","0.6","0.9","1.1","3",2014
"11","Ömer Asik","C","27","HOU","6","4","27.2","2.7","5.5","0.485","0","0","0","2.7","5.5","0.485","0.485","0.5","0.5","1","3.5","4.7","8.2","0.7","0.5","0.7","1.8","4.8","5.8","2",2014
"12","D.J. Augustin","PG","26","CHI","5","0","28.2","4.2","14.4","0.292","1.4","5.2","0.269","2.8","9.2","0.304","0.34","3.4","3.8","0.895","0.8","0.8","1.6","4.8","0.6","0","1.8","3.2","13.2","1",2014
"13","Jeff Ayres","PF","26","SAS","17","0","3.8","0.4","0.8","0.462","0","0","0","0.4","0.8","0.462","0.462","0.3","0.5","0.625","0.4","0.8","1.1","0.3","0","0","0.1","0.4","1","16",2014
"14","Harrison Barnes","SF","21","GSW","7","0","22.3","2.7","6.9","0.396","1.1","3","0.381","1.6","3.9","0.407","0.479","1.3","2.3","0.563","1","3","4","1.1","0.1","0.4","0.7","1.9","7.9","3",2014
"15","Matt Barnes","SF","33","LAC","13","13","31.1","3.5","8.2","0.421","1.5","4.6","0.317","2","3.6","0.553","0.509","1","1.5","0.684","1.7","2.8","4.5","1.8","0.9","0.2","1.3","3.2","9.4","6",2014
"16","Will Barton","SG","23","POR","7","0","11.6","2.4","4.9","0.5","0.9","1.6","0.545","1.6","3.3","0.478","0.588","0.7","0.9","0.833","0.7","1","1.7","0.4","0.1","0.3","0.9","1","6.4","5",2014
"17","Shane Battier","SF","35","MIA","16","6","12.6","0.8","1.6","0.462","0.6","1.3","0.45","0.2","0.4","0.5","0.635","0.3","0.3","0.8","0.1","0.6","0.6","0.3","0.3","0.1","0.3","1.4","2.3","13",2014
"18","Nicolas Batum","SF","25","POR","11","11","41.7","6.1","12.9","0.472","1.9","5.5","0.35","4.2","7.5","0.561","0.546","1.1","1.4","0.8","0.9","6.7","7.6","4.8","1.3","0.5","2.5","1.9","15.2","5",2014
"19","Aron Baynes","C","27","SAS","14","0","7.2","0.9","1.7","0.5","0","0.1","0","0.9","1.6","0.522","0.5","0.6","0.7","0.8","0.9","1.4","2.2","0","0.2","0","0.5","1.1","2.3","16",2014
