"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Ray Allen*","SG","29","SEA","11","11","39.6","9.3","19.5","0.474","2.8","7.5","0.378","6.5","12.1","0.534","0.547","5.1","5.7","0.889","1.1","3.2","4.3","3.9","1.3","0.4","3.1","2","26.5","6",2005
"2","Tony Allen","SG","23","BOS","7","3","12.9","1.1","2.6","0.444","0","0","0","1.1","2.6","0.444","0.444","0.4","1","0.429","0.6","1.1","1.7","0.3","0.4","0.3","0.7","2.4","2.7","3",2005
"3","Shandon Anderson","SF","31","MIA","8","0","12.1","0.4","1.5","0.25","0","0.1","0","0.4","1.4","0.273","0.25","0.3","0.3","1","0.4","2","2.4","1","0.6","0","0.8","1.3","1","11",2005
"4","Carmelo Anthony","SF","20","DEN","5","5","36","7","16.6","0.422","0","0.2","0","7","16.4","0.427","0.422","5.2","6.4","0.813","2.8","2.6","5.4","2","0.6","0.2","2.6","4","19.2","1",2005
"5","Gilbert Arenas","PG","23","WAS","10","10","45","7.3","19.4","0.376","1.8","7.7","0.234","5.5","11.7","0.47","0.423","7.2","9.4","0.766","0.8","4.4","5.2","6.2","2.1","0.6","3.9","3.4","23.6","4",2005
"6","Darrell Armstrong","PG","36","DAL","9","0","7.3","0.9","1.8","0.5","0.2","0.9","0.25","0.7","0.9","0.75","0.563","0","0","0","0.3","0.1","0.4","1","0.3","0.2","0.2","1","2","6",2005
"7","Carlos Arroyo","PG","25","DET","19","0","7.9","0.8","2.4","0.356","0","0.1","0","0.8","2.3","0.364","0.356","0.4","0.6","0.667","0.1","0.5","0.5","2.1","0.2","0.1","0.5","1","2.1","15",2005
"8","Marcus Banks","PG","23","BOS","7","0","15.1","1.9","4.1","0.448","0.4","0.9","0.5","1.4","3.3","0.435","0.5","0.4","0.9","0.5","0.1","1.4","1.6","1","0.6","0","0.9","2.3","4.6","3",2005
"9","Leandro Barbosa","PG","22","PHO","12","0","9.7","1","2.9","0.343","0.3","0.8","0.4","0.7","2.1","0.32","0.4","0.2","0.3","0.5","0.4","1","1.4","1","0.3","0","0.4","0.7","2.5","9",2005
"10","Brent Barry","SG","33","SAS","23","8","24.1","2.1","4.6","0.457","1.2","2.9","0.424","0.9","1.7","0.513","0.59","0.7","0.9","0.81","0.6","1.9","2.4","1.9","0.7","0.2","1.2","1.9","6.1","16",2005
"11","Jon Barry","SG","35","HOU","7","0","26.1","3","6.9","0.438","1.6","3.3","0.478","1.4","3.6","0.4","0.552","1","1.1","0.875","0.1","4","4.1","1.3","0.7","0","0.9","1.9","8.6","3",2005
"12","Shane Battier","SG","26","MEM","4","4","29.8","3.3","7.8","0.419","0.3","1.8","0.143","3","6","0.5","0.435","0.5","1.3","0.4","2.5","4.3","6.8","1.5","0.5","1","1","3.5","7.3","0",2005
"13","Travis Best","PG","32","NJN","4","0","20.5","2.3","5.5","0.409","0.3","2.3","0.111","2","3.3","0.615","0.432","2","2.3","0.889","0.5","1","1.5","2.3","0.3","0","0.8","2.3","6.8","0",2005
"14","Mike Bibby","PG","26","SAC","5","5","40","7.2","18.4","0.391","1","4.6","0.217","6.2","13.8","0.449","0.418","4.2","5.4","0.778","1","3.4","4.4","6.6","1.4","0.4","2.6","2.2","19.6","1",2005
"15","Chauncey Billups","PG","28","DET","25","25","39.4","5.8","13.6","0.428","1.8","5","0.349","4","8.5","0.474","0.493","5.3","6","0.893","0.9","3.4","4.3","6.5","1","0.2","2","2.8","18.7","15",2005
"16","Steve Blake","PG","24","WAS","4","0","4.3","0.3","1","0.25","0","0.3","0","0.3","0.8","0.333","0.25","0","0","0","0","0.8","0.8","0.5","0","0","0.3","0.8","0.5","4",2005
"17","Mark Blount","C","29","BOS","4","0","10.8","1","3.5","0.286","0","0","0","1","3.5","0.286","0.286","0","0.5","0","0.8","0.8","1.5","0.3","0","0","1.3","1.5","2","3",2005
"18","Bruce Bowen","SF","33","SAS","23","23","35.4","2","5.6","0.359","1.3","2.9","0.433","0.7","2.7","0.279","0.473","0.5","0.7","0.647","0.4","2.5","2.9","1.6","0.5","0.6","0.7","3.3","5.7","16",2005
"19","Ryan Bowen","SF","29","HOU","7","3","17.9","1.1","3.6","0.32","0","0","0","1.1","3.6","0.32","0.32","0.3","0.4","0.667","1","1","2","0.9","0.9","0","0.9","3.3","2.6","3",2005
"20","Earl Boykins","PG","28","DEN","5","1","30.4","5.4","13.6","0.397","0","1.4","0","5.4","12.2","0.443","0.397","3.4","3.8","0.895","0.4","0.6","1","3.8","0.8","0.2","1.8","2.6","14.2","1",2005
