"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Kareem Abdul-Jabbar*","C","30","LAL","3","0","44.7","12.7","24.3","0.521","0","0","0","12.7","24.3","0.521","0.521","1.7","3","0.556","4.7","9","13.7","3.7","0.7","4","4.7","4.7","27","1",1978
"2","Tom Abernethy","SF","23","LAL","2","0","6","0.5","2","0.25","0","0","0","0.5","2","0.25","0.25","1","1","1","1","0","1","0.5","0","0","0","1","2","1",1978
"3","Alvan Adams","C","23","PHO","2","0","35.5","7.5","16.5","0.455","0","0","0","7.5","16.5","0.455","0.455","1","1","1","4","4","8","2","1","0.5","4.5","4","16","0",1978
"4","Dennis Awtrey","C","29","PHO","2","0","12","0.5","2","0.25","0","0","0","0.5","2","0.25","0.25","0.5","0.5","1","1","0","1","1.5","0.5","0","0.5","0","1.5","0",1978
"5","Greg Ballard","SF","23","WSB","19","0","12.8","1.1","3.3","0.333","0","0","0","1.1","3.3","0.333","0.333","1.7","2.2","0.78","1.4","2.7","4.2","0.9","0.5","0.2","0.7","1.5","3.9","14",1978
"6","Butch Beard","PG","30","NYK","6","0","26.7","4","8","0.5","0","0","0","4","8","0.5","0.5","1","1.7","0.6","1.2","2.3","3.5","4.5","1.7","0.3","1.8","3.7","9","2",1978
"7","Kent Benson","C","23","MIL","9","0","11.4","1.2","2.6","0.478","0","0","0","1.2","2.6","0.478","0.478","0.7","1.2","0.545","0.6","1.1","1.7","0.3","0.6","0.3","0.7","2.2","3.1","5",1978
"8","Henry Bibby","PG","28","PHI","10","0","28.9","3.3","8.2","0.402","0","0","0","3.3","8.2","0.402","0.402","2","2.2","0.909","0.9","2.1","3","4.8","1.2","0","2.2","2.5","8.6","6",1978
"9","Mike Bratz","PG","22","PHO","2","0","4.5","0.5","2.5","0.2","0","0","0","0.5","2.5","0.2","0.2","0","0","0","0","0","0","0.5","0","0","0","0","1","0",1978
"10","Jim Brewer","PF","26","CLE","1","0","9","0","1","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0",1978
"11","Junior Bridgeman","SF","24","MIL","9","0","19.8","4.9","10.1","0.484","0","0","0","4.9","10.1","0.484","0.484","0.7","0.9","0.75","0.7","1.3","2","1.2","1","0.2","0.9","3.4","10.4","5",1978
"12","Allan Bristow","SF","26","SAS","5","0","10.2","1.8","3","0.6","0","0","0","1.8","3","0.6","0.6","0.8","1.2","0.667","0.8","1.4","2.2","1.4","0.4","0","1","2","4.4","2",1978
"13","Fred Brown","SG","29","SEA","22","0","26.1","7","15.5","0.449","0","0","0","7","15.5","0.449","0.449","3.4","4.1","0.833","0.7","1.4","2.1","2.4","1","0.1","1.4","2.1","17.3","13",1978
"14","John Brown","SF","26","ATL","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.5","0","0",1978
"15","Joe Bryant","PF","23","PHI","10","0","12.2","2.1","4.7","0.447","0","0","0","2.1","4.7","0.447","0.447","0.8","1.1","0.727","0.7","1.8","2.5","0.9","0.6","0.1","0.5","2.2","5","6",1978
"16","Quinn Buckner","PG","23","MIL","9","0","28.6","4.8","9.6","0.5","0","0","0","4.8","9.6","0.5","0.5","1.7","2.6","0.652","0.3","2.7","3","6.9","2","0.1","4.3","3.3","11.2","5",1978
"17","Don Buse","PG","27","PHO","2","0","38","2","5.5","0.364","0","0","0","2","5.5","0.364","0.364","0","0","0","0","2.5","2.5","2","2","0","0.5","1.5","4","0",1978
"18","Corky Calhoun","SF","27","POR","6","0","18.2","2.5","4.8","0.517","0","0","0","2.5","4.8","0.517","0.517","0.7","1.2","0.571","1","1.3","2.3","0.5","0.3","0.2","0.5","1","5.7","2",1978
"19","Mack Calvin","PG","30","DEN","12","0","11.3","1.6","3.5","0.452","0","0","0","1.6","3.5","0.452","0.452","2.3","2.4","0.931","0.3","0.4","0.7","1.8","0.6","0","0.9","0.9","5.4","6",1978
"20","Austin Carr","SG","29","CLE","2","0","34.5","5","13.5","0.37","0","0","0","5","13.5","0.37","0.37","7.5","8","0.938","1.5","2.5","4","2.5","1","0.5","2","4","17.5","0",1978
"22","Kenny Carr","PF","22","LAL","2","0","8.5","1.5","4","0.375","0","0","0","1.5","4","0.375","0.375","0","0","0","0","2","2","0","0.5","0","1.5","1","3","1",1978
"23","Harvey Catchings","C","26","PHI","7","0","3.7","0.4","1.1","0.375","0","0","0","0.4","1.1","0.375","0.375","0.4","0.6","0.75","0.4","0.9","1.3","0","0.1","0.4","0","0.6","1.3","6",1978
"24","Jim Chones","C","28","CLE","2","0","41","6.5","13.5","0.481","0","0","0","6.5","13.5","0.481","0.481","2","4","0.5","1.5","6","7.5","3.5","1","0.5","2","3.5","15","0",1978
"25","Jim Cleamons","PG","28","NYK","6","0","21.2","2.3","6","0.389","0","0","0","2.3","6","0.389","0.389","1","1","1","0.8","1.3","2.2","3.8","0.5","0","1.3","2.2","5.7","2",1978
"26","Doug Collins","SG","26","PHI","10","0","34.2","8.2","16.5","0.497","0","0","0","8.2","16.5","0.497","0.497","4","4.9","0.816","0.8","2.3","3.1","2.7","0.3","0","2.3","2.9","20.4","6",1978
"27","Charlie Criss","PG","29","ATL","2","0","32.5","5","12","0.417","0","0","0","5","12","0.417","0.417","3.5","4.5","0.778","0","2","2","1.5","2","0.5","2.5","2.5","13.5","0",1978
"28","Louie Dampier*","PG","33","SAS","6","0","21.5","2.8","6.2","0.459","0","0","0","2.8","6.2","0.459","0.459","0.2","0.7","0.25","0.2","1","1.2","2.5","0.7","0.3","0.7","1.2","5.8","2",1978
"29","Bob Dandridge","SF","30","WSB","19","0","39.3","9.1","18.9","0.479","0","0","0","9.1","18.9","0.479","0.479","3.1","4.4","0.69","1.8","4.6","6.5","3.9","1.6","0.7","3","4.1","21.2","14",1978
"30","Adrian Dantley*","SF","22","LAL","3","0","34.7","6.7","11.7","0.571","0","0","0","6.7","11.7","0.571","0.571","3.7","5.7","0.647","3","5.3","8.3","3.7","1.7","1","2","3","17","1",1978
"31","Johnny Davis","SG","22","POR","6","0","33.5","5.8","12.7","0.461","0","0","0","5.8","12.7","0.461","0.461","2.7","3.8","0.696","0.5","1.2","1.7","2.2","0.2","0.3","1.8","2.5","14.3","2",1978
"32","Walter Davis","SF","23","PHO","2","0","33","9.5","20","0.475","0","0","0","9.5","20","0.475","0.475","6","8","0.75","2","6.5","8.5","4","1.5","0","3","4","25","0",1978
"33","Darryl Dawkins","C","21","PHI","10","0","18","2.7","5.3","0.509","0","0","0","2.7","5.3","0.509","0.509","0.9","1.7","0.529","0.6","5.1","5.7","1","0.3","1.5","1.4","3.4","6.3","6",1978
"34","Coby Dietrick","PF","29","SAS","6","0","16","2.3","4.5","0.519","0","0","0","2.3","4.5","0.519","0.519","0.2","0.3","0.5","1.3","2.8","4.2","0.7","0.8","0.8","1.5","3","4.8","2",1978
"35","John Drew","SF","23","ATL","2","0","39.5","10.5","24.5","0.429","0","0","0","10.5","24.5","0.429","0.429","5","8","0.625","4.5","3","7.5","1.5","0.5","0.5","2","4.5","26","0",1978
"36","T.R. Dunn","SG","22","POR","4","0","8.8","0.5","1","0.5","0","0","0","0.5","1","0.5","0.5","0","0","0","0.3","1","1.3","0.8","0.3","0","0.3","0.8","1","2",1978
"37","Jim Eakins","C","31","MIL","3","0","6","0.3","1.7","0.2","0","0","0","0.3","1.7","0.2","0.2","0","0","0","0.3","0","0.3","0.3","0.3","0","0.3","0.7","0.7","5",1978
"38","Bo Ellis","PF","23","DEN","12","0","14.2","1.4","3.3","0.425","0","0","0","1.4","3.3","0.425","0.425","1","1.3","0.8","1.3","2.3","3.6","0.7","0.5","0.7","1.2","2.1","3.8","6",1978
"39","Alex English*","SF","24","MIL","9","0","23.1","5.3","8.7","0.615","0","0","0","5.3","8.7","0.615","0.615","2.8","3.6","0.781","1.8","2.9","4.7","1.4","0.7","0.8","1.3","2.2","13.4","5",1978
"40","Julius Erving*","SF","27","PHI","10","0","35.8","8.8","18","0.489","0","0","0","8.8","18","0.489","0.489","4.2","5.6","0.75","4","5.7","9.7","4","1.5","1.8","3.5","3","21.8","6",1978
"41","Al Fleming","SF","23","SEA","5","0","4.2","0.4","1.2","0.333","0","0","0","0.4","1.2","0.333","0.333","0.6","0.8","0.75","0.2","0.6","0.8","0.4","0.2","0","0.4","1","1.4","13",1978
"43","Don Ford","PF","25","LAL","1","0","10","0","3","0","0","0","0","0","3","0","0","0","0","0","2","3","5","0","1","0","1","2","0","1",1978
"44","Bayard Forrest","C","23","PHO","1","0","3","1","1","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","2","0",1978
"45","World B. Free","SG","24","PHI","10","0","26.8","5.1","12.4","0.411","0","0","0","5.1","12.4","0.411","0.411","5.9","8.1","0.728","1","2.1","3.1","3.7","0.4","0.6","2.6","2.6","16.1","6",1978
"46","Terry Furlow","SG","23","CLE","2","0","25","6.5","13.5","0.481","0","0","0","6.5","13.5","0.481","0.481","3","3","1","1.5","1","2.5","2.5","0","0","1.5","0.5","16","0",1978
"47","Mike Gale","SG","27","SAS","6","0","33.5","4.2","9.3","0.446","0","0","0","4.2","9.3","0.446","0.446","0.3","0.7","0.5","1.2","3","4.2","5.2","1.2","0.7","2.8","2.5","8.7","2",1978
"48","George Gervin*","SG","25","SAS","6","0","37.8","13","23.7","0.549","0","0","0","13","23.7","0.549","0.549","7.2","9.3","0.768","1.8","3.8","5.7","3.2","1","2.7","3.2","3.8","33.2","2",1978
"49","John Gianelli","C","27","MIL","9","0","32.2","2.8","6.6","0.424","0","0","0","2.8","6.6","0.424","0.424","2.2","2.9","0.769","1.8","4.7","6.4","1.6","0.9","1.2","1.4","2.7","7.8","5",1978
"50","Glen Gondrezick","SF","22","NYK","6","0","11.7","1.7","3.2","0.526","0","0","0","1.7","3.2","0.526","0.526","0.8","1.3","0.625","1.2","1.7","2.8","1","0.8","0","1","2","4.2","2",1978
"51","Mike Green","C","26","SAS","6","0","29","4.7","9.7","0.483","0","0","0","4.7","9.7","0.483","0.483","1.5","1.7","0.9","2.8","4.5","7.3","1.8","0.8","2.7","1.3","3.5","10.8","2",1978
"52","Kevin Grevey","SF","24","WSB","21","0","27.8","6","13.5","0.444","0","0","0","6","13.5","0.444","0.444","3.5","4.3","0.811","1.2","1.7","2.9","2","0.5","0.1","2.1","3.4","15.5","14",1978
