"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Álex Abrines","SG","24","OKC","6","0","18.3","1.3","3.3","0.4","1","2.2","0.462","0.3","1.2","0.286","0.55","0.3","0.3","1","0.5","2.2","2.7","0.3","0.8","0.3","0.2","1.8","4","2",2018
"2","Steven Adams","C","24","OKC","6","6","33.3","4.5","7.7","0.587","0","0","0","4.5","7.7","0.587","0.587","1.5","2.2","0.692","3.2","4.3","7.5","1.5","0.7","0.7","0.7","2.5","10.5","2",2018
"3","Bam Adebayo","C","20","MIA","5","0","15.4","1.4","3","0.467","0","0.2","0","1.4","2.8","0.5","0.467","0.6","2.8","0.214","1.8","2.2","4","0","0","0.4","0.4","1.6","3.4","1",2018
"4","LaMarcus Aldridge","C","32","SAS","5","5","35.4","7.4","16","0.463","0.6","1","0.6","6.8","15","0.453","0.481","8.2","8.4","0.976","2.6","6.6","9.2","2.4","0.6","0.4","1.8","1.8","23.6","1",2018
"5","Al-Farouq Aminu","PF","27","POR","4","4","32.8","6.8","13","0.519","3.3","7.5","0.433","3.5","5.5","0.636","0.644","0.5","0.5","1","3","6","9","1.3","1","0.5","1.5","2","17.3","0",2018
"6","Justin Anderson","SF","24","PHI","7","0","4.7","0.4","1.1","0.375","0.3","1","0.286","0.1","0.1","1","0.5","0","0","0","0.1","1.1","1.3","0","0.1","0","0.3","1.1","1.1","5",2018
"7","Kyle Anderson","SF","24","SAS","5","1","14.6","2.4","4","0.6","0","0.8","0","2.4","3.2","0.75","0.6","0.6","0.8","0.75","1","1.6","2.6","0.6","1.2","0.2","0.6","2","5.4","1",2018
"8","Ryan Anderson","PF","29","HOU","11","0","8.6","0.6","1.8","0.35","0.5","1.4","0.333","0.2","0.5","0.4","0.475","0","0","0","0.4","0.8","1.2","0.5","0.3","0.1","0.3","0.9","1.7","11",2018
"9","Giannis Antetokounmpo","PF","23","MIL","7","7","40","9.9","17.3","0.57","0.6","2","0.286","9.3","15.3","0.607","0.587","5.4","7.9","0.691","1.1","8.4","9.6","6.3","1.4","0.9","2.4","4","25.7","3",2018
"10","Carmelo Anthony","PF","33","OKC","6","6","32.3","4.5","12","0.375","1","4.7","0.214","3.5","7.3","0.477","0.417","1.8","2.5","0.733","0.5","5.2","5.7","0.3","1.7","0.7","1","2.3","11.8","2",2018
"11","OG Anunoby","SF","20","TOR","10","10","23.8","2.9","5.2","0.558","1.3","2.9","0.448","1.6","2.3","0.696","0.683","0.8","1.1","0.727","0.9","1.2","2.1","0.7","0.6","0.4","0.6","2.3","7.9","4",2018
"12","Trevor Ariza","SF","32","HOU","17","17","34.2","2.9","8.2","0.36","1.5","5.4","0.286","1.4","2.8","0.5","0.453","1.4","1.8","0.742","0.5","3.3","3.8","1.3","1.1","0.1","0.6","2.6","8.8","11",2018
"13","Luke Babbitt","SF","28","MIA","2","0","1.5","0","0.5","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",2018
"14","Wade Baldwin","PG","21","POR","4","0","4.8","0.3","1","0.25","0.3","0.3","1","0","0.8","0","0.375","0.3","0.5","0.5","0","0.8","0.8","0.8","0.3","0.3","0.8","0.3","1","0",2018
"15","Jerryd Bayless","SG","29","PHI","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5",2018
"16","Aron Baynes","C","31","BOS","19","12","20.5","2.4","4.7","0.506","0.6","1.2","0.478","1.8","3.5","0.515","0.567","0.7","0.9","0.722","2.4","3.8","6.2","1","0.2","0.6","0.4","2.3","6","11",2018
"17","Bradley Beal","SG","24","WAS","6","6","36","8.2","18","0.454","3.5","7.5","0.467","4.7","10.5","0.444","0.551","3.3","3.8","0.87","0.3","3","3.3","2.8","1.2","0.3","2.5","3.2","23.2","2",2018
"18","Marco Belinelli","SG","31","PHI","10","0","27.3","4.3","10.6","0.406","1.6","4.6","0.348","2.7","6","0.45","0.481","2.7","3.1","0.871","0.1","2","2.1","2","0.7","0","0.4","2","12.9","5",2018
"19","Jordan Bell","C","23","GSW","17","0","10.2","1","1.9","0.531","0","0.1","0","1","1.8","0.548","0.531","0.4","0.8","0.5","0.9","1.9","2.8","0.9","0.4","0.5","0.4","1.1","2.4","16",2018
"20","Davis Bertans","PF","25","SAS","5","0","16.4","0.6","3.6","0.167","0.6","3.2","0.188","0","0.4","0","0.25","1.6","2.2","0.727","0.2","2","2.2","1.2","0.4","0","0.2","2","3.4","1",2018
"22","Nemanja Bjelica","PF","29","MIN","5","0","9.4","1.4","3.2","0.438","0.8","1.4","0.571","0.6","1.8","0.333","0.563","1","1.4","0.714","0.8","2.2","3","0.6","0.6","0","0.2","1.2","4.6","1",2018
"23","Tarik Black","C","26","HOU","7","0","2.7","0.1","0.6","0.25","0","0","0","0.1","0.6","0.25","0.25","0","0","0","0.3","0.6","0.9","0.3","0","0.1","0.1","0.7","0.3","11",2018
"24","Eric Bledsoe","PG","28","MIL","7","7","32.1","5.3","12","0.44","1","3.1","0.318","4.3","8.9","0.484","0.482","2","2.9","0.7","0.4","3.1","3.6","3.7","1","0.9","2.1","2.7","13.6","3",2018
"25","Bojan Bogdanovic","SF","28","IND","7","7","34","4.6","11.6","0.395","2.4","6.4","0.378","2.1","5.1","0.417","0.5","0.9","1.4","0.6","0.1","3.3","3.4","1.9","0.9","0","1.9","3.3","12.4","3",2018
"26","Trevor Booker","PF","30","IND","7","0","9.1","0.9","1.4","0.6","0","0.1","0","0.9","1.3","0.667","0.6","0.9","1","0.857","0.7","1.9","2.6","0","0.1","0.1","0.1","1.7","2.6","3",2018
"27","Tony Bradley","C","20","UTA","1","0","2","1","2","0.5","0","0","0","1","2","0.5","0.5","0","0","0","1","0","1","0","0","0","0","0","2","5",2018
"28","Corey Brewer","SG","31","OKC","6","6","25.2","2.2","4.2","0.52","0.8","1.8","0.455","1.3","2.3","0.571","0.62","1","1","1","0.7","1.5","2.2","0.8","1.2","0.8","0.3","2.8","6.2","2",2018
"29","Malcolm Brogdon","PG","25","MIL","7","5","26.6","3.4","7.9","0.436","0.7","2.7","0.263","2.7","5.1","0.528","0.482","1.1","1.4","0.8","0.4","3","3.4","2.4","0.1","0","1.7","2","8.7","3",2018
"30","Aaron Brooks","PG","33","MIN","2","0","1.5","1","1.5","0.667","0","0.5","0","1","1","1","0.667","0","1","0","0","0","0","0","0","0","0","0","2","1",2018
