"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Victor Alexander","C","32","DET","1","0","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","4",2002
"2","Derek Anderson","SG","27","POR","3","0","25.3","4.3","10","0.433","0.7","2","0.333","3.7","8","0.458","0.467","5.3","6","0.889","1","1.3","2.3","2.3","0.7","0","2","0.3","14.7","0",2002
"3","Kenny Anderson","PG","31","BOS","16","16","35","5.1","12.3","0.416","0","0","0","5.1","12.3","0.416","0.416","1.8","2.2","0.8","0.8","2.3","3.1","4.8","1.3","0","1.8","3.6","12","9",2002
"4","Darrell Armstrong","PG","33","ORL","4","4","39.5","5","10.5","0.476","1","4.3","0.235","4","6.3","0.64","0.524","4.3","5.3","0.81","0.8","2","2.8","3.3","1.3","0","1.8","3.5","15.3","1",2002
"5","Chucky Atkins","PG","27","DET","10","10","29.4","4.3","11.8","0.364","1.4","3.9","0.359","2.9","7.9","0.367","0.424","1.3","1.7","0.765","0.5","1.9","2.4","3.4","0.6","0.1","1.4","2.5","11.3","4",2002
"6","Stacey Augmon","SG","33","CHH","9","0","16.9","1.8","4.6","0.39","0","0","0","1.8","4.6","0.39","0.39","1.8","2.3","0.762","0.8","2.2","3","1.4","1.1","0.1","1.3","2.3","5.3","4",2002
"7","Vin Baker","C","30","SEA","5","4","28.8","5.8","11.6","0.5","0.2","0.2","1","5.6","11.4","0.491","0.509","1.4","1.8","0.778","2.2","2.8","5","0.8","0.6","1.2","0.8","4.6","13.2","2",2002
"8","Dana Barros","PG","34","DET","4","0","1.5","0.3","0.8","0.333","0","0.3","0","0.3","0.5","0.5","0.333","0","0","0","0","0","0","0.3","0","0","0","0.5","0.5","4",2002
"9","Brent Barry","SG","30","SEA","5","5","29.8","2.8","6.8","0.412","1.4","3.2","0.438","1.4","3.6","0.389","0.515","0.8","0.8","1","1.2","3.4","4.6","2.8","0.6","0.8","1.8","2.4","7.8","2",2002
"10","Jon Barry","SG","32","DET","10","0","17.7","2.9","6.1","0.475","1.7","3.8","0.447","1.2","2.3","0.522","0.615","0.5","0.8","0.625","0.4","1.6","2","2.1","0.5","0.1","1.9","1.4","8","4",2002
