"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Ray Allen*","SG","24","MIL","5","5","37.2","8","18","0.444","2","5.2","0.385","6","12.8","0.469","0.5","4","4.4","0.909","2","4.6","6.6","2.6","1.6","0","1.8","2","22","2",2000
"2","Rafer Alston","PG","23","MIL","4","0","4","0","0.8","0","0","0.3","0","0","0.5","0","0","0","0.5","0","0","0","0","0.3","0","0","0.3","0","0","2",2000
"3","Nick Anderson","SG","32","SAC","5","5","26.4","2.2","6.8","0.324","1.4","4","0.35","0.8","2.8","0.286","0.426","1.4","1.6","0.875","0.8","2.6","3.4","0.4","0.2","0.6","0.8","1.8","7.2","2",2000
"4","Greg Anthony","PG","32","POR","15","0","14.2","1.3","3.5","0.365","0.7","2.1","0.323","0.6","1.4","0.429","0.462","0.8","1.1","0.75","0.1","0.9","1.1","1.7","0.9","0.3","0.8","1.8","4","10",2000
"5","Stacey Augmon","SG","31","POR","7","0","4.9","0.6","1.7","0.333","0","0","0","0.6","1.7","0.333","0.333","0.1","0.3","0.5","0","0.3","0.3","0","0","0","0","0.9","1.3","10",2000
"6","Toby Bailey","SG","24","PHO","5","0","3","0.2","0.8","0.25","0","0","0","0.2","0.8","0.25","0.25","0.4","0.8","0.5","0.2","0.2","0.4","0.4","0","0","0","0.2","0.8","4",2000
"7","Vin Baker","C","28","SEA","5","4","35.4","6","15","0.4","0","0.2","0","6","14.8","0.405","0.4","2","3.4","0.588","3.2","4.4","7.6","2","1","0.4","3.2","3.8","14","2",2000
"8","Brent Barry","SG","28","SEA","5","3","31","2.4","6.6","0.364","1.6","4","0.4","0.8","2.6","0.308","0.485","2","2.8","0.714","0.6","2","2.6","3","0.6","0.6","1.4","4","8.4","2",2000
"9","Jon Barry","SG","30","SAC","5","0","20.4","1.8","4.2","0.429","1.4","2.4","0.583","0.4","1.8","0.222","0.595","2.8","3.2","0.875","0.4","2","2.4","2.4","0.6","0","0.8","1.4","7.8","2",2000
"10","Jonathan Bender","SF","19","IND","9","0","2.3","0.4","0.7","0.667","0.1","0.1","1","0.3","0.6","0.6","0.75","0.3","0.7","0.5","0","0.3","0.3","0","0.1","0","0","0.2","1.3","13",2000
"11","Travis Best","PG","27","IND","23","0","20.1","3.3","7.8","0.43","0.6","1.3","0.433","2.8","6.5","0.43","0.466","1.6","1.9","0.841","0.7","1.8","2.5","2.9","0.8","0.2","1.1","2.7","8.9","13",2000
"12","Corie Blount","PF","31","PHO","9","0","18","1.9","3.4","0.548","0","0","0","1.9","3.4","0.548","0.548","1.1","2","0.556","2.8","3.4","6.2","0.3","0.7","0.7","1.4","4","4.9","4",2000
"13","Muggsy Bogues","PG","35","TOR","3","2","29","2","7","0.286","1","3","0.333","1","4","0.25","0.357","0.3","1","0.333","1","1","2","1.7","1.3","0","1.3","1.3","5.3","0",2000
"14","Lazaro Borrell","SF","27","SEA","2","1","13","2","3.5","0.571","0","0","0","2","3.5","0.571","0.571","1","2","0.5","1.5","4","5.5","0.5","0","0","0.5","1","5","2",2000
"15","Bruce Bowen","SF","28","MIA","10","0","15.7","1","2.7","0.37","0.5","2.2","0.227","0.5","0.5","1","0.463","1","1.6","0.625","0.1","0.9","1","0.8","0.7","0.4","0.6","2.7","3.5","6",2000
"16","Ira Bowman","SG","26","PHI","7","0","1.6","0","0.3","0","0","0.1","0","0","0.1","0","0","0","0.3","0","0","0","0","0.3","0","0","0","0","0","5",2000
"17","Terrell Brandon","PG","29","MIN","4","4","40.5","8","15.8","0.508","1","2.8","0.364","7","13","0.538","0.54","2.5","2.8","0.909","1","4.8","5.8","8.5","0.8","0","2","2.8","19.5","1",2000
"18","Dee Brown","PG","31","TOR","3","0","6.3","0","1.3","0","0","1","0","0","0.3","0","0","0","0","0","0","0.7","0.7","0.7","0.7","0","0.3","1.3","0","0",2000
