"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Jay Arnette","PG","25","CIN","8","0","9.9","1.4","3.9","0.355","0","0","0","1.4","3.9","0.355","0.355","0.9","1","0.875","0","0","1.3","1.1","0","0","0","2.6","3.6","4",1964
"2","Al Attles*","PG","27","SFW","12","0","32.2","4.8","12","0.403","0","0","0","4.8","12","0.403","0.403","2.5","4.7","0.536","0","0","3.1","2.5","0","0","0","4.5","12.2","5",1964
"3","Dick Barnett","SG","27","LAL","5","0","30.8","4.2","10.4","0.404","0","0","0","4.2","10.4","0.404","0.404","5.4","6.4","0.844","0","0","1.6","3.4","0","0","0","3.2","13.8","2",1964
"4","John Barnhill","SG","25","STL","5","0","12.2","2.4","4.6","0.522","0","0","0","2.4","4.6","0.522","0.522","0.4","1","0.4","0","0","1","1","0","0","0","1.6","5.2","6",1964
"5","Elgin Baylor*","SF","29","LAL","5","0","44.2","9","23.8","0.378","0","0","0","9","23.8","0.378","0.378","6.2","8","0.775","0","0","11.6","5.6","0","0","0","3.4","24.2","2",1964
"6","Zelmo Beaty*","C","24","STL","12","0","36.3","5.3","10.1","0.521","0","0","0","5.3","10.1","0.521","0.521","3.8","6.4","0.597","0","0","9.5","1","0","0","0","4.7","14.3","6",1964
"7","Al Bianchi","PG","31","PHI","5","0","13.6","2.4","5.8","0.414","0","0","0","2.4","5.8","0.414","0.414","0.6","0.8","0.75","0","0","0.8","0.8","0","0","0","2.4","5.4","2",1964
"8","Bucky Bockhorn","SG","30","CIN","10","0","30.1","4.1","10.8","0.38","0","0","0","4.1","10.8","0.38","0.38","1.5","2","0.75","0","0","3.9","3.9","0","0","0","4","9.7","4",1964
"9","Bill Bridges","PF","24","STL","12","0","20","2.2","6.9","0.313","0","0","0","2.2","6.9","0.313","0.313","1","1.6","0.632","0","0","7","2","0","0","0","3.3","5.3","6",1964
"10","Wilt Chamberlain*","C","27","SFW","12","0","46.5","14.6","26.8","0.543","0","0","0","14.6","26.8","0.543","0.543","5.5","11.6","0.475","0","0","25.2","3.3","0","0","0","2.3","34.7","5",1964
"11","Larry Costello","PG","32","PHI","5","0","7.2","0.6","2.8","0.214","0","0","0","0.6","2.8","0.214","0.214","2","2","1","0","0","0.6","0.8","0","0","0","2.8","3.2","2",1964
"12","Connie Dierking","C","27","PHI","5","0","14.2","2.8","6.6","0.424","0","0","0","2.8","6.6","0.424","0.424","1","1.8","0.556","0","0","6","1","0","0","0","2","6.6","2",1964
"13","Leroy Ellis","C","23","LAL","5","0","28.8","1.6","5.4","0.296","0","0","0","1.6","5.4","0.296","0.296","2.2","3","0.733","0","0","10","0.8","0","0","0","2.2","5.4","2",1964
"14","Wayne Embry*","C","26","CIN","10","0","36.3","5.3","13.9","0.381","0","0","0","5.3","13.9","0.381","0.381","2.8","4.5","0.622","0","0","12.4","2.1","0","0","0","4.6","13.4","4",1964
"15","Mike Farmer","SF","27","STL","11","0","10.8","1.7","3.1","0.559","0","0","0","1.7","3.1","0.559","0.559","0.7","0.9","0.8","0","0","1.5","0.8","0","0","0","0.9","4.2","6",1964
"16","Dave Gambee","SF","26","PHI","5","0","29.8","4.8","12","0.4","0","0","0","4.8","12","0.4","0.4","4.2","5.4","0.778","0","0","5.8","1.6","0","0","0","4.6","13.8","2",1964
