"","Player","psc"
"162","Derrick Rose",0.315221710335029
"163","Rudy Tomjanovich",0.315152974609156
"164","Baron Davis",0.31188631088077
"165","Rod Strickland",0.31082790026758
"166","Mickey Johnson",0.310784918193511
"167","Bobby Jones*",0.308575072375745
"168","Isaiah Thomas",0.308231503691907
"169","Neil Johnston*",0.307699495679333
"170","Rasheed Wallace",0.307128759336189
"171","Tom Gugliotta",0.306193016140448
"172","Brook Lopez",0.303836111649852
"173","Latrell Sprewell",0.303617190247405
"174","Andre Miller",0.30349405832375
"175","Lamar Odom",0.303101475552925
"176","Richard Jefferson",0.301705854137039
"177","Deron Williams",0.300294664815645
"178","Steve Nash*",0.29999541790548
"179","Larry Kenon",0.299021493098747
"180","Kyle Lowry",0.298894195076701
"181","Spencer Haywood*",0.298234438259122
"182","Mike Mitchell",0.296800613662169
"183","Gerald Wallace",0.29633498697381
"184","Chauncey Billups",0.29606616113425
"185","Clifford Robinson",0.295406823113141
"186","Sidney Wicks",0.295312569493209
"187","Glen Rice",0.29508734316351
"188","Michael Finley",0.29443090623189
"189","Alvan Adams",0.292579474572405
"190","David West",0.291681128089689
"191","Purvis Short",0.291355027216182
"192","Jerome Kersey",0.291327425632245
"193","Hersey Hawkins",0.289232553460684
"194","Jeff Hornacek",0.289018925617515
"195","Kemba Walker",0.288640038738891
"196","Juwan Howard",0.288339240029073
"197","Antonio McDyess",0.287558268153467
"198","Dave Bing*",0.286823670411595
"199","Bailey Howell*",0.286725967291171
"200","Hassan Whiteside",0.286332738056097
"201","Willis Reed*",0.286002298766503
"202","Sleepy Floyd",0.285414544686454
"203","Reggie Lewis",0.285401433227491
"204","Jamaal Wilkes*",0.28493945150428
"205","Mookie Blaylock",0.283263412920387
"206","Terrell Brandon",0.282256448429146
"207","Ben Wallace",0.282215331361338
"208","Manu Gin<f3>bili",0.281172630359019
"209","Peja Stojakovic",0.280866873221019
"210","Derek Harper",0.279424655528655
"211","Dennis Johnson*",0.276642611573555
"212","Richie Guerin*",0.276554143380724
"213","Truck Robinson",0.274909705443355
"214","Dennis Rodman*",0.272846742422325
"215","Al Horford",0.272470814179041
"216","Michael Redd",0.271902867332807
"217","Kenny Anderson",0.271197626888927
"218","Rolando Blackman",0.269243838754106
"219","Pete Maravich*",0.269112848447784
"220","Kendall Gill",0.269056051653316
"221","Bill Russell*",0.268937249835765
"222","Jamal Mashburn",0.268908804870784
"223","Zydrunas Ilgauskas",0.268453754666929
"224","Otis Birdsong",0.266467671731439
"225","Jack Twyman*",0.265034505654674
"226","Paul Pressey",0.264552819972185
"227","Clark Kellogg",0.263894350519162
"228","Bradley Beal",0.263796032696078
"229","Charles Oakley",0.263339438856802
"230","Gail Goodrich*",0.262174532231742
"231","Paul Arizin*",0.261238998983488
"232","Eddie Jones",0.261227055861902
"233","Charles Smith",0.261076699733541
"234","Doc Rivers",0.260780891596935
"235","Draymond Green",0.260457960405985
"236","Randy Smith",0.260448298126847
"237","Kelly Tripucka",0.260439957951111
