"","Player","Tm","Yr","W","PTS","TRB","AST","PC1a","maxW","PC1b","PC1n"
"1301","Otis Birdsong","KCK",1981,7,15.5,2.6,3.4,55.8949863066631,12,4.65791552555526,0.289017166269128
"1302","Whitey Skoog","MNL",1953,9,5.8,2.1,1.2,41.8927808345946,9,4.65475342606607,0.288820962403083
"1303","Grant Hill*","PHO",2010,10,9.6,5.8,2.3,74.4193299054818,16,4.65120811909261,0.288600981046744
"1304","James Harden","OKC",2011,9,13,5.4,3.6,74.4189871763165,16,4.65118669851978,0.288599651930055
"1305","Doc Rivers","NYK",1993,9,10.2,2.6,5.7,69.7019922271976,15,4.64679948181318,0.288327431248208
"1306","Scott Williams","CHI",1992,15,4,4.3,0.3,69.687773111037,15,4.6458515407358,0.288268612825575
"1307","Anthony Davis","NOP",2018,5,30.1,13.4,1.7,74.333014569744,16,4.645813410609,0.288266246904352
"1308","Al Harrington","IND",2004,10,9.5,6.4,0.8,74.3006500517681,16,4.64379062823551,0.288140736077382
"1309","J.R. Smith","CLE",2017,13,8.1,2.3,0.7,74.275055846088,16,4.6421909903805,0.288041480778016
"1310","Bob McAdoo*","BUF",1976,4,28,14.2,3.2,55.7059754421119,12,4.642164620176,0.288039844543581
"1311","Tim Thomas","MIL",2001,10,11.3,4.5,1.6,69.6250324721733,15,4.64166883147822,0.288009081545902
"1312","George Lynch","PHI",2001,12,5.7,5.1,1.2,69.6119607522276,15,4.64079738348184,0.287955009412331
"1313","Tom Sanders*","BOS",1969,12,5.8,3.2,0.5,55.6494580922557,12,4.63745484102131,0.28774760931141
"1314","Bob Cousy*","BOS",1955,3,21.7,6.1,9.3,32.4584533224162,7,4.63692190320231,0.287714541262538
"1315","Rik Smits","IND",1999,9,11.8,5,0.7,69.5471806736263,15,4.63647871157509,0.287687041839778
"1316","Roy Hibbert","IND",2014,10,9.3,5.5,0.9,74.1761828385611,16,4.63601142741007,0.287658047508628
"1317","Andrei Kirilenko","UTA",2007,9,9.6,5.2,2.6,74.1239623801533,16,4.63274764875958,0.287455534592343
"1318","Phil Jackson*","NYK",1972,9,9.8,5.1,0.9,55.5923814348443,12,4.63269845290369,0.287452482058053
"1319","Jack Coleman","STL",1956,4,13.8,9.9,4,32.3969270812423,7,4.62813244017747,0.28716916733239
"1320","Adrian Dantley*","UTA",1984,5,32.2,7.5,4.2,69.4097542248058,15,4.62731694832038,0.287118567199271
"1321","Curtis Perry","MIL",1974,11,6.2,5.1,0.8,55.4217954463687,12,4.61848295386406,0.286570430155867
"1322","Ben Wallace","DET",2006,10,4.7,10.5,1.7,73.8469565407354,16,4.61543478379596,0.286381295451609
"1323","Patty Mills","SAS",2014,16,7.3,1.5,1.4,73.8166939280806,16,4.61354337050504,0.286263935893113
"1324","Dick Rosenthal","FTW",1955,6,7.5,4.4,2.4,32.2400831662606,7,4.60572616660866,0.285778889286776
"1325","Serge Ibaka","OKC",2011,9,9.8,7.3,0.2,73.6743447378109,16,4.60464654611318,0.28571190033978
"1326","Charlie Ward","NYK",1999,12,4.6,2.3,3.8,69.0485244738599,15,4.60323496492399,0.285624313694419
"1327","Ernie Vandeweghe","NYK",1951,8,7.2,4.7,2.4,41.4250459349296,9,4.60278288165885,0.28559626255792
"1328","Sasha Vujacic","LAL",2008,14,8.1,2.2,0.8,73.6262350464212,16,4.60163969040133,0.285525329133743
"1329","Thabo Sefolosha","OKC",2012,13,5.3,2.7,1.3,73.5893650486234,16,4.59933531553897,0.285382345885317
"1330","Al Bianchi","PHI",1965,6,9.5,1.5,2.7,36.7821796338031,8,4.59777245422539,0.285285372519088
"1331","Antonio McDyess","DET",2008,10,8.9,7.4,0.9,73.5329696767569,16,4.59581060479731,0.285163642496454
"1332","Marques Johnson","MIL",1983,5,22,8,4.2,55.0884495038967,12,4.59070412532473,0.28484679256247
"1333","David Robinson*","SAS",1993,5,23.1,12.6,4,68.8284274010657,15,4.58856182673771,0.284713865921031
"1334","Clifford Ray","GSW",1976,7,9.1,10,1.5,55.0511305505716,12,4.58759421254763,0.284653826809174
"1335","Josh Smith","HOU",2015,9,13.5,5.6,2.7,73.3831984281153,16,4.58644990175721,0.284582823919541
"1336","Hot Rod Hundley","MNL",1960,5,11.8,6.8,6.1,36.686600275233,8,4.58582503440412,0.284544051771207
"1337","Blake Griffin","LAC",2014,6,23.5,7.4,3.8,73.3497132502851,16,4.58435707814282,0.284452967131196
"1338","Dave DeBusschere*","NYK",1969,6,16.3,14.8,3.3,54.9649078068616,12,4.58040898390513,0.284207993386507
"1339","Tom Chambers","PHO",1993,13,7.3,2.7,0.5,68.6303656512531,15,4.57535771008354,0.283894568886222
"1340","Terry Cummings","MIL",1987,6,22.3,7.9,2.3,68.5839045462892,15,4.57226030308594,0.283702379099113
"1341","Mel Counts","LAL",1970,11,6.1,5.3,1.1,54.8339281700152,12,4.56949401416794,0.283530734727339
"1342","Todd MacCulloch","NJN",2002,11,6.2,5.2,0.7,68.514499505079,15,4.5676333003386,0.283415280027647
"1343","Corliss Williamson","DET",2004,16,5.7,2.2,0.7,73.0338318036149,16,4.56461448772593,0.28322796691258
"1344","Patrick Ewing*","NYK",1995,6,19,9.6,2.5,68.4590180159373,15,4.56393453439582,0.283185776756149
"1345","Dikembe Mutombo*","DEN",1994,6,13.3,12,1.8,68.4482290110995,15,4.56321526740664,0.283141147241967
"1346","B.J. Armstrong","CHI",1991,15,5.5,1.6,2.5,68.442918242271,15,4.5628612161514,0.283119178855048
"1347","Dan Majerle","PHO",1990,9,12.6,5.1,2.1,68.3886598613084,15,4.55924399075389,0.282894735060735
"1348","Trevor Ariza","HOU",2018,11,8.8,3.8,1.3,72.9064492678711,16,4.55665307924195,0.28273397261257
"1349","Kevin Durant","OKC",2013,5,30.8,9,6.3,72.854051295548,16,4.55337820597175,0.282530771290594
"1350","Tom Boerwinkle","CHI",1975,7,8.2,12.7,4.2,54.6194356685733,12,4.55161963904778,0.28242165466401
"1351","Lou Hudson","STL",1967,5,22.6,5.3,1.7,50.0519831229312,11,4.55018028390284,0.282332344683406
"1352","Tony Parker","SAS",2006,7,21.1,3.6,3.8,72.7433904837364,16,4.54646190523353,0.282101624469563
"1353","Jimmy Butler","PHI",2019,7,19.4,6.1,5.2,72.7345139434066,16,4.54590712146291,0.28206720090984
"1354","Larry Johnson","NYK",2000,9,11.3,5,1.6,68.1333014008776,15,4.54222009339184,0.281838425956922
"1355","Mel Counts","LAL",1973,9,9.1,6.1,1.6,54.5024817527446,12,4.54187347939539,0.281816919041544
"1356","Walt Frazier*","NYK",1974,5,22.5,7.9,4,54.4240545609406,12,4.53533788007838,0.281411394213087
"1357","Rudy LaRusso","LAL",1966,7,11.9,7.1,1.9,49.8658856523544,11,4.53326233203222,0.281282609349672
"1358","Charles Smith","NYK",1993,9,11.1,4,1.3,67.9057438384797,15,4.52704958923198,0.28089711731809
"1359","Brian Shaw","LAL",2001,15,4.4,3.4,2.7,67.8765377773145,15,4.52510251848763,0.280776304292184
"1360","Bob Lanier*","MIL",1984,8,12.7,7.3,3.4,67.8214627912287,15,4.52143085274858,0.280548482550556
"1361","Maurice Cheeks*","PHI",1979,5,18.8,3.9,7,54.2550429092373,12,4.52125357576977,0.280537482761105
"1362","Jim Loscutoff","BOS",1964,8,4,2,0,36.095755311269,8,4.51196941390863,0.279961413457664
"1363","Frank Ramsey*","BOS",1964,8,6.2,2.1,1,36.0419600538321,8,4.50524500672901,0.279544173364488
"1364","Billy Kenville","SYR",1955,7,6.4,2.8,1,31.5269107755971,7,4.50384439651387,0.279457267452775
"1365","World B. Free","PHI",1977,10,11.9,2.1,1.9,63.0511030165434,14,4.50365021546739,0.279445218789486
"1366","Malcolm Brogdon","MIL",2019,10,13,4.9,3.4,72.0460825258515,16,4.50288015786572,0.27939743778859
"1367","Ray Felix","LAL",1962,7,6.5,5.9,0.5,35.9975816781271,8,4.49969770976589,0.279199971319616
"1368","Jon McGlocklin","MIL",1974,11,8.4,1.1,3.1,53.9918375157828,12,4.4993197929819,0.279176522109901
"1369","A.C. Green","LAL",1991,12,6.5,5.4,0.5,67.2888910219333,15,4.48592606812889,0.278345460150626
"1370","Al Attles*","SFW",1964,5,12.2,3.1,2.5,35.8829512293449,8,4.48536890366811,0.278310888872397
"1371","Eddie Jones","LAL",1998,7,17,3.9,2.5,67.265345290062,15,4.4843563526708,0.278248061494283
"1372","Shaun Livingston","GSW",2015,16,5,2.4,1.8,71.7319589577006,16,4.48324743485629,0.278179254689476
"1373","Joel Anthony","MIA",2011,14,2.8,4.6,0.5,71.7258638863305,16,4.48286649289565,0.278155617771767
"1374","Rick Robey","BOS",1981,12,5.1,3.5,0.7,53.7920593444515,12,4.48267161203762,0.278143525686146
"1375","Al Ferrari","STL",1956,4,14.8,4.1,3,31.3650911298926,7,4.48072730427037,0.278022884099118
"1376","Sidney Moncrief*","MIL",1986,7,16.9,4.6,4.9,67.0398655285543,15,4.46932436857029,0.277315347832068
"1377","Gar Heard","PHO",1979,9,5.5,7.1,0.9,53.6269828151958,12,4.46891523459965,0.277289961639431
"1378","Gene Banks","SAS",1983,6,15.9,6.9,4.5,53.6120073395579,12,4.46766727829649,0.277212527690191
"1379","Alonzo Mourning*","MIA",2006,16,3.8,2.9,0.1,71.4536521360058,16,4.46585325850037,0.277099970290179
"1380","Larry Costello","SYR",1961,4,16.4,4.4,6.5,35.7266142432918,8,4.46582678041148,0.277098327361669
"1381","Jamaal Tinsley","IND",2004,10,8.1,2.9,5,71.435026112323,16,4.46468913202019,0.277027737864616
"1382","George Gervin*","SAS",1982,4,29.4,7.3,4.6,53.5619535663019,12,4.46349613052515,0.276953713784626
"1383","James Edwards","DET",1988,14,6.3,3.1,0.5,66.9252927038329,15,4.46168618025553,0.276841408893061
"1384","Wali Jones","PHI",1968,7,14.1,2.4,3,53.5364507578768,12,4.46137089648973,0.276821845974829
"1385","Quentin Richardson","PHO",2005,9,11.9,5.1,1.7,71.3566311571842,16,4.45978944732401,0.276723719258282
"1386","Steve Mix","PHI",1980,12,6.6,1.8,0.8,53.4893136475419,12,4.45744280396182,0.276578113308354
"1387","Rodney Rogers","NJN",2003,14,6.7,2.8,1.4,71.2544483115401,16,4.45340301947125,0.276327450311269
"1388","Jamal Murray","DEN",2019,7,21.3,4.4,4.7,71.2242826630639,16,4.45151766644149,0.276210466783533
"1389","Bob Houbregs*","FTW",1955,6,7,5.6,1.7,31.1429521770144,7,4.44899316814492,0.276053825182816
"1390","Norman Powell","TOR",2019,16,6.5,2.2,1.1,71.1201956845865,16,4.44501223028666,0.275806813537247
"1391","K.C. Jones*","BOS",1960,8,5.5,3.5,1.1,35.5565602566239,8,4.44457003207798,0.275779375754724
"1392","Sidney Moncrief*","MIL",1983,5,18.9,6.7,3.7,53.299536151957,12,4.44162801266309,0.275596827550546
"1393","Ian Clark","GSW",2017,16,6.8,1.6,0.7,71.0486668821244,16,4.44054168013277,0.275529422131145
"1394","Caldwell Jones","PHI",1977,10,4.8,7.9,1.1,62.1518894689578,14,4.43942067635413,0.275459865409108
"1395","Peja Stojakovic","DAL",2011,16,7.1,1.7,0.4,70.963297064573,16,4.43520606653581,0.275198354744104
"1396","Yao Ming*","HOU",2009,7,17.1,10.9,1,70.9596739628732,16,4.43497962267958,0.275184304218437
"1397","David West","GSW",2017,16,4.5,2.7,2.1,70.9406130773536,16,4.4337883173346,0.275110385382194
"1398","Anderson Varejão","CLE",2007,12,6,6,0.6,70.9380382846778,16,4.43362739279236,0.275100400238641
"1399","Shandon Anderson","UTA",1998,13,6.7,3.2,1,66.4878353567467,15,4.43252235711644,0.275031834315122
"1400","Phil Smith","GSW",1975,12,6.4,1.8,1.9,53.111400183234,12,4.4259500152695,0.274624029663893
"1401","Brendan Haywood","DAL",2011,16,3.1,4.1,0.2,70.7988030785059,16,4.42492519240662,0.274560440833625
"1402","K.C. Jones*","BOS",1963,8,4.5,2.8,2.8,35.3931492791249,8,4.42414365989062,0.274511947830288
"1403","Marques Johnson","MIL",1978,5,24,12.4,3.4,61.9280406952321,14,4.42343147823087,0.274467757950922
"1404","Zelmo Beaty*","ATL",1969,5,22.5,12.9,2.3,53.0730831806434,12,4.42275693172029,0.274425903280108
"1405","Rick Mahorn","DET",1988,14,3.3,3.9,0.6,66.2784456148073,15,4.41856304098715,0.274165678205462
"1406","Speedy Claxton","SAS",2003,16,5.2,1.9,1.9,70.69268583348,16,4.4182928645925,0.274148914136739
"1407","Mario Elie","HOU",1994,15,5.8,1.7,1.7,66.2437440633507,15,4.41624960422338,0.274022132678683
"1408","Vince Carter","NJN",2007,6,22.3,6.8,5.3,70.6103020232464,16,4.4131438764529,0.273829426599214
"1409","Ray Williams","BOS",1985,13,6.3,1.9,3.2,66.1604741672804,15,4.4106982778187,0.273677680612578
"1410","Enes Kanter","OKC",2016,11,9.4,6.2,0.3,70.5443690462687,16,4.4090230653918,0.27357373601636
"1411","Eddie Johnson","PHO",1989,7,17.8,7.3,2.1,66.1342336504246,15,4.40894891002831,0.273569134779412
"1412","Tony Allen","BOS",2010,15,5.1,1.7,0.7,70.5238471947177,16,4.40774044966986,0.273494151498493
"1413","Samaki Walker","LAL",2002,15,3.3,4.1,0.2,66.08088055121,15,4.40539203674733,0.273348435749812
"1414","Kurt Rambis","LAL",1983,8,7.5,6,1.3,52.8183592438133,12,4.40152993698444,0.273108797842428
"1415","Bill Cartwright","CHI",1990,10,8.1,4.7,1,66.0218637747364,15,4.40145758498243,0.273104308501545
"1416","Harry Gallatin*","NYK",1953,6,10.5,10.9,1.4,39.6122175799156,9,4.40135750887951,0.273098098918843
"1417","Raef LaFrentz","DAL",2003,10,8,4.4,0.3,70.4147126642301,16,4.40091954151438,0.273070923654265
"1418","Chris Mullin*","IND",1998,10,8.9,3.6,1.4,66.0099073844601,15,4.40066049229734,0.273054850011404
"1419","Win Wilfong","STL",1958,8,5.5,3.7,2.3,35.2046390714117,8,4.40057988392646,0.273049848374341
"1420","Keith Erickson","LAL",1973,9,8.6,3.5,1.8,52.7463236227233,12,4.39552696856028,0.272736322018503
"1421","Flynn Robinson","LAL",1972,12,6.4,1.9,0.7,52.6112156672573,12,4.38426797227144,0.272037716991301
"1422","Spencer Haywood*","LAL",1980,12,5.7,2.4,0.4,52.6092149032502,12,4.38410124193752,0.272027371606466
"1423","Anderson Varejão","CLE",2009,10,6.9,6.4,0.6,70.1420924407366,16,4.38388077754604,0.272013692098252
"1424","Ray Allen*","SEA",2005,6,26.5,4.3,3.9,70.0710663945904,16,4.3794416496619,0.271738250400192
"1425","Bismack Biyombo","TOR",2016,10,6.2,9.4,0.4,69.9894585196763,16,4.37434115747977,0.271421771969235
"1426","Si Green","STL",1961,5,11.4,5.9,4,34.9929982317731,8,4.37412477897164,0.271408345984389
"1427","Bill Bridges","STL",1963,6,9.3,7.8,0.8,34.9653618720631,8,4.37067023400788,0.27119399628425
"1428","Chucky Brown","HOU",1995,15,4.5,3.1,0.3,65.5568970379379,15,4.3704598025292,0.271180939304292
"1429","Hedo Türkoglu","SAC",2002,10,8.6,5.2,1.4,65.5498122278851,15,4.36998748185901,0.271151632465016
"1430","Michael Cooper","LAL",1989,11,7.7,2.7,4.7,65.4909076175534,15,4.36606050783689,0.270907969200267
"1431","M.L. Carr","BOS",1981,12,6,1.5,0.8,52.3603402519385,12,4.36336168766154,0.270740511169938
"1432","Larry Foust","STL",1960,7,6.5,5.7,0.9,34.8991686809737,8,4.36239608512171,0.270680596878175
"1433","Jason Kidd*","NJN",2004,7,12.6,6.6,9,69.7921145188523,16,4.36200715742827,0.270656464456875
"1434","Dick Van Arsdale","PHO",1976,10,8.5,1.2,2,52.3228729680441,12,4.36023941400367,0.270546778441217
"1435","Jo Jo White*","BOS",1972,5,23.5,5.4,5.3,52.3215480100192,12,4.36012900083494,0.270539927457988
"1436","Howard Eisley","UTA",1998,13,5.6,2,4.1,65.3253813755503,15,4.35502542503668,0.270223257692949
"1437","Udonis Haslem","MIA",2011,14,5.3,4.5,0.8,69.6619475804868,16,4.35387172378042,0.270151672138
"1438","Gene Conley","BOS",1959,8,4.9,6.8,0.6,34.8084837917453,8,4.35106047396816,0.269977238005401
"1439","Orlando Woolridge","LAL",1989,11,8.1,4.7,1.1,65.2650564135797,15,4.35100376090531,0.269973719038897
"1440","Craig Ehlo","CLE",1992,9,9.6,4.5,4.5,65.2577653835267,15,4.35051769223512,0.269943559155382
"1441","Joel Anthony","MIA",2012,16,3.2,3.2,0.1,69.607101332864,16,4.350443833304,0.26993897631165
"1442","Manu Ginóbili","SAS",2006,7,18.4,4.5,3,69.6042516273217,16,4.3502657267076,0.269927925045584
"1443","Thurl Bailey","UTA",1988,6,23.2,5.7,1.6,65.2301385514509,15,4.34867590343006,0.26982927872707
"1444","Brian Grant","POR",1999,7,13.2,9.2,1.1,65.1981173899516,15,4.34654115933011,0.269696820831023
"1445","Damon Stoudamire","POR",2000,10,8.9,2.6,3.6,65.1352582769448,15,4.34235055179632,0.269436799474321
"1446","Rick Barry*","GSW",1977,5,28.4,5.9,4.7,60.7921350453215,14,4.34229536038011,0.269433374923869
"1447","Lucius Allen","MIL",1972,6,17.9,3.5,3.8,52.1052376004873,12,4.34210313337394,0.269421447506058
"1448","George Kaftan","NYK",1952,8,6.2,2.3,1.7,39.076271439734,9,4.34180793774822,0.269403131028918
"1449","Walt Hazzard","LAL",1966,7,11.9,2.9,3.1,47.7408312956449,11,4.34007557233135,0.269295640169332
"1450","Vince Boryla","NYK",1953,6,10.6,3.2,1.8,39.0556522104836,9,4.33951691227596,0.269260976091541
"1451","Reggie Jackson","OKC",2014,10,11.1,3.8,2.4,69.3606370543088,16,4.3350398158943,0.26898317850113
"1452","Chuck Share","STL",1956,4,12.9,9.1,1.6,30.3401959782122,7,4.33431371117318,0.268938124715211
"1453","Dick McGuire*","NYK",1951,8,5.3,5.9,5.6,39.0079761544761,9,4.33421957271957,0.268932283555373
"1454","Marc Gasol","MEM",2015,6,19.7,10.3,4.5,69.2938512029076,16,4.33086570018172,0.268724180438947
"1455","Charlie Ward","NYK",2000,9,9.4,4.3,4.1,64.9352841209675,15,4.32901894139783,0.268609591630375
"1456","Francisco Elson","SAS",2007,16,3.3,3.1,0.1,69.219787912059,16,4.32623674450369,0.268436960190853
"1457","Craig Hodges","CHI",1989,9,11.2,1.5,3.6,64.8646632669892,15,4.32431088446594,0.268317463259729
"1458","David Robinson*","SAS",1996,5,23.6,10.1,2.4,64.8360770540611,15,4.32240513693741,0.268199214281769
"1459","Derek Fisher","LAL",2004,13,7.5,2.5,2.2,69.1027977347134,16,4.31892485841959,0.267983267850467
"1460","Pat Riley*","LAL",1972,12,5.2,1.9,0.9,51.7986943187609,12,4.31655785989674,0.26783639889119
"1461","Bobby Jackson","SAC",2002,10,10.9,3.3,2,64.7387131043013,15,4.31591420695342,0.267796461123166
"1462","Bill Bradley*","NYK",1969,6,16,7.3,4,51.7343338218636,12,4.3111944851553,0.267503608963828
"1463","Bradley Beal","WAS",2015,6,23.4,5.5,4.6,68.8288888544726,16,4.30180555340454,0.266921038834762
"1464","Hal Greer*","SYR",1959,5,11.6,5.2,2.2,34.3981001024653,8,4.29976251280817,0.266794271013299
"1465","Gerald Henderson","BOS",1981,12,5.8,1.6,1.6,51.5879519004709,12,4.2989959917059,0.266746709447262
"1466","Andre Roberson","OKC",2016,11,5.6,5.6,0.8,68.7655756522905,16,4.29784847826816,0.266675507837827
"1467","Ed Conlin","SYR",1956,5,10.5,5.9,1.1,30.0807234882043,7,4.29724621260061,0.266638138092579
"1468","Stephen Curry","GSW",2013,6,23.4,3.8,8.1,68.7349156504428,16,4.29593222815268,0.266556607188985
"1469","DeMarre Carroll","TOR",2016,10,8.9,4.1,0.9,68.7152206752534,16,4.29470129220334,0.266480229328978
"1470","Cedric Maxwell","BOS",1980,5,18.2,10,2.1,51.5306805830781,12,4.29422338192317,0.266450575662193
"1471","Peja Stojakovic","SAC",2004,7,17.5,7,1.5,68.6183532096957,16,4.28864707560598,0.266104573627334
"1472","Jimmy Butler","CHI",2015,6,22.9,5.6,3.2,68.6177177793555,16,4.28860736120972,0.266102109404399
"1473","Luke Walton","LAL",2008,14,6,2.6,2,68.5769246149891,16,4.28605778843682,0.265943911967374
"1474","DeMarre Carroll","ATL",2015,8,14.6,6.1,2,68.5435022435811,16,4.28396889022382,0.265814298744714
"1475","Vince Carter","NJN",2006,5,29.6,7,5.3,68.4510468502698,16,4.27819042814186,0.265455753226412
"1476","Isiah Thomas*","DET",1991,7,13.5,4.2,8.5,64.1631483596524,15,4.27754322397683,0.265415595110029
"1477","Horace Grant","ORL",1996,7,15,10.4,1.4,64.1282547361362,15,4.27521698240908,0.26527125506301
"1478","Jim Loscutoff","BOS",1962,8,4.7,4.2,0.4,34.1838930334365,8,4.27298662917956,0.265132864753732
"1479","Maurice Cheeks*","PHI",1986,6,20.8,4.7,7.1,64.0671548086904,15,4.27114365391269,0.265018510707118
"1480","Nick Weatherspoon","WSB",1975,8,10.3,4.8,0.9,51.2330834815155,12,4.26942362345962,0.264911785214842
"1481","Bob Lanier*","DET",1976,4,26.1,12.7,3.3,51.199739112987,12,4.26664492608225,0.264739370915458
"1482","Tyrone Corbin","UTA",1992,9,11.3,5.5,1.1,63.9492744907225,15,4.26328496604816,0.264530890078375
"1483","Isiah Thomas*","DET",1985,5,24.3,5.2,11.2,63.9410476202922,15,4.26273650801948,0.264496859022123
"1484","John Tresvant","LAL",1970,11,5.9,3.5,1.5,51.1481440298016,12,4.2623453358168,0.264472587332154
"1485","Willie Anderson","SAS",1990,6,20.5,5.4,5.2,63.9312653117671,15,4.26208435411781,0.264456393781481
"1486","Dolph Schayes*","SYR",1950,6,17.1,0,2.5,46.8754569864335,11,4.26140518058487,0.264414252010378
"1487","Devean George","LAL",2004,13,5.5,2.3,0.5,68.1696583350197,16,4.26060364593873,0.264364517902745
"1488","Kyle Macy","PHO",1984,9,10.4,3.2,5.8,63.8914907016499,15,4.25943271344333,0.264291863173423
"1489","Wally Szczerbiak","MIN",2004,10,11.8,3.3,1.7,68.1461769822408,16,4.25913606139005,0.264273456326984
"1490","Karl Malone*","UTA",1999,5,21.8,11.3,4.7,63.837297612621,15,4.2558198408414,0.264067689464009
"1491","Jalen Rose","IND",1999,9,12.2,2.4,2.5,63.8195104023497,15,4.25463402682331,0.263994111356946
"1492","Will Perdue","CHI",1991,15,4.1,3.8,0.2,63.8119227332553,15,4.25412818221702,0.26396272440416
"1493","Frank Selvy","LAL",1963,6,7.9,3.5,2.8,34.0243898219088,8,4.2530487277386,0.263895745758291
"1494","Don Carlson","MNL",1950,11,5.4,0,1.1,46.7569123062035,11,4.25062839147304,0.263745567266421
"1495","Red Rocha","SYR",1956,5,8.5,6.5,1.9,29.7453475748759,7,4.24933536783942,0.26366533695214
"1496","Luke Walton","LAL",2009,16,3.8,2.5,2.1,67.9327633202596,16,4.24579770751622,0.263445830059792
"1497","Greg Anthony","NYK",1994,14,4.9,1.1,2.4,63.6551946513643,15,4.24367964342429,0.263314407134995
"1498","Kendrick Perkins","BOS",2009,7,11.9,11.6,1.4,67.8955104424439,16,4.24346940265275,0.263301361988149
"1499","Michael Jordan*","CHI",1988,4,36.3,7.1,4.7,63.6277060846812,15,4.24184707231208,0.263200698651676
"1500","Johnny Egan","DET",1962,5,13.6,1.8,3.2,33.9301704671667,8,4.24127130839583,0.263164973303159
"1501","Gary Neal","SAS",2013,15,6.8,2.1,0.7,67.8119989481241,16,4.23824993425775,0.262977501249011
"1502","Luol Deng","CHI",2007,6,22.2,8.7,2.4,67.7444959488178,16,4.23403099680112,0.262715722060081
"1503","Herm Gilliam","POR",1977,14,6.4,1.1,1.8,59.2533295294692,14,4.23238068067637,0.262613322244712
"1504","Enes Kanter","POR",2019,8,11.4,9.7,1.2,67.7104576988063,16,4.23190360617539,0.262583720436861
"1505","Chris Paul","LAC",2014,6,19.8,4.2,10.3,67.6690774019465,16,4.22931733762166,0.262423246077781
"1506","Antonio Davis","TOR",2001,6,16.4,11.1,1.9,63.4389965673044,15,4.22926643782029,0.262420087816049
"1507","Bob Harrison","MNL",1953,9,5,1.8,1.2,38.0615394393516,9,4.22905993770574,0.262407274771756
"1508","Nate Thurmond*","SFW",1964,5,10,12.3,0.8,33.8234779073633,8,4.22793473842041,0.262337457724378
"1509","Reggie Miller*","IND",2004,10,10.1,2.3,2.8,67.6372459916471,16,4.22732787447795,0.26229980266258
"1510","Bryon Russell","UTA",1996,10,9.6,4.2,1.2,63.4076702749667,15,4.22717801833112,0.262290504297535
"1511","Tristan Thompson","CLE",2018,12,6.2,5.9,0.6,67.6197567396896,16,4.2262347962306,0.262231978680839
"1512","Larry Foust","FTW",1953,4,19.1,13.9,0.8,38.035594032223,9,4.22617711469144,0.262228399621729
"1513","Ben Simmons","PHI",2019,7,13.9,7.1,6,67.5705662439023,16,4.22316039024389,0.262041216074397
"1514","Matt Guokas","PHI",1967,11,4.3,2,1.5,46.4062008161446,11,4.21874552874042,0.261767280071435
"1515","Mitch Kupchak","LAL",1985,15,4.7,3,0.3,63.2740055782361,15,4.21826703854908,0.261737590421971
"1516","Bill Sharman*","BOS",1955,3,20.7,5.4,5.4,29.5195000130355,7,4.21707143043364,0.261663404604818
"1517","Wayne Cooper","DEN",1985,8,10.9,6.2,1.3,63.2484168816946,15,4.21656112544631,0.261631740891605
"1518","Jack Sikma*","MIL",1987,6,16.2,10.8,1.9,63.2304265004808,15,4.21536176669872,0.261557322352955
"1519","Leon Powe","BOS",2008,16,5,2.7,0.2,67.4301882700941,16,4.21438676688088,0.261496824973189
"1520","Rick Fox","LAL",2000,15,4.3,1.7,1.2,63.1725092459354,15,4.21150061639569,0.261317743358231
"1521","Dick Barnett","NYK",1969,6,16.7,3.5,2.7,50.5224920858218,12,4.21020767381849,0.261237518073388
"1522","Alonzo Mourning*","MIA",2005,11,6.1,4.8,0.3,67.279442041733,16,4.20496512760831,0.260912225387982
"1523","Mike Miller","MIA",2012,16,5.2,2.5,0.7,67.2634030231815,16,4.20396268894884,0.260850025466337
"1524","Kawhi Leonard","SAS",2016,6,22.5,6.3,2.8,67.2618401994388,16,4.20386501246492,0.260843964776649
"1525","Sam Cassell","LAC",2006,7,18,4,5.8,67.2444870512584,16,4.20278044070365,0.260776668610513
"1526","Jim Holstein","MNL",1953,9,4.3,2.5,0.9,37.8128785840067,9,4.20143095377852,0.260692934827691
"1527","Tobias Harris","PHI",2019,7,15.5,9.1,4,67.0468650735601,16,4.1904290670975,0.260010283093301
"1528","John Havlicek*","BOS",1967,4,27.4,8.1,3.1,46.0767647433545,11,4.18879679485041,0.259909002875391
"1529","Nate McMillan","SEA",1996,13,4.4,3.7,2.7,62.7796867480955,15,4.18531244987303,0.259692804125942
"1530","Wilt Chamberlain*","LAL",1971,5,18.3,20.2,4.4,50.2187488580193,12,4.18489573816828,0.259666947745465
"1531","Shaun Livingston","GSW",2017,16,5.2,2.1,1.4,66.9146942492603,16,4.18216839057877,0.259497719628848
"1532","Chico Vaughn","STL",1964,6,8.8,2.1,1.8,33.4427636578408,8,4.18034545723009,0.259384609155323
"1533","Chris Andersen","MIA",2014,13,5.1,5.9,0.3,66.8574936088305,16,4.17859335055191,0.259275893377986
"1534","Tom Gola*","PHW",1962,6,6.3,8.2,2.7,33.3965291605739,8,4.17456614507174,0.259026010890965
"1535","Rasheed Wallace","POR",1999,7,14.8,4.8,1.5,62.5873987855181,15,4.17249325236787,0.258897390787839
"1536","Greg Foster","UTA",1998,13,4.1,3.4,0.3,62.5335987496742,15,4.16890658331161,0.258674842971911
"1537","George Hill","MIL",2019,10,11.5,3.5,2.8,66.6476479167963,16,4.16547799479977,0.258462103833436
