"","Player","Tm","Yr","W","PTS","TRB","AST","PC1a","maxW","PC1b","PC1n"
"392","Patrick Ewing*","NYK",1993,9,25.5,10.9,2.4,122.504898242992,15,8.16699321619948,0.506750546104803
"393","Toni Kukoc","CHI",1998,15,13.1,3.9,2.9,122.490723860844,15,8.16604825738959,0.50669191272771
"394","Mario Chalmers","MIA",2012,16,11.3,3.7,3.9,130.629846873813,16,8.16436542961333,0.506587495609678
"395","Dwyane Wade","MIA",2014,13,17.8,3.9,3.9,130.534225805819,16,8.1583891128637,0.506216673485011
"396","Tayshaun Prince","DET",2004,16,9.9,6,2.3,130.403624733995,16,8.15022654587467,0.505710197580133
"397","Manu Ginóbili","SAS",2014,16,14.3,3.3,4.1,130.386163564932,16,8.14913522280824,0.505642482504922
"398","Carmelo Anthony","DEN",2009,10,27.2,5.8,4.1,130.051903130062,16,8.12824394562885,0.504346207873704
"399","Bailey Howell*","BOS",1969,12,15,6.6,1.1,97.3699321684081,12,8.11416101403401,0.503472381596698
"400","Earl Monroe*","NYK",1973,12,16.1,3.2,3.2,97.2819470281154,12,8.10682891900961,0.503017435319734
"401","Jim Pollard*","MNL",1953,9,14.3,7.2,4.1,72.9433587864674,9,8.10481764294083,0.502892638442934
"402","Magic Johnson*","LAL",1983,8,17.9,8.5,12.8,97.1954642610443,12,8.0996220217537,0.502570257389806
"403","Billy Paultz","HOU",1981,12,12.1,7,1.7,97.0916241710301,12,8.09096868091917,0.502033329651844
"404","Paul Pierce","BOS",2002,9,24.6,8.6,4.1,121.281653916126,15,8.0854435944084,0.501690505734584
"405","A.C. Green","LAL",1987,15,11.5,7.9,0.6,121.264142678581,15,8.08427617857205,0.501618069209054
"406","Richard Jefferson","NJN",2003,14,14.1,6.4,2.4,129.034084738561,16,8.06463029616008,0.500399069587354
"407","Michael Cooper","LAL",1982,12,11.9,4.4,4.4,96.6912306733169,12,8.05760255610974,0.499963008112328
"408","Marc Gasol","TOR",2019,16,9.4,6.4,3,128.868388222548,16,8.05427426390922,0.499756492220179
"409","Paul Westphal*","PHO",1976,10,21.1,2.5,5.1,96.5248005316739,12,8.0437333776395,0.499102444918779
"410","Cedric Maxwell","BOS",1984,15,11.9,5.2,2.4,120.642552137492,15,8.04283680916616,0.499046814094624
"411","Jerry West*","LAL",1961,6,22.9,8.7,5.3,64.3115617843204,8,8.03894522304005,0.498805346599499
"412","Metta World Peace","LAL",2010,16,11.2,4,2.1,128.595239378278,16,8.03720246114238,0.498697210652769
"413","Hakeem Olajuwon*","HOU",1997,9,23.1,10.9,3.4,120.526528560054,15,8.03510190400363,0.498566874010016
"414","Kevin Grevey","WSB",1978,14,15.5,2.9,2,112.394348885503,14,8.02816777753591,0.498136621127314
"415","Paul George","IND",2013,11,19.2,7.4,5.1,128.400784822957,16,8.02504905143484,0.497943108519548
"416","Tyson Chandler","DAL",2011,16,8,9.2,0.4,128.292205937912,16,8.0182628711195,0.497522035489397
"417","Larry Bird*","BOS",1988,9,24.5,8.8,6.8,120.198700192084,15,8.0132466794723,0.497210787789137
"418","Tom Gola*","PHW",1956,7,12.3,10.1,5.8,55.9988653894638,7,7.99983791278055,0.496378792504733
"419","Gar Heard","PHO",1976,10,13.9,10.4,1.7,95.9785805462502,12,7.99821504552085,0.496278095853183
"420","Jack George","PHW",1956,7,13.6,4.7,5.2,55.9492338068451,7,7.99274768669216,0.495938853858137
"421","Bobby Jones*","PHI",1980,12,12.9,4.8,1.7,95.88742110276,12,7.99061842523,0.495806736152124
"422","Glen Rice","LAL",2000,15,12.4,4,2.1,119.83539828139,15,7.98902655209269,0.495707962642668
"423","Rodney McCray","HOU",1986,13,13,5.9,6.3,119.607862165877,15,7.97385747772516,0.494766742720457
"424","Hedo Türkoglu","ORL",2009,13,15.8,4.5,4.8,127.544585288309,16,7.97153658051932,0.494622734283646
"425","Rajon Rondo","BOS",2012,11,17.3,6.7,11.9,127.40735973369,16,7.9629599833556,0.494090568383494
"426","Bob Pettit*","STL",1961,5,28.6,17.6,3.2,63.653612848573,8,7.95670160607162,0.4937022447958
"427","Scottie Pippen*","CHI",1990,10,19.3,7.2,5.5,119.335506504151,15,7.95570043361004,0.493640123439969
"428","John Havlicek*","BOS",1964,8,15.7,4.3,3.2,63.4760843478799,8,7.93451054348498,0.492325320291673
"429","Happy Hairston","LAL",1972,12,13.5,13.1,2.1,95.1593122091853,12,7.92994268409877,0.492041890983332
"430","Derek Fisher","LAL",2001,15,13.4,3.8,3,118.741139231227,15,7.91607594874847,0.491181479381971
"431","Clyde Lovellette*","STL",1960,7,17.6,10.8,2.8,63.3274764679953,8,7.91593455849941,0.491172706314083
"432","Bob Davies*","ROC",1951,9,15.9,3.1,5.4,71.2381551442928,9,7.91535057158809,0.491136470740182
"433","Bill Sharman*","BOS",1960,8,16.8,3.5,1.5,63.3141637685051,8,7.91427047106313,0.491069452008027
"434","Elgin Baylor*","LAL",1969,11,15.4,9.2,4.1,94.7195803395381,12,7.89329836162818,0.489768161848014
"435","Vern Mikkelsen*","MNL",1952,9,13.3,8.5,1.5,71.0159244544094,9,7.89065827271216,0.489604348010468
"436","Michael Cooper","LAL",1987,15,13,3.3,5,118.298597754348,15,7.8865731836232,0.489350873926198
"437","Kevin Garnett","BOS",2012,11,19.2,10.3,1.5,126.177215977325,16,7.88607599858281,0.489320024287407
"438","Billy Cunningham*","PHI",1967,11,15,6.2,2.2,86.69571020563,11,7.88142820051182,0.489031634895092
