"","PER","pred.PER"
"1",21.9,21.3149162242877
"2",23.6,22.2114801193649
"3",10.4,10.613205034982
"4",9.5,10.4625248486331
"5",12.9,8.7145323998017
"6",11.1,12.1666205247561
"7",15.2,14.6819285202725
"8",7.2,8.57677083167672
"9",12.3,11.5041056786094
"10",8.8,11.1613150099258
"11",12.3,12.7529685085563
"12",15,14.7714432839001
"13",19.9,19.3974530262774
"14",13.6,11.5238889838576
"15",14.6,14.5186412053527
"16",10.7,11.2342487583123
"17",13.9,15.0226700576502
"18",14.1,13.0356677434013
"19",16.3,15.0228592509397
"20",12.9,13.1030724145551
"21",7.9,7.7816808607962
"22",14,14.2662266177437
"23",9.7,10.8032532028914
"24",13.7,13.2759223854201
"25",16.1,16.1593019693877
"26",11.5,9.79102923980865
"27",12.5,12.5853919321556
"28",11,12.2378793825035
"29",17.4,17.8597028160348
"30",13.9,14.2243351564664
"31",11.5,12.1825238242546
"32",13.3,13.4253386726311
"33",19,19.5470526665807
"34",22.7,23.0015753478693
"35",9.6,9.99969272023345
"36",9,9.40599111998955
"37",17.9,18.6023492689397
"38",10.4,11.114777182475
"39",14.4,14.5319846929324
"40",12.8,12.4696871095348
"41",10.5,10.8598097864786
"42",15.6,15.1667841431796
"43",9.5,12.8200918269449
"44",18,18.2765956590994
"45",16.8,16.7036805503245
"46",8.8,11.1015692907904
"47",19.4,18.7744579829653
"48",12.4,11.7592847895679
"49",10.9,11.2124574917263
"50",9.7,10.6711936314629
"51",7.2,8.99234226850824
"52",22.3,21.415984968837
"53",7.6,8.76856078629955
"54",7.7,8.53329463905039
"55",9.3,10.2442477948592
"56",-9.9,-6.84011152072376
"57",10.5,9.74674067742672
"58",16.5,16.5622679637219
"59",7.5,8.63079394584516
"60",16.1,13.9729115695636
"61",15.9,16.1118244265109
"62",16.5,15.4921385418849
"63",10.6,9.0093970863175
"64",14.7,13.6569294678483
"65",13.9,13.2218759163922
"66",13,12.6041690150899
"67",7.9,7.39245070172375
"68",28.2,27.5090064046316
"69",13.4,11.8501397392614
"70",15.7,16.5474753268708
"71",11.5,12.3621591219909
"72",13,12.2636012824401
"73",13.1,13.7635430645737
"74",8.9,5.89561014361367
"75",20.7,21.529470389551
"76",10.8,11.3169391148176
"77",21,20.6563636982702
"78",22.6,21.0280527574793
"79",13.8,13.5020472105346
"80",11,10.1539589727402
"81",12.1,13.0484575016565
"82",16.8,14.9390067249471
"83",14.6,13.8801761241227
"84",13.5,13.0221990896277
"85",8.9,8.68699438807331
"86",15.2,13.4865998107733
"87",12.3,13.6126095482762
"88",5.6,6.81813156510078
"89",21.3,20.6203974318461
"90",12,11.6119420214641
"91",8.3,9.17182983158931
"92",20.5,20.1025635823955
"93",18.2,19.3965508830527
"94",8.9,10.8500643176746
"95",12.7,13.9216688740867
"96",9.6,10.964818794581
"97",2.2,4.73161103043507
"98",17.5,17.6611768390229
"99",-7.2,-5.07637438383367
"100",8.6,6.62122644869108
"101",10.4,10.9971105443908
"102",13.8,14.7921396121915
"103",15.8,16.8537127634995
"104",15.1,15.1635787950919
"105",17.9,19.3064104038905
"106",8,8.7640659636991
"107",10.9,12.561546960016
"108",11.5,11.0556703379148
"109",8,8.92803543852077
"110",13.6,15.513064093479
"111",9.4,8.75995668694853
"112",1.1,-1.43353764874927
"113",8.9,8.34732918865046
"114",18.9,19.7253963150978
"115",12.3,12.1906800604073
"116",20,20.7759605354336
"117",7.7,7.89559366261747
"118",19.8,20.7322046419616
"119",15.2,16.457341336754
"120",12.5,14.1707331968914
"121",18.3,19.8276554921872
"122",12.1,13.6621571932397
"123",14.9,16.3411108307058
"124",22.6,24.1886068963304
"125",7.2,8.66817099041328
"126",16.9,19.3129072732149
"127",10.4,11.6244470312938
"128",15.1,15.5975648264874
"129",11.5,11.1655084800527
"130",9.5,9.34864344374709
"131",11.3,11.6705089233322
"132",7.6,4.08297397534101
"133",22.5,23.7347344995658
"134",16.3,16.7832400703783
"135",16.1,14.682419842817
"136",11.4,11.415599919076
"137",17.9,18.3526827105408
"138",11.3,12.9912554731586
"139",14.2,12.5442623366747
"140",10.1,10.7174634451779
"141",8.6,9.53203660238338
"142",9.2,8.12832751934864
"143",22.2,23.1114675574265
"144",18.4,19.8446293246445
"145",8.1,10.9898644326908
"146",9.3,11.2743330129124
"147",6.6,4.4041788910728
"148",12.2,13.6542728975506
"149",7.1,9.55207262736844
