"","MP","pred.MP"
"1",2799,2720.78434431871
"2",2855,2707.55975428363
"3",1017,1046.51043568983
"4",1779,1855.92054980985
"5",45,91.7077633234035
"6",2251,2250.21551484719
"7",1959,2117.07788510526
"8",136,145.912333465323
"9",271,328.264988782492
"10",663,723.205395958033
"11",1955,2010.35778841283
"12",2750,2481.67388151319
"13",2403,2255.30580849167
"14",1252,1339.31841602565
"15",694,722.40684498949
"16",726,820.496059003608
"17",2338,2295.7587531137
"18",1202,1196.12159053345
"19",1590,1857.21225591118
"20",1280,1265.41348247589
"21",1545,1337.93992220952
"22",1588,1625.72368181985
"23",1189,1217.28715457936
"24",1132,1234.87962724862
"25",1933,1859.07118554726
"26",7,-3.13073953201187
"27",2493,2248.79230312587
"28",1881,1971.23873834314
"29",2333,2416.66784164157
"30",2482,2334.59088869123
"31",1109,1189.92608184817
"32",1625,1415.4759307934
"33",2558,2627.73645441006
"34",2702,2679.34957937812
"35",847,830.186735970792
"36",1109,999.913080453588
"37",2089,2180.22696186763
"38",1502,1462.76490641898
"39",1518,1501.10405852341
"40",1664,1916.40144702512
"41",1158,1187.48626584355
"42",393,436.193743587895
"43",609,651.752515813921
"44",1466,1643.18484582876
"45",2058,2038.16937039699
"46",7,-12.5142402919547
"47",2671,2513.77307519002
"48",1578,1590.80825953192
"49",1598,1465.01184482918
"50",1796,1743.42786090451
"51",1680,1617.97106635518
"52",1599,1966.13152449339
"53",196,162.821073754645
"54",272,241.105405156457
"55",2504,2383.45281702695
"56",7,2.39393157185547
"57",1827,1762.36429089145
"58",2063,2159.37815118878
"59",2235,2120.78724639444
"60",700,756.257926186869
"61",2139,2188.3649305102
"62",2061,2160.81590351029
"63",939,1232.65943795168
"64",1053,1303.60801214122
"65",1624,1530.9316791304
"66",1126,1049.31460893643
"67",1037,953.137609476274
"68",2873,2873.47846053829
"69",1674,1883.16041955774
"70",2013,2231.69546848001
"71",950,972.460706651832
"72",1565,1631.12301588731
"73",691,725.260279909083
"74",205,257.611310578806
"75",2979,2806.2631285231
"76",2743,2593.21498038007
"77",2645,2496.30921971834
"78",2498,2273.18792429277
"79",1448,1371.09446806093
"80",266,265.928059681804
"81",1713,1716.03205927294
"82",2382,2339.80481146752
"83",2745,2542.66487378684
"84",857,966.941609640637
"85",842,1031.99742915632
"86",681,765.781259440382
"87",708,774.635975931448
"88",488,445.692581021792
"89",2713,2765.23766312748
"90",1586,1377.1930045104
"91",741,736.571515620535
"92",1839,1711.74355666036
"93",2377,2375.74415824526
"94",160,172.809421828157
"95",1974,1943.05227069316
"96",1421,1517.77275283382
"97",21,16.6359291976993
"98",2475,2623.02653224907
"99",6,14.8608304095425
"100",171,169.834355114218
"101",1435,1425.89032114141
"102",1506,1667.12219348415
"103",1871,1970.10373895352
"104",2746,2626.52049467408
"105",2222,2531.06437128952
"106",663,703.990410552146
"107",1048,1131.81068077423
"108",1248,1381.24672857772
"109",424,448.020637573091
"110",2184,2104.37109326261
