"","AST.","predAST."
"238",5.3,3.67986155356862
"239",5.3,4.87433189375413
"240",3.9,5.14979116727111
"241",9.5,10.1273456396586
"242",17.4,18.7917691769831
"243",10.4,10.8723046859651
"244",21.7,19.0413637625036
"245",5.8,6.12855196375554
"246",6.3,7.1974642234639
"247",14.9,16.2416888610871
"248",5.4,5.52486590904729
"249",16.5,17.9817192353694
"250",8.1,9.12118141756579
"251",8.9,7.93257442726594
"252",12.7,14.1736190211909
"253",10.4,10.9027279064815
"254",18.6,21.6371691631448
"255",10.6,11.0848192504079
"256",20.1,21.1983886935444
"257",10.5,11.4785090519963
"258",7.5,8.65628243186531
"259",7.7,8.52506047022421
"260",10.9,10.8079528452246
"261",11.5,12.6525234976381
"262",4.2,4.42472105921656
"263",6.9,7.4547742494581
"264",15.3,16.658290848718
"265",8.3,9.47617774467372
"266",12.7,13.3139932461254
"267",20.6,20.743490401424
"268",14.4,14.5522712861515
"269",3.4,2.81070915578243
"270",8.9,8.97412309633186
"271",15.6,15.7162137489528
"272",5.7,6.04087497619493
"273",25.1,26.0480708016864
"274",6.6,6.50153031688197
"275",6.3,6.09080234777998
"276",6.8,7.33224484273831
"277",7.7,8.10221846273272
"278",5.9,5.48044608472995
"279",5.9,5.24969518750974
"280",9.8,10.7933012459451
"281",5.7,6.32784508851811
"282",10.5,10.6337530464475
"283",8.9,9.42606407463786
"284",18.2,19.2986686471111
"285",13.8,14.2838719189704
"286",16.5,17.8280120866361
"287",7.4,8.8408979417212
"288",18,19.9101459463182
"289",5.9,5.23928758471198
"290",23.2,24.4916586452791
"291",26.5,26.0492026365456
"292",7.5,8.30726522626989
"293",7.6,7.80726911755448
"294",0,-0.159554401843664
"295",15.8,16.3065066898312
"296",15.2,15.3110968943613
"297",5.9,6.04137406682341
"298",9.7,10.9904220728815
"299",7.8,8.10202868472706
"300",10.3,11.0385271769692
"301",6.2,5.7952749031214
"302",17.6,16.9622808568111
"303",6.3,5.96661109044582
"304",11.4,11.5076768732871
"305",3.9,1.73328811703927
"306",8.6,8.6495517717972
"307",16.6,18.0742348058618
"308",4.9,4.71525711943287
"309",7.1,7.14558351200723
"310",17.4,18.2001707216751
"311",11.6,12.780860548856
"312",12.1,12.1219614102573
"313",9,9.36946535591254
"314",6.3,5.3719460377838
"315",35.1,34.4017071272541
"316",13.9,13.7905367375473
"317",40.1,38.7382470341237
"318",17.3,16.2430320657959
"319",15.1,15.8353550573412
"320",6,6.24158447277404
"321",14.9,14.6367349608398
"322",9,9.04284802655959
"323",17.5,18.8146762035688
"324",6.1,5.83874533139764
"325",7.8,8.66532569762573
"326",9.5,10.1704311819485
"327",12.6,12.4904418576683
"328",10.4,11.049173332741
"329",4.9,4.14568507461394
"330",14.3,14.7381467043716
"331",7.5,7.18691694431313
"332",9.5,10.0797785903862
"333",7.7,7.56644428420147
"334",10.8,11.1993240132028
"335",12.3,12.5561207482992
"336",14.2,13.5545600887763
"337",8.8,10.425581448327
"338",15.6,15.0277495828004
"339",3.8,4.21253898749786
"340",6,6.22113264119487
"341",20.7,19.7252934954984
"342",5.1,4.34788579500854
"343",1.4,-1.60602241995152
"344",41.6,37.0825498865773
"345",2.6,2.95055468377152
"346",23.1,25.393655968101
"347",19.6,18.9416053108621
"348",3.5,4.9876446883388
"349",7.5,6.74067235660504
"350",7,7.71840458070459
"351",20.3,20.5508931148344
"352",24.8,24.5203164271341
"353",5.1,4.91186395683081
"354",13.9,14.2966945966519
"355",17.1,16.8815396509188
"356",18.4,18.8982131894482
"357",16.4,16.7476932812598
"358",8.4,8.54760648528378
"359",8.3,9.23343264459946
"360",23,23.6234532955901
"361",5.6,3.25236010952291
"362",6,5.83275419744146
"363",10,11.0805191703719
"364",20.5,20.1762727368575
"365",10.8,10.3123597866484
"366",19.1,19.5515029772648
"367",17.1,16.2357951777375
"368",13,6.09149892879917
"369",15.4,9.21505079276867
"370",13.6,13.598950686246
"371",26.7,23.6974913154447
"372",23.2,23.3659099369364
"373",6.9,6.65252627117724
"374",15.3,15.6631091855421
"375",8.6,8.59863304032665
"376",16,16.8252151073361
"377",10.8,11.3373447507114
"378",15.7,16.2865400862033
"379",12,13.274884073288
"380",4.5,4.95194690914906
"381",7.6,8.69096886846639
"382",10,10.2652262506622
"383",4.6,5.42883394391096
"384",7.9,8.49102496605383
"385",8.3,8.52011570475673
"386",19,19.215493031092
"387",8,8.76546023315018
"388",7.3,7.81986837990732
"389",6.3,6.62542276133495
"390",16.6,16.291076195318
"391",9.3,10.090068147959
"392",12.7,13.6519802780097
"393",9.4,9.49931959882767
"394",5.6,6.74916415339898
"395",25.1,25.3497809192046
"396",7.7,7.47153454872329
"397",12.9,13.8932647012725
"398",9.9,9.94311298299207
"399",12.5,13.8910504586742
"400",7.8,7.87291737029943
"401",14.9,14.9852075102482
"402",13.4,14.1419448968277
"403",5.1,5.2124457747521
"404",9.7,8.78607369422042
"405",7.4,5.86919594437955
"406",16.1,16.0695133644896
"407",18.6,18.0097004180108
"408",5.9,6.21337065521562
"409",27.2,27.9228837728948
"410",7.9,7.87564420628171
"411",6.7,6.76417096501374
"412",10.4,10.6634850170737
"413",10.9,11.8001388285614
"414",6.3,5.01664675585355
"415",6.4,7.32529264914642
"416",6.6,6.97867059844702
"417",9.7,9.66007082498362
"418",14.9,14.0802149371019
"419",7.3,8.08006031966062
"420",19.4,17.8751700798602
"421",13.2,13.7580849426066
"422",14.9,15.8766785729546
"423",7.7,7.99253448331935
"424",18,19.2651051288848
"425",9.9,9.58061698751806
"426",18.9,19.136212611567
"427",19.6,20.8050036297589
"428",9.2,9.68747730005266
"429",7,7.4705133554277
"430",6.4,6.68238425356945
"431",4.5,1.07378489113082
"432",24.5,21.2160200560939
"433",16.1,15.9110058901171
"434",18.4,21.4011299256405
"435",8.8,9.13389679727008
"436",15.2,15.4888074383851
"437",6.9,7.1848154580348
"438",9.5,10.0070441598101
"439",4.1,4.23645442321856
"440",7.5,7.74192834682252
"441",12.9,13.0643696388288
"442",4.5,4.38403836822088
"443",8.8,8.59346708650721
"444",17.1,16.4227936011481
"445",8.6,9.33158257999567
"446",13.2,14.3001933040201
"447",2.6,4.44753170699807
"448",16.8,16.6225813396083
"449",10.8,11.3570539613126
"450",17.9,16.9958969503018
"451",5.6,5.44975444304543
"452",9.5,9.68728160123502
