"","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Yr"
"1","Don Anielak","F","24","NYK","1","10","1.8","0.26","0","1","0","0","0","0","0","0","0","0","-0.1","0","-0.1","-0.263","0","0","0","0",1955
"2","Paul Arizin*","SF","26","PHW","72","2953","18.2","0.478","0","0.442","0","0","0","0","0","0","0","0","5.8","2.9","8.7","0.141","0","0","0","0",1955
"3","Jim Baechtold","SF","27","NYK","72","2536","13.9","0.479","0","0.378","0","0","0","0","0","0","0","0","4.1","1.8","6","0.113","0","0","0","0",1955
"4","Don Barksdale*","SF","31","BOS","72","1790","14.3","0.445","0","0.484","0","0","0","0","0","0","0","0","1.2","1","2.2","0.059","0","0","0","0",1955
"5","Bob Brannum","PF","28","BOS","71","1623","10.8","0.424","0","0.273","0","0","0","0","0","0","0","0","0.2","0.9","1.1","0.032","0","0","0","0",1955
"6","Carl Braun*","SG","27","NYK","71","2479","14.6","0.454","0","0.331","0","0","0","0","0","0","0","0","2.8","1.9","4.7","0.091","0","0","0","0",1955
"7","Tom Brennan","SF","24","PHW","11","52","5.6","0.455","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.048","0","0","0","0",1955
"8","Frankie Brian","SG","31","FTW","71","1381","15.7","0.47","0","0.409","0","0","0","0","0","0","0","0","2.5","1.2","3.6","0.127","0","0","0","0",1955
"9","Bill Calhoun","SG","27","MLH","69","2109","9","0.389","0","0.492","0","0","0","0","0","0","0","0","-0.9","2.3","1.4","0.033","0","0","0","0",1955
"10","Bob Carney","SG","22","MNL","19","244","8.7","0.423","0","0.625","0","0","0","0","0","0","0","0","0","0.3","0.3","0.059","0","0","0","0",1955
"11","Fred Christ","G","24","NYK","6","48","16.7","0.438","0","0.611","0","0","0","0","0","0","0","0","0","0","0.1","0.085","0","0","0","0",1955
"12","Cal Christensen","SF","27","ROC","71","1204","13.7","0.445","0","0.675","0","0","0","0","0","0","0","0","0.8","1","1.7","0.069","0","0","0","0",1955
"13","Nat Clifton*","PF","32","NYK","72","2390","15","0.439","0","0.352","0","0","0","0","0","0","0","0","1.3","2.4","3.7","0.074","0","0","0","0",1955
"14","Jack Coleman","PF","30","ROC","72","2482","18.2","0.488","0","0.211","0","0","0","0","0","0","0","0","4.3","1.9","6.2","0.121","0","0","0","0",1955
"15","Bert Cook","SG","25","NYK","37","424","8.5","0.381","0","0.376","0","0","0","0","0","0","0","0","-0.4","0.3","0","-0.006","0","0","0","0",1955
"16","Chuck Cooper*","PF","28","MLH","70","1749","12.3","0.422","0","0.438","0","0","0","0","0","0","0","0","0.2","2.2","2.4","0.066","0","0","0","0",1955
"17","Larry Costello","PG","23","PHW","19","463","10.5","0.385","0","0.23","0","0","0","0","0","0","0","0","-0.2","0.4","0.2","0.022","0","0","0","0",1955
"18","Bob Cousy*","PG","26","BOS","71","2747","21.3","0.48","0","0.433","0","0","0","0","0","0","0","0","6.3","1.5","7.8","0.137","0","0","0","0",1955
"19","Bob Davies*","PG","35","ROC","72","1870","18.5","0.477","0","0.373","0","0","0","0","0","0","0","0","4","1.2","5.2","0.132","0","0","0","0",1955
"20","Walt Davis","C","24","PHW","61","766","9.4","0.431","0","0.264","0","0","0","0","0","0","0","0","0.1","0.8","0.9","0.057","0","0","0","0",1955
"21","George Dempsey","SG","25","PHW","48","1387","10.8","0.417","0","0.392","0","0","0","0","0","0","0","0","0.2","1.4","1.5","0.053","0","0","0","0",1955
"22","Fred Diute","SG","26","MLH","7","72","-2.3","0.209","0","0.571","0","0","0","0","0","0","0","0","-0.4","0.1","-0.3","-0.204","0","0","0","0",1955
"23","Dick Farley","SG","22","SYR","69","1113","12.7","0.462","0","0.569","0","0","0","0","0","0","0","0","1.3","1.6","3","0.128","0","0","0","0",1955
"24","Ray Felix","C","24","NYK","72","2024","20.4","0.494","0","0.599","0","0","0","0","0","0","0","0","4.8","2.5","7.2","0.172","0","0","0","0",1955
"25","Danny Finn","PG","26","PHW","43","820","10.1","0.342","0","0.325","0","0","0","0","0","0","0","0","-1.3","1","-0.3","-0.018","0","0","0","0",1955
"26","Larry Foust","C","26","FTW","70","2264","23","0.57","0","0.627","0","0","0","0","0","0","0","0","10.3","3","13.3","0.282","0","0","0","0",1955
"27","Jim Fritsche","PF","23","FTW","16","151","6.7","0.409","0","0.333","0","0","0","0","0","0","0","0","-0.1","0.1","0.1","0.028","0","0","0","0",1955
"28","Bill Gabor","SG","32","SYR","3","47","11.7","0.351","0","0.227","0","0","0","0","0","0","0","0","-0.1","0.1","0","-0.012","0","0","0","0",1955
"29","Harry Gallatin*","PF","27","NYK","72","2548","20.5","0.491","0","0.562","0","0","0","0","0","0","0","0","5.1","3.3","8.3","0.157","0","0","0","0",1955
"30","Jack George","PG","26","PHW","68","2480","12.7","0.438","0","0.385","0","0","0","0","0","0","0","0","1.5","2.3","3.8","0.074","0","0","0","0",1955
"31","Joe Graboski","PF","25","PHW","70","2515","11.7","0.388","0","0.276","0","0","0","0","0","0","0","0","-2.8","2.7","-0.1","-0.002","0","0","0","0",1955
"32","Chuck Grigsby","G","26","NYK","7","45","9.9","0.355","0","0.421","0","0","0","0","0","0","0","0","-0.1","0.1","0","-0.042","0","0","0","0",1955
"33","Alex Hannum*","PF","31","MLH","53","1088","8.9","0.386","0","0.299","0","0","0","0","0","0","0","0","-0.9","1.4","0.5","0.024","0","0","0","0",1955
"34","Rollen Hans","SG","23","BLB","13","178","0","0.468","0","0.373","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1955
"35","Bob Harrison","PG","27","MLH","72","2300","8","0.379","0","0.211","0","0","0","0","0","0","0","0","-2.6","2.2","-0.4","-0.008","0","0","0","0",1955
"36","Herm Hedderick","G","25","NYK","5","23","-0.8","0.212","0","0.111","0","0","0","0","0","0","0","0","-0.1","0","-0.1","-0.232","0","0","0","0",1955
"37","Don Henriksen","PF","25","TOT","70","1664","9.3","0.422","0","0.48","0","0","0","0","0","0","0","0","-0.1","1","0.9","0.025","0","0","0","0",1955
"38","Lew Hitch","F-C","25","TOT","74","1774","0","0.457","0","0.405","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1955
"39","Paul Hoffman","G-F","29","TOT","38","670","0","0.378","0","0.431","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1955
"40","Jim Holstein","SF","24","MNL","62","980","8.7","0.378","0","0.285","0","0","0","0","0","0","0","0","-1","1.2","0.2","0.008","0","0","0","0",1955
"41","Bob Houbregs*","C-F","22","TOT","64","1326","0","0.456","0","0.472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1955
"42","Mel Hutchins","PF","26","FTW","72","2860","12.7","0.425","0","0.285","0","0","0","0","0","0","0","0","0.4","3.5","3.9","0.065","0","0","0","0",1955
"43","Neil Johnston*","C","25","PHW","72","2917","25.4","0.536","0","0.649","0","0","0","0","0","0","0","0","11.5","3.9","15.4","0.253","0","0","0","0",1955
"44","Ed Kalafat","PF","22","MNL","72","1102","9.7","0.386","0","0.448","0","0","0","0","0","0","0","0","-0.9","1.6","0.7","0.029","0","0","0","0",1955
"45","Mike Kearns","PG","25","PHW","6","25","1","0.074","0","0.8","0","0","0","0","0","0","0","0","-0.1","0","-0.1","-0.223","0","0","0","0",1955
"46","Billy Kenville","SG","24","SYR","70","1380","13.6","0.437","0","0.417","0","0","0","0","0","0","0","0","0.8","2.2","3","0.104","0","0","0","0",1955
"47","Red Kerr","C","22","SYR","72","1529","18.2","0.462","0","0.311","0","0","0","0","0","0","0","0","2","3","5","0.157","0","0","0","0",1955
"48","Dan King","F","24","BLB","12","103","0","0.36","0","0.455","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1955
"49","George King","PG","26","SYR","67","2015","12.8","0.422","0","0.379","0","0","0","0","0","0","0","0","0.6","3.2","3.8","0.09","0","0","0","0",1955
"50","Bob Knight","G-F","25","NYK","2","29","11.9","0.47","0","0.143","0","0","0","0","0","0","0","0","0","0","0.1","0.117","0","0","0","0",1955
"51","Earl Lloyd*","SF","26","SYR","72","2212","11.6","0.417","0","0.27","0","0","0","0","0","0","0","0","-0.3","3.9","3.6","0.077","0","0","0","0",1955
"52","Clyde Lovellette*","C","25","MNL","70","2361","21","0.479","0","0.334","0","0","0","0","0","0","0","0","4.9","3.6","8.5","0.173","0","0","0","0",1955
"53","Ed Macauley*","C","26","BOS","71","2706","18.6","0.522","0","0.587","0","0","0","0","0","0","0","0","7.5","1.4","8.9","0.157","0","0","0","0",1955
"54","Ronnie MacGilvray","PG","24","MLH","6","57","7.9","0.265","0","0.583","0","0","0","0","0","0","0","0","-0.1","0.1","-0.1","-0.046","0","0","0","0",1955
"55","Tom Marshall","SF","24","ROC","72","1337","17","0.489","0","0.384","0","0","0","0","0","0","0","0","2.7","0.8","3.5","0.125","0","0","0","0",1955
"56","Phil Martin","SF","26","MLH","7","47","6.6","0.302","0","0.105","0","0","0","0","0","0","0","0","-0.2","0.1","-0.1","-0.094","0","0","0","0",1955
