"","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Yr"
"1","Shareef Abdur-Rahim","PF","27","TOT","85","2684","19.9","0.557","0.032","0.407","8.2","19","13.6","12.3","1.4","1","12.9","24.4","6.1","2","8.1","0.145","2.3","-0.7","1.6","2.4",2004
"2","Malik Allen","PF","25","MIA","45","616","10.5","0.449","0","0.167","7.9","14.7","11.3","4.7","1.1","3.6","11.3","18.3","-0.1","0.8","0.7","0.051","-3.7","-0.1","-3.8","-0.3",2004
"3","Ray Allen*","SG","28","SEA","56","2152","21.7","0.566","0.372","0.266","3.8","11.8","7.8","23.3","1.8","0.4","12.1","27.8","6.5","0.4","6.9","0.153","5.5","-1.5","4","3.2",2004
"4","Rafer Alston","PG","27","MIA","82","2581","13.7","0.509","0.568","0.175","1.2","9.1","5.1","24.9","2.4","0.6","13.5","17.3","3.1","2.8","5.9","0.11","0.2","0.7","0.9","1.9",2004
"5","Chris Andersen","PF","25","DEN","71","1029","14.4","0.486","0.005","0.527","9.6","23.3","16.3","5.1","1.7","7.8","16.1","12.7","0.5","1.9","2.4","0.111","-2","2.8","0.7","0.7",2004
"6","Derek Anderson","SG","29","POR","51","1810","15.1","0.499","0.423","0.307","1.7","10.2","6","21.1","2","0.1","11.5","20.5","2.7","0.9","3.6","0.097","0.8","-0.5","0.3","1",2004
"7","Kenny Anderson","PG","33","IND","44","905","11.1","0.473","0.016","0.188","2.5","8.2","5.3","24.2","1.6","0.4","15.3","17.1","0.4","1.1","1.5","0.079","-2.3","0.6","-1.7","0.1",2004
"8","Shandon Anderson","SG","30","NYK","80","1974","10.1","0.5","0.227","0.285","3.1","9.7","6.5","10.2","1.8","0.7","15.7","17.7","0.2","1.5","1.7","0.042","-2.4","0.1","-2.4","-0.2",2004
"9","Carmelo Anthony","SF","19","DEN","82","2995","17.6","0.509","0.146","0.358","6.8","12.1","9.4","13.8","1.7","1","12.7","28.5","3.7","2.4","6.1","0.098","1.6","-1.6","0","1.5",2004
"10","Robert Archibald","C-PF","23","TOT","32","256","5.6","0.343","0","0.939","9.4","14","11.7","7.9","3","0.9","17.7","10.7","-0.2","0.4","0.2","0.039","-6.7","2.2","-4.5","-0.1",2004
"11","Gilbert Arenas","PG","22","WAS","55","2066","16","0.512","0.364","0.347","2.9","11.1","6.9","25.5","2.6","0.4","17.7","27.4","1.1","1.5","2.6","0.061","1.1","-1","0.1","1.1",2004
"12","Brandon Armstrong","SG","23","NJN","56","434","5.5","0.427","0.297","0.023","3.3","8.4","5.8","5.7","1.5","0.4","12","21.7","-0.8","0.5","-0.3","-0.03","-5.5","-2","-7.5","-0.6",2004
"13","Darrell Armstrong","PG","35","NOH","79","2247","15.6","0.525","0.583","0.196","3.1","8.5","5.7","24.3","3.2","0.5","16.2","19.4","2.8","2.5","5.3","0.114","1.3","1.1","2.4","2.5",2004
"14","Carlos Arroyo","PG","24","UTA","71","2008","16.8","0.517","0.152","0.293","2.5","9","5.7","34.6","1.7","0.2","15.2","23.7","3.5","1.2","4.7","0.112","2","-1.1","0.9","1.5",2004
"15","Chucky Atkins","PG","29","TOT","64","1544","12.1","0.511","0.498","0.2","0.7","6.2","3.5","24.7","1.5","0.1","14.9","18.5","1.5","1.3","2.7","0.085","-0.3","-0.9","-1.1","0.3",2004
"16","Stacey Augmon","SF","35","NOH","69","1416","10","0.486","0.02","0.401","4.1","10.1","7","10","2.1","0.8","15.7","15.6","0.4","1.3","1.6","0.056","-3.1","0.3","-2.8","-0.3",2004
"17","Vin Baker","PF","32","TOT","54","1313","14.8","0.53","0.007","0.363","10","14.4","12.2","9","1.1","1.9","13.3","20.1","1.7","1.1","2.8","0.101","-1","-1.1","-2.1","0",2004
"18","Marcus Banks","PG","22","BOS","81","1385","11","0.48","0.195","0.296","2.5","8.4","5.5","21.3","3.3","0.7","20","20.5","-0.6","1.4","0.7","0.026","-3.4","0.4","-3","-0.4",2004
"19","Leandro Barbosa","PG","21","PHO","70","1500","12.7","0.553","0.447","0.13","1.7","7.6","4.7","18","3.2","0.3","19.5","18.6","0.9","1","1.9","0.061","-1.3","0.5","-0.8","0.5",2004
"20","Matt Barnes","SF","23","LAC","38","724","10.6","0.519","0.094","0.442","8.3","15.5","11.9","10.6","2","0.3","21.1","12.8","0.4","0.3","0.7","0.045","-1.4","-0.7","-2.2","0",2004
"21","Dana Barros","SG","36","BOS","1","11","17.8","0.773","0","0.667","0","0","0","0","0","0","0","16","0.1","0","0.1","0.256","-1.7","-4.7","-6.4","0",2004
"22","Brent Barry","SG","32","SEA","59","1803","18.3","0.668","0.59","0.258","1.4","11.9","6.7","30.5","2.5","0.7","22.6","15.8","4.9","0.7","5.7","0.151","3.2","0.1","3.2","2.4",2004
"23","Jon Barry","SG","34","DEN","57","1101","14.6","0.535","0.465","0.239","2.5","10.2","6.3","20.6","2.7","0.5","13.9","15.2","1.7","1.1","2.8","0.122","0.8","1.2","2","1.1",2004
"24","Mengke Bateer","C","28","TOR","7","40","7.2","0.571","0","0","14.3","8.7","11.5","4.4","1.4","0","22.2","10.9","0","0","0.1","0.09","-5.6","0.3","-5.3","0",2004
