"","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Yr"
"1","Jay Arnette","G","27","CIN","3","14","-9","0.167","0","0","0","0","0","0","0","0","0","0","-0.1","0","-0.1","-0.301","0","0","0","0",1966
"2","Al Attles*","PG","29","SFW","79","2053","13.2","0.528","0","0.348","0","0","0","14.7","0","0","0","0","3.6","2","5.6","0.131","0","0","0","0",1966
"3","Jim Barnes","PF","24","TOT","73","2191","12.8","0.476","0","0.379","0","0","0","5.5","0","0","0","0","1.3","1.6","2.9","0.063","0","0","0","0",1966
"4","Dick Barnett","SG","29","NYK","75","2589","18.4","0.537","0","0.45","0","0","0","14.7","0","0","0","0","7.5","0.5","8","0.149","0","0","0","0",1966
"5","John Barnhill","PG","27","TOT","76","1617","10.8","0.436","0","0.304","0","0","0","16.3","0","0","0","0","-0.3","1.5","1.1","0.034","0","0","0","0",1966
"6","Rick Barry*","SF","21","SFW","80","2990","20","0.518","0","0.389","0","0","0","8.6","0","0","0","0","7.2","3.2","10.4","0.167","0","0","0","0",1966
"7","Elgin Baylor*","SF","31","LAL","65","1975","16.9","0.456","0","0.326","0","0","0","15.7","0","0","0","0","0.5","2","2.6","0.062","0","0","0","0",1966
"8","Zelmo Beaty*","C","26","STL","80","3072","18.5","0.535","0","0.43","0","0","0","6","0","0","0","0","7.3","3","10.3","0.161","0","0","0","0",1966
"9","Walt Bellamy*","C","26","TOT","80","3352","19.3","0.543","0","0.502","0","0","0","9.8","0","0","0","0","8.3","1.2","9.5","0.136","0","0","0","0",1966
"10","Al Bianchi","PG","33","PHI","78","1312","7.1","0.41","0","0.175","0","0","0","13","0","0","0","0","-1.2","1.4","0.2","0.006","0","0","0","0",1966
"11","Ron Bonham","SG","23","BOS","39","312","13.1","0.436","0","0.295","0","0","0","5.3","0","0","0","0","-0.2","0.4","0.2","0.028","0","0","0","0",1966
"12","Bob Boozer","PF","28","LAL","78","1847","16.4","0.542","0","0.383","0","0","0","6.4","0","0","0","0","4.3","1.6","5.8","0.151","0","0","0","0",1966
"13","Gary Bradds","SF","23","BAL","3","15","18","0.451","0","0.667","0","0","0","8.3","0","0","0","0","0","0","0","0.057","0","0","0","0",1966
"14","Jesse Branson","SF","24","PHI","5","14","10.3","0.322","0","0.667","0","0","0","8.1","0","0","0","0","-0.1","0","0","-0.06","0","0","0","0",1966
"15","Bill Bridges","PF","26","STL","78","2677","13.9","0.465","0","0.393","0","0","0","10.5","0","0","0","0","1.1","2.9","3.9","0.07","0","0","0","0",1966
"16","Em Bryant","PG","27","NYK","71","1193","13.1","0.505","0","0.225","0","0","0","24.3","0","0","0","0","1.6","0.3","2","0.079","0","0","0","0",1966
"17","Bill Buntin","C","23","DET","42","713","13.3","0.448","0","0.478","0","0","0","6.8","0","0","0","0","0","0.9","0.9","0.062","0","0","0","0",1966
"18","Donnie Butcher","PG","29","DET","15","285","10.7","0.487","0","0.354","0","0","0","14.1","0","0","0","0","0.3","0.3","0.5","0.088","0","0","0","0",1966
"19","Joe Caldwell","SF","24","TOT","79","1857","15.3","0.477","0","0.271","0","0","0","10.1","0","0","0","0","1.6","1.8","3.3","0.087","0","0","0","0",1966
"20","Wilt Chamberlain*","C","29","PHI","79","3737","28.3","0.547","0","0.49","0","0","0","16.8","0","0","0","0","12.9","8.5","21.4","0.275","0","0","0","0",1966
"21","Len Chappell","PF","25","NYK","46","545","11.2","0.452","0","0.328","0","0","0","6.4","0","0","0","0","0","0.1","0.1","0.013","0","0","0","0",1966
"22","Barry Clemens","SF","22","NYK","70","877","10.7","0.442","0","0.199","0","0","0","10.3","0","0","0","0","-0.2","0.2","0.1","0.003","0","0","0","0",1966
"23","Mel Counts","C","24","BOS","67","1021","16.4","0.459","0","0.264","0","0","0","7.1","0","0","0","0","0.3","2.6","2.9","0.137","0","0","0","0",1966
"24","Billy Cunningham*","SF","22","PHI","80","2134","15.7","0.474","0","0.438","0","0","0","13","0","0","0","0","1.7","3.3","5","0.112","0","0","0","0",1966
"25","Dave DeBusschere*","SF","25","DET","79","2696","15.7","0.447","0","0.294","0","0","0","10.9","0","0","0","0","-0.1","3.7","3.7","0.065","0","0","0","0",1966
"26","Connie Dierking","C","29","CIN","57","782","11.6","0.444","0","0.255","0","0","0","7.2","0","0","0","0","-0.1","0.6","0.5","0.031","0","0","0","0",1966
"27","Johnny Egan","PG","27","TOT","76","1644","13.7","0.513","0","0.395","0","0","0","21.4","0","0","0","0","2.5","1.1","3.6","0.104","0","0","0","0",1966
"28","Leroy Ellis","C","25","LAL","80","2219","13","0.467","0","0.276","0","0","0","4.4","0","0","0","0","0.9","1.9","2.8","0.062","0","0","0","0",1966
"29","Wayne Embry*","C","28","CIN","80","1882","9.2","0.454","0","0.415","0","0","0","5.3","0","0","0","0","0.2","1.3","1.5","0.038","0","0","0","0",1966
"30","Keith Erickson","SF","21","SFW","64","646","8.3","0.394","0","0.243","0","0","0","7.6","0","0","0","0","-0.9","0.7","-0.2","-0.016","0","0","0","0",1966
"31","John Fairchild","SF","22","LAL","30","171","3.9","0.307","0","0.225","0","0","0","8","0","0","0","0","-0.7","0.1","-0.6","-0.166","0","0","0","0",1966
"32","Mike Farmer","SF","29","STL","9","79","11.6","0.466","0","0.167","0","0","0","10.6","0","0","0","0","0","0.1","0.1","0.059","0","0","0","0",1966
"33","Bob Ferry","C","28","BAL","66","1229","12.3","0.457","0","0.344","0","0","0","11.6","0","0","0","0","0.3","0.9","1.2","0.047","0","0","0","0",1966
"34","Will Frazier","PF","23","SFW","2","9","0.5","0.102","0","0.5","0","0","0","12","0","0","0","0","-0.1","0","-0.1","-0.385","0","0","0","0",1966
"35","Dave Gambee","SF","28","PHI","72","1068","12.6","0.477","0","0.428","0","0","0","8.4","0","0","0","0","0.8","1.4","2.2","0.101","0","0","0","0",1966
"36","Tom Gola*","SG","33","NYK","74","1127","12.2","0.514","0","0.387","0","0","0","20.8","0","0","0","0","1.3","0.4","1.7","0.071","0","0","0","0",1966
"37","Gail Goodrich*","SG","22","LAL","65","1008","11.9","0.448","0","0.296","0","0","0","13.9","0","0","0","0","0","0.7","0.7","0.031","0","0","0","0",1966
"38","Johnny Green","PF","32","TOT","79","1645","19.3","0.547","0","0.581","0","0","0","9.1","0","0","0","0","4.3","1.3","5.6","0.164","0","0","0","0",1966
"39","Si Green","G-F","32","BOS","10","92","7.5","0.421","0","0.516","0","0","0","12.6","0","0","0","0","-0.1","0.1","0.1","0.048","0","0","0","0",1966
"40","Hal Greer*","SG","29","PHI","80","3326","15.9","0.504","0","0.325","0","0","0","15.7","0","0","0","0","5.5","4","9.5","0.138","0","0","0","0",1966
"41","Richie Guerin*","SG","33","STL","80","2363","16.3","0.498","0","0.447","0","0","0","23.3","0","0","0","0","3.6","2","5.7","0.115","0","0","0","0",1966
"42","Cliff Hagan*","SF","34","STL","74","1851","14.8","0.491","0","0.219","0","0","0","13.6","0","0","0","0","2.4","1.2","3.7","0.095","0","0","0","0",1966
"43","Happy Hairston","PF","23","CIN","72","1794","16.8","0.532","0","0.394","0","0","0","3.4","0","0","0","0","4.1","1.3","5.3","0.142","0","0","0","0",1966
"44","John Havlicek*","SF","25","BOS","71","2175","16.7","0.45","0","0.263","0","0","0","14.6","0","0","0","0","0.1","4.1","4.3","0.094","0","0","0","0",1966
"45","Tom Hawkins","SF","29","CIN","79","2126","9.9","0.476","0","0.346","0","0","0","5.8","0","0","0","0","1","1.5","2.5","0.055","0","0","0","0",1966
"46","Walt Hazzard","SG","23","LAL","80","2198","14.9","0.492","0","0.256","0","0","0","24.6","0","0","0","0","2.8","1.7","4.5","0.099","0","0","0","0",1966
"47","Fred Hetzel","SF","23","SFW","56","722","13.9","0.434","0","0.229","0","0","0","5.3","0","0","0","0","-0.4","0.9","0.5","0.034","0","0","0","0",1966
"48","Art Heyman","F-G","24","TOT","17","120","7.7","0.405","0","0.423","0","0","0","11.6","0","0","0","0","-0.1","0.1","0","-0.02","0","0","0","0",1966
"49","Wayne Hightower","PF","26","BAL","24","460","10.6","0.415","0","0.419","0","0","0","9.5","0","0","0","0","-0.4","0.3","0","-0.003","0","0","0","0",1966
"50","Bailey Howell*","PF","29","BAL","78","2328","19","0.555","0","0.559","0","0","0","9.1","0","0","0","0","6.8","1.9","8.7","0.179","0","0","0","0",1966
"51","Darrall Imhoff","C","27","LAL","77","1413","10.8","0.478","0","0.404","0","0","0","9.7","0","0","0","0","0.7","1.5","2.1","0.072","0","0","0","0",1966
"52","Luke Jackson","PF","24","PHI","79","1966","12.3","0.459","0","0.349","0","0","0","8.2","0","0","0","0","0.4","3.2","3.6","0.088","0","0","0","0",1966
"53","Gus Johnson*","SF","27","BAL","41","1284","17.4","0.458","0","0.269","0","0","0","12.3","0","0","0","0","0.4","1.3","1.6","0.06","0","0","0","0",1966
"54","K.C. Jones*","PG","33","BOS","80","2710","10.9","0.458","0","0.489","0","0","0","22.7","0","0","0","0","1","5.6","6.6","0.117","0","0","0","0",1966
"55","Sam Jones*","SG","32","BOS","67","2155","21.7","0.521","0","0.305","0","0","0","16.3","0","0","0","0","6.1","3.8","10","0.222","0","0","0","0",1966
"56","Wali Jones","PG","23","PHI","80","2196","7.8","0.412","0","0.215","0","0","0","15.3","0","0","0","0","-1.5","2.3","0.8","0.017","0","0","0","0",1966
"57","Red Kerr","C","33","BAL","71","1770","16.3","0.481","0","0.393","0","0","0","16.4","0","0","0","0","1.5","1.6","3.1","0.085","0","0","0","0",1966
"58","Jim King","PG","24","LAL","76","1499","11.8","0.479","0","0.211","0","0","0","19.2","0","0","0","0","1.1","1.2","2.3","0.073","0","0","0","0",1966
"59","Don Kojis","SF","27","DET","60","783","15.4","0.439","0","0.321","0","0","0","8","0","0","0","0","-0.3","1","0.7","0.044","0","0","0","0",1966
"60","Howard Komives","PG","24","NYK","80","2612","12","0.449","0","0.251","0","0","0","21.5","0","0","0","0","0.4","0.6","1","0.018","0","0","0","0",1966
"61","Rudy LaRusso","PF","28","LAL","76","2316","16.4","0.535","0","0.496","0","0","0","9.4","0","0","0","0","5","2","7","0.146","0","0","0","0",1966
"62","Kevin Loughery","SG","25","BAL","74","2455","14.1","0.474","0","0.283","0","0","0","20.1","0","0","0","0","2.1","1.5","3.6","0.07","0","0","0","0",1966
"63","Jerry Lucas*","PF","25","CIN","79","3517","18.8","0.499","0","0.265","0","0","0","8.2","0","0","0","0","4.5","3.6","8.1","0.11","0","0","0","0",1966
"64","Jon McGlocklin","SG","22","CIN","72","852","12.1","0.463","0","0.218","0","0","0","13.6","0","0","0","0","0.3","0.5","0.9","0.049","0","0","0","0",1966
"65","McCoy McLemore","SF","23","SFW","80","1467","12.6","0.484","0","0.362","0","0","0","4.9","0","0","0","0","1.1","1.7","2.7","0.09","0","0","0","0",1966
"66","Thales McReynolds","G","22","BAL","5","28","-3.3","0.116","0","0.167","0","0","0","4","0","0","0","0","-0.2","0","-0.2","-0.356","0","0","0","0",1966
"67","Tom Meschery","PF","27","SFW","80","2383","13.2","0.501","0","0.327","0","0","0","4.5","0","0","0","0","2.7","2.5","5.2","0.105","0","0","0","0",1966
"68","Eddie Miles","PG","25","DET","80","2788","15.1","0.491","0","0.283","0","0","0","11.7","0","0","0","0","3.7","2.3","6","0.104","0","0","0","0",1966
"69","Jeff Mullins","SG","23","STL","44","587","9.9","0.409","0","0.122","0","0","0","16.4","0","0","0","0","-0.7","0.4","-0.3","-0.021","0","0","0","0",1966
"70","Willie Naulls","SF","31","BOS","71","1433","12.5","0.435","0","0.161","0","0","0","7.4","0","0","0","0","-0.7","2.5","1.8","0.059","0","0","0","0",1966
"71","Don Nelson*","SF","25","BOS","75","1765","13.3","0.502","0","0.528","0","0","0","5.9","0","0","0","0","2.3","3.1","5.4","0.146","0","0","0","0",1966
"72","Paul Neumann","PG","28","SFW","66","1729","14.8","0.497","0","0.388","0","0","0","14.6","0","0","0","0","2.5","1.5","4","0.112","0","0","0","0",1966
"73","Don Ohl","PG","29","BAL","73","2645","14.9","0.493","0","0.322","0","0","0","15.4","0","0","0","0","3.6","1.4","5.1","0.092","0","0","0","0",1966
"74","Bud Olsen","PF","25","TOT","59","602","9.5","0.434","0","0.456","0","0","0","4.2","0","0","0","0","-0.2","0.6","0.4","0.035","0","0","0","0",1966
"75","Gary Phillips","SG","26","SFW","67","867","8.2","0.39","0","0.287","0","0","0","16.2","0","0","0","0","-1","0.9","-0.1","-0.006","0","0","0","0",1966
"76","Ron Reed","PF","23","DET","57","997","11.6","0.375","0","0.191","0","0","0","12.8","0","0","0","0","-2.3","1.4","-0.8","-0.039","0","0","0","0",1966
"77","Willis Reed*","PF","23","NYK","76","2537","14.4","0.497","0","0.395","0","0","0","4.8","0","0","0","0","2.9","0.7","3.6","0.069","0","0","0","0",1966
"78","Oscar Robertson*","PG","27","CIN","76","3493","25.2","0.563","0","0.511","0","0","0","34.5","0","0","0","0","13.6","3.3","16.9","0.232","0","0","0","0",1966
"79","Guy Rodgers*","SG","30","SFW","79","2902","16.9","0.419","0","0.259","0","0","0","40.3","0","0","0","0","-1.9","4.2","2.3","0.039","0","0","0","0",1966
"80","Bill Russell*","C","31","BOS","78","3386","17.3","0.448","0","0.429","0","0","0","13.8","0","0","0","0","0.3","11.4","11.7","0.165","0","0","0","0",1966
"81","Tom Sanders*","PF","27","BOS","72","1896","13.6","0.485","0","0.338","0","0","0","6.6","0","0","0","0","1.8","3.7","5.5","0.139","0","0","0","0",1966
"82","Woody Sauldsberry","PF","31","BOS","39","530","4.6","0.331","0","0.088","0","0","0","3.7","0","0","0","0","-1.8","1","-0.8","-0.072","0","0","0","0",1966
"83","Ray Scott","PF","27","DET","79","2652","17.1","0.47","0","0.332","0","0","0","12.8","0","0","0","0","1.9","3.4","5.3","0.096","0","0","0","0",1966
"84","Larry Siegfried","PG","26","BOS","71","1675","16.5","0.505","0","0.377","0","0","0","14.1","0","0","0","0","3.1","2.7","5.8","0.166","0","0","0","0",1966
"85","Paul Silas","PF","22","STL","46","586","11.4","0.438","0","0.353","0","0","0","4.9","0","0","0","0","-0.1","0.6","0.5","0.04","0","0","0","0",1966
"86","Jerry Sloan*","SG","23","BAL","59","952","11.1","0.483","0","0.481","0","0","0","14.3","0","0","0","0","0.7","0.7","1.4","0.072","0","0","0","0",1966
"87","Adrian Smith","SG","29","CIN","80","2982","12.4","0.483","0","0.366","0","0","0","11.3","0","0","0","0","2.9","1.5","4.4","0.071","0","0","0","0",1966
