"","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Yr"
"1","Paul Arizin*","SF","29","PHW","68","2377","18.2","0.479","0","0.443","0","0","0","0","0","0","0","0","5.5","2.3","7.7","0.156","0","0","0","0",1958
"2","Dick Atha","SG","26","DET","18","160","8.9","0.421","0","0.255","0","0","0","0","0","0","0","0","0.1","0.1","0.2","0.054","0","0","0","0",1958
"3","Ernie Beck","SG","26","PHW","71","1974","12.7","0.462","0","0.297","0","0","0","0","0","0","0","0","2.4","1.9","4.3","0.104","0","0","0","0",1958
"4","Al Bianchi","SG","25","SYR","69","1421","9.6","0.398","0","0.328","0","0","0","0","0","0","0","0","-0.6","1.3","0.8","0.026","0","0","0","0",1958
"5","Doug Bolstorff","G","26","DET","3","21","2.2","0.4","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.004","0","0","0","0",1958
"6","Carl Braun*","PG","30","NYK","71","2475","17.5","0.495","0","0.371","0","0","0","0","0","0","0","0","5.9","1.7","7.6","0.147","0","0","0","0",1958
"7","George Brown","F","22","MNL","1","6","-7.2","0.174","0","1","0","0","0","0","0","0","0","0","0","0","0","-0.308","0","0","0","0",1958
"8","Bob Burrow","C","23","MNL","14","171","8.6","0.325","0","0.471","0","0","0","0","0","0","0","0","-0.4","0.1","-0.4","-0.103","0","0","0","0",1958
"9","Nat Clifton*","PF","35","DET","68","1435","10.4","0.397","0","0.245","0","0","0","0","0","0","0","0","-0.7","1.2","0.5","0.017","0","0","0","0",1958
"10","Jack Coleman","PF","33","STL","72","1506","13.8","0.442","0","0.234","0","0","0","0","0","0","0","0","1","1.6","2.6","0.084","0","0","0","0",1958
"11","Ed Conlin","SF","24","SYR","60","1871","15.8","0.452","0","0.308","0","0","0","0","0","0","0","0","2.2","2","4.3","0.11","0","0","0","0",1958
"12","Larry Costello","PG","26","SYR","72","2746","15.1","0.51","0","0.426","0","0","0","0","0","0","0","0","6.4","2.9","9.2","0.162","0","0","0","0",1958
"13","Bob Cousy*","PG","29","BOS","65","2222","17.9","0.415","0","0.258","0","0","0","0","0","0","0","0","0.8","4.6","5.4","0.116","0","0","0","0",1958
"14","Walt Davis","PF","27","TOT","61","663","8","0.412","0","0.336","0","0","0","0","0","0","0","0","-0.1","0.6","0.6","0.041","0","0","0","0",1958
"15","George Dempsey","PG","28","PHW","67","1048","10.9","0.412","0","0.338","0","0","0","0","0","0","0","0","0.1","1.2","1.4","0.063","0","0","0","0",1958
"16","Corky Devlin","SG","26","MNL","70","1248","11.5","0.419","0","0.352","0","0","0","0","0","0","0","0","0.4","0.4","0.8","0.032","0","0","0","0",1958
"17","Dick Duckett","PG","24","CIN","34","424","8","0.389","0","0.171","0","0","0","0","0","0","0","0","-0.2","0.4","0.2","0.025","0","0","0","0",1958
"18","Walter Dukes","C","27","DET","72","2184","13.6","0.42","0","0.46","0","0","0","0","0","0","0","0","0.2","2.2","2.4","0.052","0","0","0","0",1958
"19","Pat Dunn","SG","26","PHW","28","206","9.4","0.359","0","0.189","0","0","0","0","0","0","0","0","-0.3","0.2","-0.1","-0.013","0","0","0","0",1958
"20","Bill Ebben","G","22","DET","8","50","1.1","0.252","0","0.143","0","0","0","0","0","0","0","0","-0.3","0","-0.2","-0.233","0","0","0","0",1958
"21","Bo Erias","SF","25","MNL","18","401","8.9","0.388","0","0.276","0","0","0","0","0","0","0","0","-0.3","0.1","-0.1","-0.018","0","0","0","0",1958
"22","Ray Felix","C","27","NYK","72","1709","18.9","0.512","0","0.565","0","0","0","0","0","0","0","0","4.5","1.3","5.8","0.164","0","0","0","0",1958
"23","Ed Fleming","SF","24","MNL","72","1686","12.3","0.413","0","0.389","0","0","0","0","0","0","0","0","0","0.7","0.8","0.021","0","0","0","0",1958
"24","Larry Foust","C","29","MNL","72","2200","20","0.491","0","0.576","0","0","0","0","0","0","0","0","5.3","1","6.4","0.139","0","0","0","0",1958
"25","Larry Friend","SG","22","NYK","44","569","7.7","0.359","0","0.181","0","0","0","0","0","0","0","0","-0.7","0.3","-0.4","-0.033","0","0","0","0",1958
"26","Harry Gallatin*","PF","30","DET","72","1990","19.8","0.48","0","0.555","0","0","0","0","0","0","0","0","4.2","1.9","6.1","0.147","0","0","0","0",1958
"27","Dick Garmaker","SG","25","MNL","68","2216","15.2","0.468","0","0.416","0","0","0","0","0","0","0","0","3.7","0.7","4.4","0.095","0","0","0","0",1958
"28","Jack George","PG","29","PHW","72","1910","12.5","0.438","0","0.386","0","0","0","0","0","0","0","0","1.4","2","3.4","0.084","0","0","0","0",1958
"29","Tom Gola*","SG","25","PHW","59","2126","18.3","0.482","0","0.421","0","0","0","0","0","0","0","0","3.9","3.2","7.1","0.161","0","0","0","0",1958
"30","Joe Graboski","PF","28","PHW","72","2077","12.1","0.395","0","0.298","0","0","0","0","0","0","0","0","-1.4","2.3","0.9","0.022","0","0","0","0",1958
"31","Richie Guerin*","SG","25","NYK","63","2368","14.9","0.435","0","0.525","0","0","0","0","0","0","0","0","1.8","1.7","3.5","0.07","0","0","0","0",1958
"32","Cliff Hagan*","SF","26","STL","70","2190","22.6","0.513","0","0.441","0","0","0","0","0","0","0","0","7.7","2.4","10","0.22","0","0","0","0",1958
"33","Bob Harrison","SG","30","SYR","72","1799","7.2","0.393","0","0.202","0","0","0","0","0","0","0","0","-0.6","1.5","0.9","0.025","0","0","0","0",1958
"34","Tom Heinsohn*","PF","23","BOS","69","2206","16.9","0.439","0","0.321","0","0","0","0","0","0","0","0","1.9","4.1","6","0.13","0","0","0","0",1958
"35","Joe Holup","SF","23","TOT","53","740","10.4","0.396","0","0.338","0","0","0","0","0","0","0","0","-0.3","0.7","0.3","0.021","0","0","0","0",1958
"36","Bob Hopkins","PF","23","SYR","69","1224","15.1","0.452","0","0.291","0","0","0","0","0","0","0","0","1.3","1.4","2.7","0.106","0","0","0","0",1958
"37","Bob Houbregs*","PF","25","DET","17","302","11.5","0.41","0","0.314","0","0","0","0","0","0","0","0","0","0.2","0.2","0.031","0","0","0","0",1958
"38","Hot Rod Hundley","SG","23","MNL","65","1154","9.5","0.365","0","0.296","0","0","0","0","0","0","0","0","-1.6","0.4","-1.2","-0.051","0","0","0","0",1958
"39","Mel Hutchins","PF","29","NYK","18","384","11.3","0.42","0","0.328","0","0","0","0","0","0","0","0","0.1","0.2","0.3","0.041","0","0","0","0",1958
"40","McCoy Ingram","PF","26","MNL","24","267","7.6","0.29","0","0.272","0","0","0","0","0","0","0","0","-0.8","0.1","-0.7","-0.119","0","0","0","0",1958
"41","Neil Johnston*","C","28","PHW","71","2408","22.5","0.518","0","0.49","0","0","0","0","0","0","0","0","8.2","3.1","11.3","0.224","0","0","0","0",1958
"42","Sam Jones*","SG","24","BOS","56","594","16.3","0.482","0","0.361","0","0","0","0","0","0","0","0","1","1","2.1","0.167","0","0","0","0",1958
"43","Phil Jordon","C","24","TOT","58","898","16.1","0.443","0","0.199","0","0","0","0","0","0","0","0","0.7","0.8","1.5","0.082","0","0","0","0",1958
"44","Billy Kenville","SG","27","DET","35","649","11.4","0.412","0","0.268","0","0","0","0","0","0","0","0","0","0.5","0.5","0.039","0","0","0","0",1958
"45","Red Kerr","C","25","SYR","72","2384","17.9","0.454","0","0.414","0","0","0","0","0","0","0","0","2.6","3.2","5.8","0.118","0","0","0","0",1958
"46","George King","PG","29","CIN","63","2272","11.3","0.409","0","0.352","0","0","0","0","0","0","0","0","0.4","2.6","3","0.064","0","0","0","0",1958
"47","Jim Krebs","C","22","MNL","68","1259","14.2","0.441","0","0.334","0","0","0","0","0","0","0","0","0.8","0.5","1.3","0.05","0","0","0","0",1958
"48","Slick Leonard*","PG","25","MNL","66","2074","10.1","0.404","0","0.338","0","0","0","0","0","0","0","0","-0.3","0.7","0.4","0.009","0","0","0","0",1958
"49","Earl Lloyd*","SF","29","SYR","61","1045","8.6","0.391","0","0.295","0","0","0","0","0","0","0","0","-0.5","1.2","0.7","0.03","0","0","0","0",1958
"50","Jim Loscutoff","SF","27","BOS","5","56","9.2","0.356","0","0.097","0","0","0","0","0","0","0","0","-0.1","0.1","0","-0.017","0","0","0","0",1958
"51","Clyde Lovellette*","C","28","CIN","71","2589","22.2","0.483","0","0.263","0","0","0","0","0","0","0","0","6.6","3.4","10.1","0.187","0","0","0","0",1958
"52","Ed Macauley*","C","29","STL","72","1908","18.4","0.489","0","0.42","0","0","0","0","0","0","0","0","4.5","1.8","6.3","0.157","0","0","0","0",1958
"53","Tom Marshall","SF","27","TOT","38","518","8.1","0.392","0","0.38","0","0","0","0","0","0","0","0","-0.3","0.5","0.2","0.018","0","0","0","0",1958
"54","Slater Martin*","PG","32","STL","60","2098","9.3","0.406","0","0.359","0","0","0","0","0","0","0","0","-0.2","1.6","1.4","0.032","0","0","0","0",1958
"55","Brendan McCann","PG","22","NYK","36","295","6.6","0.297","0","0.37","0","0","0","0","0","0","0","0","-0.7","0.2","-0.4","-0.071","0","0","0","0",1958
"56","Dick McGuire*","PG","32","DET","69","2311","12.2","0.432","0","0.414","0","0","0","0","0","0","0","0","1.6","2.3","4","0.082","0","0","0","0",1958
"57","Jack McMahon","SG","29","STL","72","2239","7.1","0.347","0","0.307","0","0","0","0","0","0","0","0","-2.6","1.9","-0.7","-0.016","0","0","0","0",1958
"58","Monk Meineke","PF","27","CIN","67","792","10.1","0.405","0","0.339","0","0","0","0","0","0","0","0","-0.3","0.9","0.7","0.04","0","0","0","0",1958
"59","Vern Mikkelsen*","PF","29","MNL","72","2390","18.9","0.489","0","0.44","0","0","0","0","0","0","0","0","5.4","1.1","6.5","0.13","0","0","0","0",1958
"60","Red Morrison","C","25","STL","13","79","6.9","0.378","0","0.154","0","0","0","0","0","0","0","0","-0.1","0.1","0","-0.001","0","0","0","0",1958
"61","Willie Naulls","SF","23","NYK","68","2369","17.1","0.458","0","0.289","0","0","0","0","0","0","0","0","3.1","1.6","4.6","0.094","0","0","0","0",1958
"62","Jack Nichols","PF","31","BOS","69","1224","9.3","0.384","0","0.165","0","0","0","0","0","0","0","0","-0.9","1.9","1","0.04","0","0","0","0",1958
"63","Chuck Noble","SG","26","DET","61","1363","7","0.358","0","0.128","0","0","0","0","0","0","0","0","-1.9","1","-0.9","-0.033","0","0","0","0",1958
"64","Togo Palazzi","SF","25","SYR","67","1001","15.8","0.442","0","0.295","0","0","0","0","0","0","0","0","1","1","2","0.094","0","0","0","0",1958
"65","Med Park","SG","24","STL","71","1103","10.4","0.442","0","0.446","0","0","0","0","0","0","0","0","0.7","0.8","1.6","0.069","0","0","0","0",1958
"66","Worthy Patterson","G","26","STL","4","13","11","0.394","0","0.25","0","0","0","0","0","0","0","0","0","0","0","0.014","0","0","0","0",1958
"67","Jerry Paulson","G","22","CIN","6","68","7.9","0.39","0","0.261","0","0","0","0","0","0","0","0","0","0.1","0","0.016","0","0","0","0",1958
"68","Jim Paxson","SG","25","CIN","67","1795","11.6","0.431","0","0.446","0","0","0","0","0","0","0","0","0.9","1.9","2.8","0.074","0","0","0","0",1958
"69","Bob Pettit*","PF","25","STL","70","2528","26.3","0.492","0","0.525","0","0","0","0","0","0","0","0","7.7","3.4","11","0.209","0","0","0","0",1958
"70","Andy Phillip*","PG","35","BOS","70","1164","6.9","0.388","0","0.26","0","0","0","0","0","0","0","0","-0.3","1.7","1.5","0.06","0","0","0","0",1958
"71","Dave Piontek","SF","23","CIN","71","1032","11.2","0.426","0","0.38","0","0","0","0","0","0","0","0","0.3","1.1","1.4","0.066","0","0","0","0",1958
"72","Ray Radziszewski","F","22","PHW","1","6","-8.9","0","0","0","0","0","0","0","0","0","0","0","-0.1","0","-0.1","-0.496","0","0","0","0",1958
"73","Frank Ramsey*","SG","26","BOS","69","2047","19.5","0.513","0","0.524","0","0","0","0","0","0","0","0","6.4","3.6","10","0.234","0","0","0","0",1958
"74","Richie Regan","SG","27","CIN","72","1648","9","0.406","0","0.302","0","0","0","0","0","0","0","0","-0.1","1.6","1.5","0.044","0","0","0","0",1958
"75","Dick Ricketts","PF","24","CIN","72","1620","8.4","0.375","0","0.295","0","0","0","0","0","0","0","0","-1.8","1.9","0.1","0.004","0","0","0","0",1958
"76","Arnie Risen*","C","33","BOS","63","1119","9.9","0.406","0","0.421","0","0","0","0","0","0","0","0","-0.2","2","1.8","0.076","0","0","0","0",1958
"77","Lennie Rosenbluth","SF","25","PHW","53","373","14.3","0.389","0","0.317","0","0","0","0","0","0","0","0","-0.5","0.4","-0.1","-0.014","0","0","0","0",1958
"78","Bill Russell*","C","23","BOS","69","2640","22.8","0.465","0","0.429","0","0","0","0","0","0","0","0","3.7","7.7","11.3","0.206","0","0","0","0",1958
"79","Woody Sauldsberry","PF","23","PHW","71","2377","10.7","0.387","0","0.201","0","0","0","0","0","0","0","0","-2.2","2.5","0.3","0.007","0","0","0","0",1958
"80","Dolph Schayes*","PF","29","SYR","72","2918","24.2","0.508","0","0.477","0","0","0","0","0","0","0","0","9.7","4","13.7","0.226","0","0","0","0",1958
"81","Dick Schnittker","SF","29","MNL","50","979","15.4","0.495","0","0.664","0","0","0","0","0","0","0","0","2.2","0.3","2.6","0.125","0","0","0","0",1958
"82","Kenny Sears","PF","24","NYK","72","2685","18.5","0.534","0","0.542","0","0","0","0","0","0","0","0","8.3","1.7","10","0.179","0","0","0","0",1958
"83","Frank Selvy","SG","25","TOT","38","426","7","0.336","0","0.461","0","0","0","0","0","0","0","0","-0.9","0.3","-0.6","-0.068","0","0","0","0",1958
"84","Paul Seymour","PG","30","SYR","64","763","9.9","0.39","0","0.2","0","0","0","0","0","0","0","0","-0.4","0.8","0.5","0.028","0","0","0","0",1958
"85","Chuck Share","C","30","STL","72","1824","14.7","0.461","0","0.538","0","0","0","0","0","0","0","0","1.9","2.2","4.2","0.11","0","0","0","0",1958
"86","Bill Sharman*","SG","31","BOS","63","2214","18.8","0.485","0","0.261","0","0","0","0","0","0","0","0","5.8","2.9","8.7","0.189","0","0","0","0",1958
"87","Ron Shavlik","F","24","NYK","1","2","-6.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.519","0","0","0","0",1958
"88","Gene Shue","SG","26","DET","63","2333","13.6","0.462","0","0.356","0","0","0","0","0","0","0","0","3.1","1.6","4.6","0.095","0","0","0","0",1958
"89","Ron Sobie","PG","23","NYK","55","1399","14.9","0.489","0","0.443","0","0","0","0","0","0","0","0","2.8","0.8","3.6","0.124","0","0","0","0",1958
"90","Guy Sparrow","SF","25","NYK","72","1661","12.5","0.421","0","0.307","0","0","0","0","0","0","0","0","0.2","1","1.2","0.035","0","0","0","0",1958
"91","Art Spoelstra","C","25","TOT","67","1305","9.9","0.448","0","0.446","0","0","0","0","0","0","0","0","0.9","0.5","1.4","0.053","0","0","0","0",1958
"92","Maurice Stokes*","PF","24","CIN","63","2460","20.6","0.402","0","0.282","0","0","0","0","0","0","0","0","-0.5","5","4.5","0.088","0","0","0","0",1958
"93","Bill Thieben","PF","22","DET","27","243","5","0.323","0","0.189","0","0","0","0","0","0","0","0","-0.9","0.2","-0.7","-0.133","0","0","0","0",1958
"94","Lou Tsioropoulos","SF","27","BOS","70","1819","7.9","0.376","0","0.332","0","0","0","0","0","0","0","0","-1.5","2.9","1.4","0.038","0","0","0","0",1958
"95","Jack Twyman*","SF","23","CIN","72","2178","18.9","0.514","0","0.385","0","0","0","0","0","0","0","0","7","2.2","9.3","0.204","0","0","0","0",1958
"96","Charlie Tyra","C","22","NYK","68","1182","13.5","0.425","0","0.457","0","0","0","0","0","0","0","0","0.3","0.9","1.1","0.046","0","0","0","0",1958
"97","Jim Walsh","F","27","PHW","10","72","5","0.29","0","0.63","0","0","0","0","0","0","0","0","-0.2","0.1","-0.2","-0.106","0","0","0","0",1958
"98","Win Wilfong","PG","24","STL","71","1360","12.6","0.428","0","0.438","0","0","0","0","0","0","0","0","0.7","1.4","2.1","0.073","0","0","0","0",1958
