"","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Yr"
"1","Mahmoud Abdul-Rauf","PG","27","SAC","75","2131","13.2","0.524","0.266","0.147","0.9","5.9","3.3","15.8","1.4","0.2","10.8","23.2","2","0.7","2.7","0.06","-0.8","-1.8","-2.6","-0.4",1997
"2","Shareef Abdur-Rahim","PF","20","VAN","80","2802","17.4","0.518","0.022","0.428","8.8","14.2","11.5","12.1","1.5","2.2","13.5","27.6","1.7","1.2","2.9","0.049","0.3","-2.1","-1.8","0.2",1997
"3","Rafael Addison","SF","32","CHH","41","355","10.6","0.476","0.164","0.23","6.7","8.6","7.7","15.5","1.2","0.6","11.2","20.1","0.2","0.1","0.4","0.048","-2.6","-1.7","-4.4","-0.2",1997
"4","Cory Alexander","PG","23","SAS","80","1454","14.3","0.528","0.514","0.263","2.3","8","5.1","30","3.1","0.9","21.1","22.2","0.5","0.6","1.1","0.035","0.3","-0.8","-0.6","0.5",1997
"5","Jerome Allen","SG","24","TOT","76","943","8.7","0.451","0.421","0.326","3.1","9","6.1","25.3","1.8","0.3","21.4","15.6","-0.3","0.8","0.4","0.021","-2.5","-0.2","-2.6","-0.1",1997
"6","Ray Allen*","SG","21","MIL","82","2532","14.6","0.541","0.328","0.274","4.7","11","7.9","13.9","1.6","0.3","12.8","21.4","3.3","1.5","4.9","0.092","0.8","-0.9","-0.1","1.2",1997
"7","Derrick Alston","C","24","ATL","2","11","-9","0","0","0.4","33.3","10.6","21.7","0","0","0","0","25.2","-0.1","0","-0.1","-0.415","-9.5","-12.1","-21.6","-0.1",1997
"8","Ashraf Amaya","PF","25","WSB","31","144","8.8","0.382","0.025","0.7","15.7","26.4","21.1","2.9","2.5","1.6","16","19.4","-0.2","0.3","0.1","0.019","-6.2","-0.9","-7.1","-0.2",1997
"9","Greg Anderson","C","32","SAS","82","1659","11.4","0.531","0.004","0.355","11","21.8","16.2","3.2","2.1","3.2","19.4","10.5","0.7","1.5","2.2","0.064","-3.6","0.1","-3.5","-0.6",1997
"10","Kenny Anderson","PG","26","POR","82","3081","19.5","0.54","0.322","0.383","3.6","10.2","7","31.7","2.8","0.4","12.7","22.2","8","4.4","12.4","0.193","3.2","1.2","4.4","5",1997
"11","Nick Anderson","SG","29","ORL","63","2163","13.8","0.494","0.559","0.13","3.5","13.2","8.2","14.5","3","1.1","10.1","18.2","1.3","2.9","4.2","0.093","0.2","1.6","1.8","2.1",1997
"12","Shandon Anderson","SG","23","UTA","65","1066","10.4","0.534","0.148","0.311","6.5","14","10.5","7.1","1.4","0.6","16.8","18.9","0.1","1.2","1.2","0.056","-2.3","-1.4","-3.6","-0.4",1997
"13","Willie Anderson","SG","30","MIA","28","303","12.6","0.57","0.297","0.313","6","10.4","8.2","18.2","2.5","1","20.7","14.2","0.4","0.5","0.9","0.142","-1.4","2.2","0.9","0.2",1997
"14","Greg Anthony","PG","29","VAN","65","1863","16.6","0.526","0.469","0.351","1.5","10","5.7","36.1","3.8","0.2","18.1","17.8","2.3","1.2","3.5","0.09","0.9","0.5","1.5","1.6",1997
"15","B.J. Armstrong","PG","29","GSW","49","1020","12.9","0.538","0.275","0.242","0.8","7.8","4.3","20.3","1.3","0.2","12.8","18.1","1.4","-0.1","1.3","0.061","-0.5","-1.8","-2.3","-0.1",1997
"16","Darrell Armstrong","PG","28","ORL","67","1010","14.7","0.525","0.525","0.307","4","4.9","4.4","29.7","3.3","0.7","20.2","22.4","0.7","1.1","1.8","0.085","0.5","0.7","1.1","0.8",1997
"17","Vincent Askew","SG","30","TOT","43","838","9.7","0.532","0.129","0.473","3.6","10.2","7","17.3","1.1","0.6","17","14.9","0.7","0.8","1.5","0.086","-2.7","0.8","-1.9","0",1997
"18","Keith Askins","SF","29","MIA","78","1773","9.1","0.557","0.539","0.182","5.9","12.2","9.1","6.7","1.6","0.8","14.6","10.7","1.5","2.8","4.3","0.116","-1.5","1.7","0.2","1",1997
"19","Stacey Augmon","SG","28","TOT","60","942","11.3","0.531","0","0.441","6.2","11.4","8.8","9.4","2.4","1.5","19.6","16.2","0.2","1.3","1.5","0.076","-2.6","1.5","-1.1","0.2",1997
"20","Isaac Austin","C","27","MIA","82","1881","14.2","0.536","0.005","0.354","8.7","21.2","15.1","9.9","1.3","1.8","17.9","22.5","0.3","3.7","4","0.102","-2.5","0.8","-1.7","0.1",1997
