"","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Yr"
"1","Jay Arnette","SG","26","CIN","63","662","7.5","0.428","0","0.306","0","0","0","13.5","0","0","0","0","-0.2","0.3","0.1","0.009","0","0","0","0",1965
"2","Al Attles*","PG","28","SFW","73","1733","10.8","0.434","0","0.414","0","0","0","16.6","0","0","0","0","-0.2","1.9","1.7","0.048","0","0","0","0",1965
"3","Jim Barnes","PF","23","NYK","75","2586","13.7","0.469","0","0.354","0","0","0","5.3","0","0","0","0","1.8","1.6","3.4","0.063","0","0","0","0",1965
"4","Dick Barnett","SG","28","LAL","74","2026","13.3","0.483","0","0.372","0","0","0","11.6","0","0","0","0","2.5","0.9","3.4","0.081","0","0","0","0",1965
"5","John Barnhill","SG","26","STL","41","777","10.1","0.419","0","0.224","0","0","0","14.1","0","0","0","0","-0.4","0.8","0.4","0.022","0","0","0","0",1965
"6","Elgin Baylor*","SF","30","LAL","74","3056","20.5","0.463","0","0.321","0","0","0","15","0","0","0","0","2.5","2.4","4.9","0.078","0","0","0","0",1965
"7","Zelmo Beaty*","C","25","STL","80","2916","17.2","0.537","0","0.456","0","0","0","5.6","0","0","0","0","6.8","4","10.8","0.178","0","0","0","0",1965
"8","Walt Bellamy*","C","25","BAL","80","3301","21.7","0.559","0","0.522","0","0","0","8.8","0","0","0","0","11.2","0.9","12.1","0.175","0","0","0","0",1965
"9","Al Bianchi","PG","32","PHI","60","1116","7.3","0.389","0","0.156","0","0","0","17.4","0","0","0","0","-1.4","0.8","-0.6","-0.025","0","0","0","0",1965
"10","Bucky Bockhorn","SG","31","CIN","19","424","9.1","0.425","0","0.248","0","0","0","14","0","0","0","0","-0.1","0.2","0.1","0.008","0","0","0","0",1965
"11","Ron Bonham","SF","22","BOS","37","369","21.6","0.509","0","0.509","0","0","0","7.6","0","0","0","0","1","0.8","1.8","0.23","0","0","0","0",1965
"12","Bob Boozer","SF","27","NYK","80","2139","17.8","0.504","0","0.389","0","0","0","7.7","0","0","0","0","3.9","1.4","5.3","0.119","0","0","0","0",1965
"13","Gary Bradds","SF","22","BAL","41","335","13.1","0.494","0","0.568","0","0","0","7.6","0","0","0","0","0.4","0.1","0.5","0.067","0","0","0","0",1965
"14","Bill Bridges","PF","25","STL","79","2362","14.1","0.43","0","0.293","0","0","0","11.4","0","0","0","0","-0.7","3.8","3.1","0.063","0","0","0","0",1965
"15","Em Bryant","PG","26","NYK","77","1332","7.1","0.381","0","0.305","0","0","0","16.8","0","0","0","0","-1.5","0.8","-0.7","-0.026","0","0","0","0",1965
"16","Dave Budd","SF","26","NYK","62","1188","15.2","0.532","0","0.418","0","0","0","7.6","0","0","0","0","2.5","0.7","3.2","0.13","0","0","0","0",1965
