"","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Yr"
"1","Al Attles*","PG","26","SFW","71","1876","10.6","0.51","0","0.327","0","0","0","0","0","0","0","0","2.2","1.2","3.4","0.086","0","0","0","0",1963
"2","Dick Barnett","SG","26","LAL","80","2544","16.3","0.533","0","0.362","0","0","0","0","0","0","0","0","5.9","2.1","8","0.15","0","0","0","0",1963
"3","John Barnhill","SG","24","STL","77","2692","11.7","0.474","0","0.304","0","0","0","0","0","0","0","0","1.3","3.3","4.6","0.082","0","0","0","0",1963
"4","Elgin Baylor*","SF","28","LAL","80","3370","26.6","0.519","0","0.348","0","0","0","0","0","0","0","0","9.3","5.1","14.4","0.205","0","0","0","0",1963
"5","Zelmo Beaty*","C","23","STL","80","1918","14.3","0.501","0","0.453","0","0","0","0","0","0","0","0","2.1","3.1","5.2","0.131","0","0","0","0",1963
"6","Walt Bellamy*","C","23","CHZ","80","3306","24.9","0.571","0","0.515","0","0","0","0","0","0","0","0","12.6","1.1","13.7","0.199","0","0","0","0",1963
"7","Al Bianchi","SG","30","SYR","61","1159","12.5","0.478","0","0.345","0","0","0","0","0","0","0","0","0.8","1.1","1.9","0.079","0","0","0","0",1963
"8","Bucky Bockhorn","SG","29","CIN","80","2612","9.2","0.44","0","0.254","0","0","0","0","0","0","0","0","-0.7","1.2","0.5","0.01","0","0","0","0",1963
"9","Bob Boozer","PF","25","CIN","79","2488","14.4","0.493","0","0.356","0","0","0","0","0","0","0","0","2.3","1.6","3.9","0.075","0","0","0","0",1963
"10","Bill Bridges","PF","23","STL","27","374","14.3","0.449","0","0.319","0","0","0","0","0","0","0","0","-0.1","0.7","0.6","0.079","0","0","0","0",1963
"11","Joe Buckhalter","PF","25","CIN","2","12","-2.8","0.17","0","0.4","0","0","0","0","0","0","0","0","-0.1","0","-0.1","-0.329","0","0","0","0",1963
"12","Cleveland Buckner","PF","24","NYK","6","27","14","0.51","0","0.4","0","0","0","0","0","0","0","0","0","0","0.1","0.102","0","0","0","0",1963
"13","Dave Budd","SF","24","NYK","78","1725","13.8","0.54","0","0.339","0","0","0","0","0","0","0","0","3.2","0.9","4.1","0.113","0","0","0","0",1963
