"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"65","Paul Gordon","F",22,"BLB",4,0,24,0,6,0,0,0,0,0,6,0,0,3,5,0.6,0,0,0,3,0,0,0,3,3,1950,-2.51458778532617,0.183,0,0.833,0,0,5.78937209904267,8.00876540136885,0,0,0,0,-0.1,0,-0.1,-0.2,0,0,0,0
"66","Joe Graboski","F-C",20,"CHS",57,0,643,75,247,0.304,0,0,0,75,247,0.304,0.304,53,89,0.596,0,0,0,37,0,0,0,95,203,1950,8.83491478779934,0.355,0,0.36,0,0,0,8.41401191135089,0,0,0,0,-0.6,1.2,0.6,0.0447900466562986,0,0,0,0
"67","Bud Grant","F",22,"MNL",35,0,276,42,115,0.365,0,0,0,42,115,0.365,0.365,7,17,0.412,0,0,0,19,0,0,0,36,91,1950,9.92870267850901,0.371,0,0.148,0,0,4.09880893536624,10.8634322347799,0,0,0,0,-0.1,0.6,0.5,0.0869565217391304,0,0,0,0
"68","Don Grate","F-G",26,"SHE",2,0,11,1,6,0.167,0,0,0,1,6,0.167,0.167,2,2,1,0,0,0,3,0,0,0,3,4,1950,4.20602167611827,0.291,0,0.333,0,0,8.55575578927516,15.4670888462207,0,0,0,0,0,0,0,0,0,0,0,0
"69","Alex Groza","C",23,"INO",64,0,2520,521,1090,0.478,0,0,0,521,1090,0.478,0.478,454,623,0.729,0,0,0,162,0,0,0,221,1496,1950,28.6761756499712,0.548,0,0.572,0,0,6.08684170769503,12.9397735936277,0,0,0,0,16.5,1.4,17.9,0.340952380952381,0,0,0,0
"70","Al Guokas","F-G",24,"TOT",57,0,813,93,299,0.311,0,0,0,93,299,0.311,0.311,28,50,0.56,0,0,0,95,0,0,0,143,214,1950,-5.59702141434003,0.333,0,0.167,0,0,12.0626842732443,12.6792156505883,0,0,0,0,-0.9,-0.1,-1,-0.0590405904059041,0,0,0,0
"71","Robert Hahn","C",24,"CHS",10,0,73,4,13,0.308,0,0,0,4,13,0.308,0.308,2,7,0.286,0,0,0,1,0,0,0,17,10,1950,2.58103490951977,0.311,0,0.538,0,0,14.7121332033849,0,0,0,0,0,-0.1,0.1,0.1,0.0657534246575343,0,0,0,0
"72","Chick Halbert","C",30,"WSC",68,0,1015,108,284,0.38,0,0,0,108,284,0.38,0.38,112,175,0.64,0,0,0,89,0,0,0,136,328,1950,13.5720938449658,0.454,0,0.616,0,0,2.56258910138459,12.5658520256432,0,0,0,0,2.4,1.2,3.6,0.170246305418719,0,0,0,0
"73","Bruce Hale","G-F",31,"INO",64,0,1853,217,614,0.353,0,0,0,217,614,0.353,0.353,223,285,0.782,0,0,0,226,0,0,0,143,657,1950,15.6190212342686,0.444,0,0.464,0,0,4.93966047057997,19.4106914766465,0,0,0,0,4.1,1.1,5.1,0.132110091743119,0,0,0,0
"74","Dale Hamilton","G-F",30,"WAT",14,0,127,8,33,0.242,0,0,0,8,33,0.242,0.242,9,19,0.474,0,0,0,17,0,0,0,30,25,1950,-4.594989934287,0.302,0,0.576,0,0,14.5265973969573,11.0746595910141,0,0,0,0,-0.2,-0.1,-0.3,-0.113385826771654,0,0,0,0
